Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
87,163,26,15,0,0,32,20,TO,TO
108,141,29,20,3,5,32,20,TO,TO
124,168,34,22,5,2,32,20,TO,TO
124,172,40,26,6,4,32,20,TO,TO
148,173,48,31,8,5,61,43,FF,FF
144,173,57,39,9,8,61,43,FF,FF
148,175,66,48,9,9,61,43,FF,FF
151,176,74,57,8,9,61,43,FF,FF
154,177,81,66,7,9,79,76,FF,FF
172,177,82,74,1,8,79,76,FF,FF
168,176,76,80,-6,6,79,76,FF,FF
158,176,80,85,4,5,79,76,FF,FF
160,172,84,91,4,6,88,98,FF,FF
164,171,86,95,2,4,88,98,FF,FF
164,165,89,99,3,4,88,98,FF,FF
165,169,93,108,4,9,88,98,FF,FF
168,169,97,116,4,8,103,113,FF,FF
172,169,102,107,5,-9,103,113,FF,FF
172,169,106,113,4,6,103,113,FF,FF
174,169,110,119,4,6,103,113,FF,FF
173,170,114,115,4,-4,118,107,FF,FF
175,169,117,105,3,-10,118,107,FF,FF
176,169,120,103,3,-2,118,107,FF,FF
177,169,123,107,3,4,118,107,FF,FF
176,172,132,110,9,3,132,111,HS,FF
177,171,133,115,1,5,132,111,HS,FF
177,173,132,110,-1,-5,132,111,HS,FF
178,174,131,112,-1,2,132,111,HS,FF
176,174,131,121,0,9,137,117,HS,FF
177,174,141,121,10,0,137,117,HS,FF
177,175,139,119,-2,-2,137,117,HS,FF
177,172,137,110,-2,-9,137,117,HS,FF
176,174,135,103,-2,-7,135,111,HS,FF
174,172,135,110,0,7,135,111,HS,FF
174,173,134,112,-1,2,135,111,HS,FF
173,169,137,119,3,7,135,111,HS,FF
173,170,138,119,1,0,137,125,HS,HS
173,167,138,122,0,3,137,125,HS,HS
174,170,137,130,-1,8,137,125,HS,HS
174,167,137,131,0,1,137,125,HS,HS
175,169,135,123,-2,-8,133,128,HS,HS
175,167,134,132,-1,9,133,128,HS,HS
176,167,133,130,-1,-2,133,128,HS,HS
176,169,132,130,-1,0,133,128,HS,HS
176,171,130,130,-2,0,129,127,HS,HS
176,174,130,124,0,-6,129,127,HS,HS
175,174,129,128,-1,4,129,127,HS,HS
175,176,129,128,0,0,129,127,HS,HS
176,175,127,124,-2,-4,124,117,FF,FF
176,174,126,120,-1,-4,124,117,FF,FF
175,172,124,117,-2,-3,124,117,FF,FF
176,171,122,108,-2,-9,124,117,FF,FF
176,173,120,107,-2,-1,120,110,FF,FF
175,172,120,106,0,-1,120,110,FF,FF
171,172,121,112,1,6,120,110,FF,FF
170,173,122,116,1,4,120,110,FF,FF
169,174,126,119,4,3,126,125,FF,HS
169,174,119,122,-7,3,126,125,FF,HS
171,175,128,125,9,3,126,125,FF,HS
174,174,132,134,4,9,126,125,FF,HS
174,175,127,129,-5,-5,132,129,HS,HS
177,175,136,130,9,1,132,129,HS,HS
177,174,132,130,-4,0,132,129,HS,HS
177,174,134,129,2,-1,132,129,HS,HS
176,172,127,131,-7,2,136,128,HS,HS
177,172,135,129,8,-2,136,128,HS,HS
177,173,141,126,6,-3,136,128,HS,HS
177,170,141,128,0,2,136,128,HS,HS
177,171,139,128,-2,0,137,125,HS,HS
176,170,137,126,-2,-2,137,125,HS,HS
176,170,136,126,-1,0,137,125,HS,HS
178,171,136,123,0,-3,137,125,HS,HS
177,174,133,120,-3,-3,133,122,HS,HS
173,174,134,120,1,0,133,122,HS,HS
170,175,133,121,-1,1,133,122,HS,HS
170,176,134,128,1,7,133,122,HS,HS
170,176,133,122,-1,-6,131,121,HS,HS
169,175,131,125,-2,3,131,121,HS,HS
171,171,131,122,0,-3,131,121,HS,HS
172,170,130,117,-1,-5,131,121,HS,HS
172,168,129,112,-1,-5,128,110,HS,FF
173,169,129,105,0,-7,128,110,HS,FF
172,171,127,111,-2,6,128,110,HS,FF
173,167,128,114,1,3,128,110,HS,FF
174,172,127,123,-1,9,125,123,FF,HS
174,173,126,122,-1,-1,125,123,FF,HS
175,175,125,122,-1,0,125,123,FF,HS
175,175,125,127,0,5,125,123,FF,HS
175,177,125,125,0,-2,125,126,FF,HS
175,175,125,127,0,2,125,126,FF,HS
175,176,125,126,0,-1,125,126,FF,HS
176,176,125,126,0,0,125,126,FF,HS
175,174,128,130,3,4,126,128,FF,HS
178,175,127,129,-1,-1,126,128,FF,HS
178,175,126,128,-1,-1,126,128,FF,HS
178,175,125,126,-1,-2,126,128,FF,HS
178,175,124,124,-1,-2,120,124,FF,HS
176,174,121,122,-3,-2,120,124,FF,HS
172,174,117,125,-4,3,120,124,FF,HS
169,174,118,126,1,1,120,124,FF,HS
167,174,121,127,3,1,118,126,FF,HS
167,174,114,126,-7,-1,118,126,FF,HS
168,174,118,126,4,0,118,126,FF,HS
171,174,122,126,4,0,118,126,FF,HS
171,174,132,125,10,-1,128,125,HS,HS
172,173,127,127,-5,2,128,125,HS,HS
171,173,126,125,-1,-2,128,125,HS,HS
174,172,130,124,4,-1,128,125,HS,HS
174,172,129,124,-1,0,132,121,HS,HS
177,171,132,123,3,-1,132,121,HS,HS
177,170,134,121,2,-2,132,121,HS,HS
176,172,134,118,0,-3,132,121,HS,HS
177,170,132,119,-2,1,134,115,HS,FF
177,172,140,116,8,-3,134,115,HS,FF
179,170,133,115,-7,-1,134,115,HS,FF
176,173,132,113,-1,-2,134,115,HS,FF
177,172,135,111,3,-2,132,111,HS,FF
174,172,132,112,-3,1,132,111,HS,FF
167,172,129,112,-3,0,132,111,HS,FF
166,175,123,111,-6,-1,132,111,HS,FF
