Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
115,93,100,146,0,0,107,134,FF,HS
93,57,106,138,6,-8,107,134,FF,HS
89,31,110,130,4,-8,107,134,FF,HS
81,38,113,122,3,-8,107,134,FF,HS
52,33,119,115,6,-7,117,110,FF,FF
78,34,122,111,3,-4,117,110,FF,FF
31,29,118,106,-4,-5,117,110,FF,FF
57,54,111,111,-7,5,117,110,FF,FF
163,55,107,115,-4,4,100,111,FF,FF
172,33,100,112,-7,-3,100,111,FF,FF
175,36,93,113,-7,1,100,111,FF,FF
176,163,102,106,9,-7,100,111,FF,FF
176,165,108,97,6,-9,115,90,FF,TO
177,161,113,93,5,-4,115,90,FF,TO
172,169,120,88,7,-5,115,90,FF,TO
173,159,122,85,2,-3,115,90,FF,TO
172,165,123,91,1,6,127,96,HS,TO
174,165,126,95,3,4,127,96,HS,TO
175,165,132,98,6,3,127,96,HS,TO
176,161,129,101,-3,3,127,96,HS,TO
177,161,129,107,0,6,123,99,HS,TO
178,163,124,101,-5,-6,123,99,HS,TO
178,160,124,97,0,-4,123,99,HS,TO
179,158,118,94,-6,-3,123,99,HS,TO
179,154,116,91,-2,-3,116,89,FF,TO
178,151,121,86,5,-5,116,89,FF,TO
179,158,118,92,-3,6,116,89,FF,TO
178,154,112,88,-6,-4,116,89,FF,TO
178,154,114,88,2,0,121,97,HS,TO
176,159,120,94,6,6,121,97,HS,TO
176,164,124,100,4,6,121,97,HS,TO
175,166,127,107,3,7,121,97,HS,TO
174,167,119,110,-8,3,124,116,HS,FF
171,174,122,113,3,3,124,116,HS,FF
170,176,129,117,7,4,124,116,HS,FF
169,176,126,124,-3,7,124,116,HS,FF
171,174,120,132,-6,8,122,132,HS,HS
168,170,118,132,-2,0,122,132,HS,HS
167,168,125,132,7,0,122,132,HS,HS
170,164,128,135,3,3,122,132,HS,HS
167,169,122,134,-6,-1,115,131,FF,HS
170,166,117,132,-5,-2,115,131,FF,HS
169,169,113,129,-4,-3,115,131,FF,HS
169,168,109,129,-4,0,115,131,FF,HS
172,169,116,130,7,1,122,132,HS,HS
166,165,126,136,10,6,122,132,HS,HS
170,170,122,132,-4,-4,122,132,HS,HS
169,175,125,132,3,0,122,132,HS,HS
169,175,118,133,-7,1,115,131,FF,HS
164,177,113,129,-5,-4,115,131,FF,HS
154,179,118,133,5,4,115,131,FF,HS
154,177,111,132,-7,-1,115,131,FF,HS
151,175,118,122,7,-10,109,120,FF,FF
149,173,111,122,-7,0,109,120,FF,FF
155,172,107,119,-4,-3,109,120,FF,FF
156,172,100,120,-7,1,109,120,FF,FF
160,168,107,119,7,-1,114,118,FF,FF
160,169,110,120,3,1,114,118,FF,FF
167,169,116,118,6,-2,114,118,FF,FF
169,169,123,117,7,-1,114,118,FF,FF
174,167,133,116,10,-1,130,115,HS,FF
174,166,133,116,0,0,130,115,HS,FF
177,165,131,115,-2,-1,130,115,HS,FF
177,164,123,114,-8,-1,130,115,HS,FF
174,162,125,122,2,8,130,125,HS,HS
175,164,134,124,9,2,130,125,HS,HS
175,160,131,127,-3,3,130,125,HS,HS
174,160,131,130,0,3,130,125,HS,HS
175,162,131,121,0,-9,128,111,HS,FF
175,162,129,112,-2,-9,128,111,HS,FF
177,158,129,106,0,-6,128,111,HS,FF
178,158,126,105,-3,-1,128,111,HS,FF
176,158,126,105,0,0,123,105,HS,FF
176,156,122,102,-4,-3,123,105,HS,FF
174,155,122,102,0,0,123,105,HS,FF
171,153,123,112,1,10,123,105,HS,FF
171,153,125,120,2,8,129,111,HS,FF
170,149,131,114,6,-6,129,111,HS,FF
167,145,134,109,3,-5,129,111,HS,FF
169,140,126,104,-8,-5,129,111,HS,FF
170,142,125,100,-1,-4,123,106,HS,FF
170,146,128,109,3,9,123,106,HS,FF
169,145,121,105,-7,-4,123,106,HS,FF
169,148,121,110,0,5,123,106,HS,FF
169,153,119,111,-2,1,117,114,FF,FF
170,157,118,110,-1,-1,117,114,FF,FF
171,163,118,116,0,6,117,114,FF,FF
171,169,116,121,-2,5,117,114,FF,FF
171,175,115,127,-1,6,112,132,FF,HS
170,173,112,136,-3,9,112,132,FF,HS
172,178,111,131,-1,-5,112,132,FF,HS
171,175,110,135,-1,4,112,132,FF,HS
