Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,WristLeft X,Y,Z,WristRight X,Y,Z,ElbowLeft X,Y,Z,ElbowRight X,Y,Z,SholdD,LSHD,RSHD,HIPD,LWristSpineD,RWristSpineD, ShoulDX, HipDX 
-0.0458339,0.137639,4.49299,-0.0773119,0.022785,4.5387,-0.0860002,0.319169,4.48826,-0.0116115,0.627582,4.47315,0.0456606,0.299797,4.48719,-0.0471301,0.225087,4.51848,0.22069,0.364699,4.55145,0.110102,0.651666,4.49651,0.049606,0.644268,4.51738,0.0181192,0.907934,4.47121,-0.0129997,1.16596,4.41484,-0.0290618,1.27753,4.351,-0.136227,1.01282,4.36716,0.13238,1.06595,4.42566,-0.130114,0.523839,4.40701,0.251158,0.596501,4.44748,-0.158847,0.75145,4.43395,0.215994,0.821687,4.48855,0.279991,0.418531,0.420887,0.126254,0.416681,0.389693,0.268607,0.121713
-0.0253475,0.163693,4.49028,-0.0450131,0.0464635,4.54015,-0.124816,0.327194,4.46476,-0.0124572,0.627505,4.46334,0.186939,0.270049,4.51065,0.188803,0.153851,4.57014,0.317062,0.425411,4.52907,0.10845,0.656384,4.48571,0.0483922,0.646414,4.50708,0.0184055,0.906885,4.45865,-0.0107672,1.16076,4.39865,-0.0295663,1.27591,4.34525,-0.142251,1.00501,4.3633,0.131111,1.06913,4.41963,-0.13858,0.537388,4.38689,0.260986,0.608246,4.4314,-0.178585,0.800069,4.41228,0.21432,0.826545,4.4795,0.286374,0.411541,0.418612,0.126305,0.407827,0.385711,0.273362,0.120907
-0.0177925,0.13898,4.48668,-0.0195722,0.0197235,4.53912,-0.071734,0.310735,4.47077,-0.0141503,0.625911,4.45285,0.200094,0.188642,4.50369,0.208089,0.0734093,4.57066,0.234416,0.361035,4.47999,0.106296,0.655273,4.46836,0.0464125,0.645057,4.49293,0.0156018,0.900584,4.43535,-0.0147801,1.14858,4.36587,-0.0349695,1.27196,4.32059,-0.146925,1.00052,4.33124,0.133426,1.06995,4.406,-0.141935,0.533939,4.36813,0.239914,0.618383,4.42941,-0.169599,0.758307,4.39051,0.205206,0.832595,4.45859,0.298339,0.415629,0.420219,0.12494,0.40468,0.360539,0.280352,0.120446
0.0165678,0.151625,4.49477,0.0385946,0.0415326,4.57185,-0.0604155,0.314876,4.48569,-0.0204676,0.62556,4.43394,0.208077,0.179747,4.49154,0.236456,0.0636922,4.5442,0.229018,0.358589,4.47139,0.102871,0.652484,4.44995,0.041508,0.643543,4.47393,0.0118444,0.897911,4.41775,-0.0173205,1.14621,4.35174,-0.0390256,1.26406,4.29628,-0.156686,1.00419,4.31735,0.129682,1.06727,4.38507,-0.141574,0.531082,4.34358,0.232548,0.605996,4.39258,-0.170576,0.75205,4.37967,0.203342,0.819655,4.43382,0.30095,0.41894,0.420685,0.127255,0.404477,0.366821,0.286369,0.123339
0.00536112,0.138946,4.50588,0.024071,0.0347861,4.58672,-0.0524603,0.307244,4.48538,-0.0191926,0.613956,4.41454,0.26001,-0.150757,4.44141,0.283389,-0.0500635,4.50889,0.223689,0.353194,4.46109,0.103975,0.649839,4.43249,0.0426796,0.636795,4.45569,0.0129146,0.889962,4.39784,-0.0164686,1.13742,4.33002,-0.0409625,1.25475,4.27247,-0.153418,0.978885,4.29686,0.12975,1.06493,4.36096,-0.143027,0.530255,4.33914,0.233517,0.614685,4.37615,-0.17319,0.756569,4.36996,0.195851,0.828038,4.41546,0.302812,0.406247,0.421994,0.129537,0.396425,0.35343,0.283167,0.123167
-0.0180306,0.131976,4.49681,-0.0288403,0.0225751,4.57018,-0.0450929,0.297851,4.47169,-0.0236169,0.601425,4.38988,0.221734,-0.106102,4.34566,0.239777,-0.0683294,4.45345,0.176153,0.324703,4.41404,0.10059,0.640098,4.41057,0.03873,0.625248,4.43187,0.0102471,0.880293,4.37413,-0.0179319,1.12971,4.30635,-0.0432954,1.24659,4.24669,-0.151742,0.973195,4.27524,0.126185,1.05863,4.33676,-0.152733,0.521581,4.29662,0.236222,0.615511,4.36795,-0.177376,0.754581,4.35081,0.194274,0.828551,4.40254,0.297202,0.409599,0.425762,0.131725,0.401554,0.348156,0.277927,0.124207
-0.0316727,0.142161,4.49492,-0.0611168,0.0399453,4.57952,-0.0245462,0.294926,4.43713,-0.0226126,0.597551,4.37776,0.217285,-0.159424,4.3125,0.219579,-0.0737054,4.39847,0.183378,0.228483,4.39712,0.102335,0.635978,4.39713,0.0401177,0.621261,4.41926,0.0102816,0.87587,4.35458,-0.0198305,1.1251,4.2782,-0.0407615,1.23626,4.21811,-0.160632,0.961276,4.26398,0.125616,1.0495,4.32161,-0.152186,0.518689,4.29598,0.227645,0.613662,4.34708,-0.172167,0.732255,4.32525,0.194055,0.829968,4.39424,0.305028,0.40533,0.421006,0.132151,0.396746,0.340669,0.286248,0.124948
-0.0400707,0.121941,4.48047,-0.0304356,0.0369482,4.53001,-0.04914,0.298173,4.40465,-0.0200303,0.590318,4.3517,0.198242,-0.169067,4.26172,0.206609,-0.0872899,4.36378,0.169577,0.259859,4.36739,0.105261,0.627468,4.3708,0.0429194,0.613338,4.39302,0.0111484,0.866423,4.33362,-0.0201625,1.11471,4.26331,-0.0359813,1.22894,4.1989,-0.164142,0.959437,4.22776,0.127552,1.04694,4.30343,-0.158049,0.513251,4.29357,0.22442,0.605217,4.33167,-0.174812,0.72558,4.3074,0.196905,0.830025,4.37421,0.313796,0.415183,0.425428,0.132072,0.393652,0.33722,0.291695,0.125291
-0.0493084,0.0773592,4.49437,-0.0179485,0.153127,4.49763,-0.0410378,0.292393,4.39547,-0.0245277,0.585559,4.33799,0.178083,-0.170954,4.21012,0.187027,-0.0772207,4.30862,0.151909,0.30583,4.32285,0.101897,0.609962,4.34972,0.0388691,0.60305,4.37614,0.00674059,0.857885,4.3084,-0.0249519,1.10816,4.22863,-0.0352527,1.22054,4.16638,-0.153873,0.978826,4.18857,0.129894,1.02978,4.26324,-0.164533,0.503011,4.27404,0.231448,0.585956,4.33204,-0.170209,0.711548,4.26961,0.205316,0.793232,4.33155,0.297818,0.440132,0.429541,0.129291,0.395539,0.35355,0.283767,0.126424
-0.018846,0.119024,4.3783,-0.0389354,0.123498,4.49297,-0.04059,0.30287,4.37376,-0.0230262,0.586819,4.30619,0.1538,-0.184717,4.17078,0.171681,-0.0981397,4.27675,0.152722,0.20708,4.29938,0.102444,0.603603,4.32074,0.0399806,0.599699,4.34512,0.0123134,0.850187,4.2841,-0.0153748,1.09581,4.21074,-0.0269001,1.2134,4.14935,-0.13852,0.973936,4.16223,0.136583,1.02968,4.25167,-0.16556,0.505756,4.26766,0.25142,0.58983,4.29076,-0.167399,0.713777,4.24618,0.205848,0.789186,4.32303,0.294597,0.428861,0.432987,0.127422,0.387998,0.353556,0.275103,0.125471
