Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
159,149,112,139,0,0,115,135,FF,HS
164,131,116,134,4,-5,115,135,FF,HS
167,126,121,138,5,4,115,135,FF,HS
161,139,111,130,-10,-8,115,135,FF,HS
158,128,116,122,5,-8,125,126,HS,HS
161,136,126,128,10,6,125,126,HS,HS
154,137,135,131,9,3,125,126,HS,HS
154,136,126,124,-9,-7,125,126,HS,HS
160,156,133,116,7,-8,134,100,HS,FF
162,158,136,105,3,-11,134,100,HS,FF
161,159,136,93,0,-12,134,100,HS,FF
164,162,132,86,-4,-7,134,100,HS,FF
166,167,135,84,3,-2,133,88,HS,TO
169,164,134,86,-1,2,133,88,HS,TO
169,174,132,90,-2,4,133,88,HS,TO
170,173,132,94,0,4,133,88,HS,TO
170,176,132,99,0,5,133,106,HS,FF
171,178,134,104,2,5,133,106,HS,FF
172,178,135,110,1,6,133,106,HS,FF
172,179,134,114,-1,4,133,106,HS,FF
172,178,134,118,0,4,131,123,HS,FF
173,178,133,121,-1,3,131,123,HS,FF
170,172,128,125,-5,4,131,123,HS,FF
170,175,130,128,2,3,131,123,HS,FF
174,171,132,137,2,9,128,136,HS,HS
171,175,130,132,-2,-5,128,136,HS,HS
171,169,126,139,-4,7,128,136,HS,HS
172,172,124,138,-2,-1,128,136,HS,HS
171,175,133,137,9,-1,126,136,HS,HS
166,171,129,133,-4,-4,126,136,HS,HS
166,176,125,137,-4,4,126,136,HS,HS
155,175,119,139,-6,2,126,136,HS,HS
148,174,116,131,-3,-8,110,134,FF,HS
144,170,111,135,-5,4,110,134,FF,HS
144,171,106,136,-5,1,110,134,FF,HS
147,174,109,134,3,-2,110,134,FF,HS
148,175,115,133,6,-1,115,131,FF,HS
158,176,110,131,-5,-2,115,131,FF,HS
164,177,116,131,6,0,115,131,FF,HS
167,173,120,129,4,-2,115,131,FF,HS
176,173,125,129,5,0,129,123,HS,FF
176,176,128,127,3,-2,129,123,HS,FF
178,173,131,117,3,-10,129,123,HS,FF
173,173,132,120,1,3,129,123,HS,FF
172,173,132,122,0,2,133,123,HS,FF
172,172,131,130,-1,8,133,123,HS,FF
167,172,134,123,3,-7,133,123,HS,FF
164,168,135,120,1,-3,133,123,HS,FF
160,166,134,115,-1,-5,132,112,HS,FF
161,164,135,106,1,-9,132,112,HS,FF
162,167,134,111,-1,5,132,112,HS,FF
166,165,126,116,-8,5,132,112,HS,FF
166,169,120,121,-6,5,113,122,FF,FF
169,173,115,127,-5,6,113,122,FF,FF
170,172,111,124,-4,-3,113,122,FF,FF
172,174,108,118,-3,-6,113,122,FF,FF
174,173,99,128,-9,10,97,128,TO,HS
174,168,98,130,-1,2,97,128,TO,HS
174,172,97,126,-1,-4,97,128,TO,HS
174,164,96,131,-1,5,97,128,TO,HS
175,169,105,131,9,0,105,132,FF,HS
174,166,111,134,6,3,105,132,FF,HS
176,171,105,132,-6,-2,105,132,FF,HS
172,170,100,131,-5,-1,105,132,FF,HS
174,171,96,132,-4,1,99,131,TO,HS
173,171,93,131,-3,-1,99,131,TO,HS
170,178,101,131,8,0,99,131,TO,HS
161,177,107,130,6,-1,99,131,TO,HS
154,176,98,132,-9,2,89,130,TO,HS
149,170,91,132,-7,0,89,130,TO,HS
140,167,86,129,-5,-3,89,130,TO,HS
139,166,82,127,-4,-2,89,130,TO,HS
142,169,92,127,10,0,98,126,TO,HS
142,171,99,127,7,0,98,126,TO,HS
148,170,104,125,5,-2,98,126,TO,HS
156,171,98,126,-6,1,98,126,TO,HS
160,173,106,126,8,0,114,124,FF,FF
168,174,113,124,7,-2,114,124,FF,FF
170,171,117,122,4,-2,114,124,FF,FF
174,172,121,124,4,2,114,124,FF,FF
170,174,128,125,7,1,130,124,HS,FF
166,170,128,123,0,-2,130,124,HS,FF
170,172,133,122,5,-1,130,124,HS,FF
167,170,132,127,-1,5,130,124,HS,FF
163,167,131,123,-1,-4,130,114,HS,FF
165,168,132,118,1,-5,130,114,HS,FF
164,164,130,112,-2,-6,130,114,HS,FF
164,168,130,106,0,-6,130,114,HS,FF
167,172,130,99,0,-7,129,107,HS,FF
169,173,130,104,0,5,129,107,HS,FF
170,174,128,110,-2,6,129,107,HS,FF
171,175,128,115,0,5,129,107,HS,FF
170,174,127,118,-1,3,125,119,HS,FF
171,171,126,121,-1,3,125,119,HS,FF
170,171,125,123,-1,2,125,119,HS,FF
171,165,125,115,0,-8,125,119,HS,FF
172,166,124,119,-1,4,126,125,HS,FF
172,166,126,129,2,10,126,125,HS,FF
166,163,125,129,-1,0,126,125,HS,FF
170,168,129,124,4,-5,126,125,HS,FF
170,166,131,131,2,7,124,128,HS,HS
166,170,127,124,-4,-7,124,128,HS,HS
162,173,123,127,-4,3,124,128,HS,HS
158,175,118,130,-5,3,124,128,HS,HS
155,174,112,131,-6,1,103,130,FF,HS
149,172,106,131,-6,0,103,130,FF,HS
144,168,100,130,-6,-1,103,130,FF,HS
143,170,95,128,-5,-2,103,130,FF,HS
143,170,89,129,-6,1,89,129,TO,HS
142,172,85,130,-4,1,89,129,TO,HS
146,174,88,129,3,-1,89,129,TO,HS
151,174,97,129,9,0,89,129,TO,HS
158,175,105,129,8,0,111,126,FF,HS
