Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
148,164,107,102,0,0
157,158,128,121,21,19
163,163,125,7,-3,-114
174,36,143,15,18,8
167,22,140,10,-3,-5
163,19,131,15,-9,5
172,21,142,10,11,-5
170,28,140,9,-2,-1
164,21,138,8,-2,-1
162,150,138,119,0,111
162,136,136,66,-2,-53
163,133,129,69,-7,3
166,131,129,128,0,59
168,135,127,121,-2,-7
167,143,126,118,-1,-3
170,142,125,119,-1,1
167,150,120,103,-5,-16
170,159,120,127,0,24
169,167,118,130,-2,3
175,172,138,134,20,4
166,176,114,142,-24,8
168,174,116,136,2,-6
162,168,118,129,2,-7
160,166,134,129,16,0
155,169,69,133,-65,4
145,169,65,131,-4,-2
140,158,64,125,-1,-6
132,163,62,125,-2,0
128,166,63,124,1,-1
126,169,135,123,72,-1
128,171,116,123,-19,0
131,170,115,121,-1,-2
136,173,118,120,3,-1
143,171,123,116,5,-4
152,172,126,114,3,-2
162,171,127,112,1,-2
170,168,133,111,6,-1
172,169,130,106,-3,-5
172,169,135,106,5,0
168,163,134,101,-1,-5
169,158,135,104,1,3
164,152,130,124,-5,20
163,143,129,63,-1,-61
166,136,131,61,2,-2
168,131,129,62,-2,1
167,130,128,64,-1,2
167,129,126,122,-2,58
170,134,125,117,-1,-5
173,138,125,116,0,-1
173,143,123,128,-2,12
172,148,122,127,-1,-1
172,157,119,125,-3,-2
171,166,117,128,-2,3
170,172,113,132,-4,4
168,174,110,132,-3,0
167,174,108,129,-2,-3
167,168,106,130,-2,1
163,170,113,130,7,0
151,164,65,127,-48,-3
146,158,61,131,-4,4
137,160,60,135,-1,4
132,160,60,105,0,-30
128,162,61,134,1,29
128,162,65,130,4,-4
129,162,71,127,6,-3
133,163,124,124,53,-3
138,165,123,126,-1,2
147,163,128,124,5,-2
157,164,126,122,-2,-2
163,154,113,116,-13,-6
170,160,120,119,7,3
172,162,124,119,4,0
172,160,123,118,-1,-1
168,160,121,121,-2,3
164,157,114,123,-7,2
161,155,111,123,-3,0
165,150,111,131,0,8
163,147,109,62,-2,-69
161,139,106,60,-3,-2
151,132,98,58,-8,-2
152,129,96,58,-2,0
156,126,95,60,-1,2
159,124,94,62,-1,2
156,126,89,131,-5,69
153,126,85,107,-4,-24
149,123,80,68,-5,-39
146,129,81,51,1,-17
141,126,73,46,-8,-5
141,174,74,114,1,68
173,174,94,113,20,-1
173,174,85,108,-9,-5
173,174,87,105,2,-3
173,174,87,103,0,-2
141,173,21,100,-66,-3
141,173,22,98,1,-2
146,170,19,99,-3,1
154,170,17,98,-2,-1
157,170,16,96,-1,-2
158,170,16,95,0,-1
160,170,15,94,-1,-1
161,170,15,92,0,-2
163,170,15,91,0,-1
165,170,14,90,-1,-1
173,170,80,89,66,-1
173,170,79,89,-1,0
173,170,79,88,0,-1
173,170,78,88,-1,0
173,170,78,87,0,-1
173,170,78,87,0,0
173,174,77,85,-1,-2
173,174,77,84,0,-1
173,174,77,84,0,0
173,174,77,84,0,0
173,174,76,84,-1,0
173,174,76,84,0,0
173,174,76,83,0,-1
173,173,76,82,0,-1
173,174,76,84,0,2
173,174,76,84,0,0
173,174,75,84,-1,0
