Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.18,117.83,3.87,1.12,111.7,3.66,,40.5,56.4
1.09,109.37,3.59,1.04,104.04,3.41,,43,49.8
1.27,127.25,4.17,1.22,122.1,4.01,,39.8,68.2
1.13,112.83,3.7,1.08,107.58,3.53,,40,54
1.12,111.5,3.66,1.05,105.4,3.46,,36.3,51.8
1.18,118.27,3.88,1.13,113.4,3.72,,35.9,58.7
1.28,127.83,4.19,1.23,122.71,4.03,,40.1,67.7
1.17,117.08,3.84,1.11,111.47,3.66,,40.8,53
1.15,114.91,3.77,1.09,109.33,3.59,,39.4,51.5
1.23,122.88,4.03,1.17,116.76,3.83,,39.5,60.6
1.36,135.71,4.45,1.3,129.59,4.25,,44.1,72.9
1.17,116.8,3.83,1.11,110.92,3.64,,37,54.1
1.18,118.39,3.88,1.14,113.93,3.74,,41.9,56.9
1.17,116.59,3.83,1.11,111.36,3.65,,41.9,53.6
1.16,115.94,3.8,1.11,111.03,3.64,,42.8,52.3
1.17,117.05,3.84,1.12,112.05,3.68,,43,52.7
1.17,117.31,3.85,1.13,112.6,3.69,,43.8,52.8
1.33,132.84,4.36,1.3,129.57,4.25,,44.5,69.3
1.29,129.36,4.24,1.26,125.53,4.12,,43.4,65.4
1.3,129.7,4.26,1.25,125.2,4.11,,42.1,64.4
1.3,130.09,4.27,1.26,125.59,4.12,,41.4,64.4
1.31,131.05,4.3,1.27,126.54,4.15,,45.8,64.5
1.32,131.82,4.32,1.27,126.67,4.16,,45.1,64.1
1.3,130.31,4.28,1.27,126.71,4.16,,42.3,64.1
1.24,123.74,4.06,1.22,122.07,4,,39.2,59.4
1.29,129.14,4.24,1.28,127.82,4.19,,39.2,65.4
1.23,123.06,4.04,1.21,120.69,3.96,,43.6,57.7
1.31,130.77,4.29,1.29,128.97,4.23,,43.2,65.7
1.31,130.92,4.3,1.29,129.07,4.23,,44.6,65.8
1.3,130.34,4.28,1.29,128.68,4.22,,39.4,65.1
1.34,133.73,4.39,1.32,132.19,4.34,,40.4,68.8
1.2,120.16,3.94,1.19,118.88,3.9,,41.5,55.9
1.32,131.6,4.32,1.3,129.56,4.25,,47.3,66.6
1.22,121.59,3.99,1.19,118.93,3.9,,42.1,56.2
1.17,117.28,3.85,1.18,118.42,3.89,,41.6,56.6
1.2,120.36,3.95,1.18,118.26,3.88,,49.2,56
1.17,116.97,3.84,1.19,118.78,3.9,,49.8,55.8
1.22,121.7,3.99,1.2,119.56,3.92,,48.5,56.5
1.18,117.68,3.86,1.16,116.26,3.81,,47.7,53.2
1.18,118.13,3.88,1.2,119.84,3.93,,49.1,57.2
1.22,121.8,4,1.21,120.78,3.96,,43.8,58.4
1.38,137.84,4.52,1.36,136.43,4.48,,42.6,74
1.4,140.4,4.61,1.39,139.28,4.57,,42.9,76.9
1.3,129.61,4.25,1.29,129.48,4.25,,43.1,66.7
1.29,128.7,4.22,1.31,130.68,4.29,,45,66.9
1.31,130.67,4.29,1.32,131.82,4.32,,44.5,66.9
1.32,132.33,4.34,1.33,132.93,4.36,,45,67.5
1.33,132.77,4.36,1.33,133.12,4.37,,45,67.5
1.42,142.1,4.66,1.39,138.82,4.55,,43.5,72.2
1.43,143.19,4.7,1.4,139.56,4.58,,43.4,73.6
1.43,142.82,4.69,1.4,139.67,4.58,,43.1,73.7
1.42,142.06,4.66,1.4,139.69,4.58,,38.1,72.9
1.43,142.72,4.68,1.42,141.77,4.65,,44.4,75.8
1.37,137.4,4.51,1.35,135.24,4.44,,42.9,68.9
1.52,151.61,4.97,1.5,149.52,4.91,,44.6,82.7
1.38,137.64,4.52,1.36,135.72,4.45,,42.1,68.2
1.39,138.82,4.55,1.36,136.29,4.47,,43.2,69.5
1.37,137.15,4.5,1.35,135.46,4.44,,44.6,67.9
1.45,144.86,4.75,1.43,143.13,4.7,,46.8,74.8
1.38,137.77,4.52,1.36,135.94,4.46,,49.8,68.1
1.44,143.64,4.71,1.42,141.52,4.64,,45.8,73.9
1.39,139.18,4.57,1.37,136.84,4.49,,49.3,69
1.38,138.13,4.53,1.36,136.09,4.46,,48.3,68.4
1.38,138.45,4.54,1.37,136.76,4.49,,48.7,69.2
1.37,136.74,4.49,1.35,135.1,4.43,,48.8,67.8
1.44,143.9,4.72,1.43,142.55,4.68,,47.6,75.6
1.47,146.79,4.82,1.45,144.64,4.75,,48.2,77.5
1.44,143.55,4.71,1.41,141.34,4.64,,47.8,73.5
1.43,143.09,4.69,1.41,141.49,4.64,,47.7,72.7
1.44,143.61,4.71,1.42,142.07,4.66,,47.7,74
1.37,137.01,4.5,1.35,135.3,4.44,,47.6,67.1
1.38,137.99,4.53,1.36,136.01,4.46,,48.4,67.4
1.41,141.23,4.63,1.4,139.61,4.58,,47.7,70.4
1.45,144.79,4.75,1.44,143.63,4.71,,47.1,74.6
1.38,137.76,4.52,1.36,135.85,4.46,,47.1,67.3
1.42,142.05,4.66,1.4,140.37,4.61,,48.1,71.6
1.44,143.71,4.71,1.42,142.07,4.66,,47.6,73.2
1.46,146.37,4.8,1.45,144.57,4.74,,49.9,75.4
1.47,146.64,4.81,1.45,144.64,4.75,,49.4,75.5
1.44,144.42,4.74,1.42,142.13,4.66,,50.2,72.8
1.44,144.36,4.74,1.42,142.03,4.66,,49.9,72.7
1.46,145.75,4.78,1.44,143.53,4.71,,50.9,74.1
1.47,147.44,4.84,1.46,145.71,4.78,,50.2,76.4
1.49,148.82,4.88,1.47,146.89,4.82,,49.4,77.2
1.47,146.88,4.82,1.45,145.05,4.76,,47,75.3
1.52,151.91,4.98,1.5,149.76,4.91,,48.3,79.6
1.52,152.01,4.99,1.5,149.93,4.92,,49.8,79.5
1.46,146.48,4.81,1.44,144.33,4.74,,49.8,73.6
1.52,152.4,5,1.5,150.45,4.94,,49.9,79.7
1.49,148.8,4.88,1.47,146.74,4.81,,49.1,76.5
1.51,151.2,4.96,1.49,149.16,4.89,,50.7,78.6
1.5,149.54,4.91,1.47,147.33,4.83,,50.9,77
1.49,149.08,4.89,1.47,147.06,4.82,,50.5,76.7
1.49,149.15,4.89,1.47,147.21,4.83,,50.9,76.6
1.48,148.45,4.87,1.47,146.72,4.81,,50.5,76.2
1.48,147.94,4.85,1.46,146.26,4.8,,50.7,75.6
1.49,148.57,4.87,1.47,146.91,4.82,,50.5,75.8
1.48,147.94,4.85,1.46,146.3,4.8,,51.7,75.1
1.48,148.2,4.86,1.47,146.66,4.81,,52,75.4
1.49,148.8,4.88,1.47,147.34,4.83,,51.6,76.1
1.49,149.12,4.89,1.48,147.78,4.85,,51,76.3
1.49,149.14,4.89,1.48,147.85,4.85,,49.4,76.3
1.49,149.26,4.9,1.48,148.05,4.86,,49,76.6
1.49,149.2,4.9,1.48,148.04,4.86,,49.5,76.7
1.49,149.15,4.89,1.48,148.11,4.86,,49.5,76.7
1.49,149.22,4.9,1.48,148.15,4.86,,49,76.9
1.49,149.2,4.89,1.48,148.34,4.87,,47.5,77.2
1.49,149.33,4.9,1.49,148.52,4.87,,46.8,77.6
1.5,149.58,4.91,1.49,148.75,4.88,,46.6,78
1.5,150.19,4.93,1.49,149.33,4.9,,46.1,78.3
1.5,150.45,4.94,1.5,149.59,4.91,,46.2,78.9
1.51,151.06,4.96,1.5,150.17,4.93,,46.2,79.2
1.51,151.17,4.96,1.5,150.01,4.92,,47.1,79.4
1.51,151.18,4.96,1.5,149.85,4.92,,49.7,79.5
1.51,150.93,4.95,1.49,149.26,4.9,,49.8,79.1
1.51,151.12,4.96,1.49,149.46,4.9,,52.8,79.6
1.51,151,4.95,1.49,149.4,4.9,,52.2,79.4
1.5,150.44,4.94,1.49,148.73,4.88,,51.3,78.7
1.5,150.16,4.93,1.48,148.45,4.87,,51,78.5
1.51,151.15,4.96,1.49,149.34,4.9,,51.4,79.3
=average(a2:a121),=average(b2:b121),=average(c2:c121),=average(d2:d121),=average(e2:e121),=average(f2:f121)
=median(a2:a121),=median(b2:b121),=median(c2:c121),=median(d2:d121),=median(e2:e121),=median(f2:f121)
=max(a2:a121),=max(b2:b121),=max(c2:c121),=max(d2:d121),=max(e2:e121),=max(f2:f121)
