Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
99,20,86,104,0,0
36,60,35,104,-51,0
61,31,37,163,2,59
40,23,143,116,106,-47
104,16,29,158,-114,42
73,23,115,118,86,-40
114,25,112,27,-3,-91
52,27,112,57,0,30
41,41,27,112,-85,55
58,38,28,101,1,-11
44,45,23,83,-5,-18
35,43,30,77,7,-6
29,64,65,119,35,42
37,38,26,67,-39,-52
81,43,22,69,-4,2
72,42,22,74,0,5
47,42,23,75,1,1
51,32,47,78,24,3
70,29,117,70,70,-8
87,28,27,115,-90,45
138,26,35,119,8,4
34,25,132,107,97,-12
17,45,49,145,-83,38
41,55,77,131,28,-14
48,158,21,132,-56,1
47,159,42,133,21,1
160,161,14,25,-28,-108
171,91,22,129,8,104
171,69,118,35,96,-94
167,56,111,72,-7,37
156,107,97,21,-14,-51
171,106,119,11,22,-10
174,44,115,35,-4,24
166,44,109,32,-6,-3
164,71,108,9,-1,-23
167,153,110,13,2,4
162,109,113,151,3,138
156,49,106,8,-7,-143
148,18,129,13,23,5
164,7,108,13,-21,0
165,20,140,7,32,-6
158,160,140,107,0,100
166,162,117,111,-23,4
143,157,19,108,-98,-3
161,148,102,127,83,19
164,155,108,135,6,8
162,155,100,110,-8,-25
161,168,102,141,2,31
159,165,103,120,1,-21
165,152,104,123,1,3
164,152,104,126,0,3
156,177,104,122,0,-4
158,177,91,121,-13,-1
168,173,25,119,-66,-2
164,172,66,113,41,-6
160,170,34,112,-32,-1
163,171,95,111,61,-1
161,162,132,107,37,-4
156,163,138,107,6,0
162,171,90,112,-48,5
160,165,130,105,40,-7
161,162,125,138,-5,33
161,165,123,120,-2,-18
160,163,94,136,-29,16
166,165,127,141,33,5
156,168,107,103,-20,-38
161,164,103,100,-4,-3
166,160,107,96,4,-4
159,163,127,97,20,1
165,165,106,96,-21,-1
167,162,135,94,29,-2
174,164,114,93,-21,-1
156,154,117,90,3,-3
164,162,123,54,6,-36
168,163,111,128,-12,74
159,157,110,89,-1,-39
159,150,103,86,-7,-3
160,151,103,86,0,0
160,144,133,81,30,-5
157,142,102,81,-31,0
153,143,95,86,-7,5
158,138,99,81,4,-5
160,142,99,123,0,42
162,147,99,127,0,4
166,154,99,137,0,10
165,151,98,133,-1,-4
160,156,93,131,-5,-2
161,161,92,138,-1,7
162,166,92,114,0,-24
166,166,94,138,2,24
166,166,135,138,41,0
167,169,130,117,-5,-21
165,171,89,143,-41,26
162,170,87,136,-2,-7
162,168,87,132,0,-4
162,168,85,134,-2,2
164,168,86,139,1,5
157,166,81,135,-5,-4
150,166,77,134,-4,-1
153,165,80,131,3,-3
150,163,79,134,-1,3
153,162,127,133,48,-1
159,160,114,130,-13,-3
162,159,125,128,11,-2
159,159,132,127,7,-1
162,160,115,128,-17,1
160,159,118,126,3,-2
163,160,126,127,8,1
160,160,128,126,2,-1
163,162,130,127,2,1
164,162,131,126,1,-1
167,162,123,123,-8,-3
168,163,127,123,4,0
168,163,120,120,-7,-3
172,164,129,124,9,4
171,163,121,123,-8,-1
168,162,119,123,-2,0
166,161,119,125,0,2
165,155,121,135,2,10
162,150,119,77,-2,-58
