Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.27,126.97,4.17,1.25,125.03,4.1,,48.3,57
1.27,126.56,4.15,1.26,125.88,4.13,,48.5,58.2
1.3,129.7,4.26,1.27,127.23,4.17,,48.6,59.5
1.34,133.78,4.39,1.31,131.27,4.31,,51,63.2
1.36,136.37,4.47,1.34,133.89,4.39,,51.1,65.7
1.38,137.93,4.53,1.36,135.61,4.45,,50.1,66.6
1.39,139.36,4.57,1.36,136.41,4.48,,49.4,67.3
1.4,140.2,4.6,1.37,137.22,4.5,,49.3,68.1
1.41,140.83,4.62,1.38,137.91,4.52,,49.1,68.5
1.41,140.81,4.62,1.38,138.23,4.54,,50.5,69.1
1.4,140.45,4.61,1.38,138.29,4.54,,50.8,68.4
1.43,142.62,4.68,1.42,141.5,4.64,,51.2,71.2
1.44,143.68,4.71,1.43,142.82,4.69,,50.5,72.2
1.44,144.43,4.74,1.44,143.89,4.72,,50.3,73
1.41,141.29,4.64,1.4,139.8,4.59,,50.2,68.5
1.41,140.87,4.62,1.39,139.25,4.57,,50.3,67.5
1.4,140.05,4.59,1.38,138.5,4.54,,50.7,66.8
1.4,139.9,4.59,1.38,138.29,4.54,,50.5,66.3
1.4,140.14,4.6,1.38,138.44,4.54,,49.6,66.1
1.4,140.27,4.6,1.39,138.51,4.54,,49.9,65.7
1.49,149.34,4.9,1.48,147.56,4.84,,50.1,74.9
1.54,154.17,5.06,1.52,152.28,5,,50.1,79.5
1.55,155.43,5.1,1.53,153.37,5.03,,50.4,80.3
1.57,157.19,5.16,1.55,154.86,5.08,,50.4,81.5
1.55,154.95,5.08,1.53,152.54,5,,49.9,79.1
1.56,155.79,5.11,1.53,153.2,5.03,,49.6,79.6
1.55,154.77,5.08,1.52,152.24,4.99,,51,78.8
1.54,154.28,5.06,1.52,151.75,4.98,,50.7,78.4
1.54,153.79,5.05,1.51,151.07,4.96,,50.5,77.8
1.54,153.6,5.04,1.51,151.01,4.95,,50.9,77.7
1.54,153.54,5.04,1.51,150.95,4.95,,50.6,77.7
1.53,152.5,5,1.5,149.98,4.92,,50.3,76.6
1.52,152.4,5,1.5,149.88,4.92,,50.2,76.3
1.51,151.31,4.96,1.49,148.9,4.89,,50.1,75.7
1.51,151.33,4.96,1.49,148.77,4.88,,50.1,75.4
1.54,153.71,5.04,1.51,151.25,4.96,,50.7,77.5
1.53,152.76,5.01,1.5,150.36,4.93,,50.6,76.3
1.52,152.35,5,1.5,150.04,4.92,,50,75.8
1.51,150.89,4.95,1.49,148.66,4.88,,49.3,75.1
1.5,150.06,4.92,1.48,147.96,4.85,,52.7,74.6
1.51,150.93,4.95,1.49,148.71,4.88,,51.7,74.7
1.5,150.43,4.94,1.48,148.05,4.86,,51.4,74.3
1.5,149.9,4.92,1.48,147.55,4.84,,51.1,74.3
1.49,149.39,4.9,1.47,147.06,4.82,,50.6,74.1
1.49,149.45,4.9,1.47,147.02,4.82,,50.8,74
1.49,149.11,4.89,1.47,146.65,4.81,,51,73.8
1.49,148.76,4.88,1.46,146.37,4.8,,50.8,73.5
1.49,149.34,4.9,1.47,146.94,4.82,,51.1,73.5
1.49,149.31,4.9,1.47,146.91,4.82,,50.3,73.6
1.49,149.23,4.9,1.47,146.99,4.82,,51.2,73.8
1.49,149.11,4.89,1.47,147.04,4.82,,51.4,74
1.49,148.9,4.89,1.47,146.79,4.82,,51.6,73.8
1.48,148.4,4.87,1.46,146.35,4.8,,51.6,73.7
1.48,148.43,4.87,1.46,146.3,4.8,,51,73.7
1.49,148.64,4.88,1.47,146.65,4.81,,51.3,74.1
1.48,148.48,4.87,1.47,146.55,4.81,,51.2,74.1
1.49,148.78,4.88,1.47,146.96,4.82,,51.2,74.4
1.48,148.47,4.87,1.47,146.64,4.81,,50.7,74.3
1.49,149.45,4.9,1.48,147.65,4.84,,51.1,74.6
1.49,148.99,4.89,1.47,147.49,4.84,,51.2,74.6
1.49,148.96,4.89,1.47,147.43,4.84,,50.8,74.5
1.49,149.33,4.9,1.48,147.8,4.85,,51.2,74.8
1.49,149.12,4.89,1.48,147.74,4.85,,51.3,74.8
1.49,149.28,4.9,1.48,148.3,4.87,,50.9,75.3
1.49,149.33,4.9,1.48,148.35,4.87,,50.9,75.4
1.5,149.69,4.91,1.49,148.77,4.88,,51.1,75.8
1.5,150.21,4.93,1.49,149.4,4.9,,51.2,76.3
1.51,150.98,4.95,1.5,150.26,4.93,,51,77.2
1.51,151.45,4.97,1.51,150.96,4.95,,50.7,77.8
1.52,151.75,4.98,1.51,151,4.95,,51.2,77.9
1.53,153.47,5.04,1.52,152.39,5,,51.2,79.4
1.55,154.58,5.07,1.53,153.24,5.03,,51.6,80.2
1.56,156.16,5.12,1.55,154.61,5.07,,52.5,81.9
1.56,155.54,5.1,1.54,153.7,5.04,,52.1,80.7
1.56,156.14,5.12,1.54,154.16,5.06,,51.9,81.1
1.53,153.44,5.03,1.51,151.4,4.97,,52,78.2
1.53,152.96,5.02,1.51,150.94,4.95,,51.7,77.5
1.53,153.11,5.02,1.51,150.94,4.95,,52,77.1
1.54,153.72,5.04,1.52,151.57,4.97,,51.8,78.1
1.52,152.37,5,1.5,150.1,4.92,,52.2,76.5
1.52,152.45,5,1.5,150.19,4.93,,51.8,76.5
1.5,150.35,4.93,1.48,148.02,4.86,,51.9,74.2
1.5,150.22,4.93,1.48,147.92,4.85,,51.7,74
1.51,150.88,4.95,1.48,148.39,4.87,,51.3,74.4
1.5,150.15,4.93,1.48,147.83,4.85,,51.2,73.9
1.5,149.65,4.91,1.47,147.31,4.83,,51.6,73.4
1.5,149.78,4.91,1.47,147.47,4.84,,51.3,73.4
1.5,150.23,4.93,1.48,147.96,4.85,,51.7,73.9
1.5,149.9,4.92,1.48,147.54,4.84,,51.5,73.6
1.5,149.9,4.92,1.48,147.67,4.84,,51.8,73.6
1.51,151.09,4.96,1.49,148.7,4.88,,51,74.7
1.5,150.37,4.93,1.48,148.06,4.86,,51,73.8
1.51,150.58,4.94,1.48,148.14,4.86,,51,73.8
1.51,150.62,4.94,1.48,148.36,4.87,,51.2,73.5
1.51,150.51,4.94,1.48,148.37,4.87,,50.1,73.5
1.5,150.43,4.94,1.48,148.25,4.86,,49.8,73.5
1.5,149.94,4.92,1.48,147.84,4.85,,50.3,73.4
1.5,150.12,4.93,1.48,148.04,4.86,,50.3,73.3
1.49,149.31,4.9,1.47,147.38,4.84,,50.3,73.1
1.49,149.04,4.89,1.47,147.32,4.83,,51.2,73.1
1.49,148.92,4.89,1.47,147.32,4.83,,50.6,73.2
1.49,149.13,4.89,1.48,147.61,4.84,,50.6,73.2
1.49,149.17,4.89,1.48,147.74,4.85,,50.6,73.3
1.49,149.04,4.89,1.48,147.7,4.85,,50.5,73.2
1.49,149.16,4.89,1.48,147.81,4.85,,51.2,73.3
1.49,149.39,4.9,1.48,148.04,4.86,,51,73.5
1.5,149.67,4.91,1.48,148.28,4.86,,51,73.7
1.5,149.83,4.92,1.48,148.44,4.87,,51.5,73.8
1.5,149.99,4.92,1.49,148.61,4.88,,51.1,74
1.5,150.36,4.93,1.49,149.03,4.89,,50.9,74.3
1.51,150.9,4.95,1.5,149.65,4.91,,50.9,74.9
1.51,151.11,4.96,1.5,150.09,4.92,,51,75
1.51,151.42,4.97,1.5,150.44,4.94,,51,75.4
1.52,151.51,4.97,1.51,150.61,4.94,,51.3,75.6
1.52,151.69,4.98,1.51,151.03,4.96,,51.1,76
1.52,152.15,4.99,1.52,151.56,4.97,,50.9,76.6
1.53,153.35,5.03,1.53,152.59,5.01,,51,77.5
1.54,154.19,5.06,1.53,153.31,5.03,,51.8,78.1
1.55,154.91,5.08,1.54,153.63,5.04,,50.8,78.3
1.56,155.62,5.11,1.54,154.13,5.06,,51.1,78.8
=average(a2:a121),=average(b2:b121),=average(c2:c121),=average(d2:d121),=average(e2:e121),=average(f2:f121)
=median(a2:a121),=median(b2:b121),=median(c2:c121),=median(d2:d121),=median(e2:e121),=median(f2:f121)
=max(a2:a121),=max(b2:b121),=max(c2:c121),=max(d2:d121),=max(e2:e121),=max(f2:f121)
