Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,WristLeft X,Y,Z,WristRight X,Y,Z,ElbowLeft X,Y,Z,ElbowRight X,Y,Z,SholdD,LSHD,RSHD,HIPD,LWristSpineD,RWristSpineD, ShoulDX, HipDX 
-0.316124,0.733884,4.51936,-0.316423,0.826928,4.55246,-0.133946,0.731105,4.52361,-0.206314,0.916748,4.55011,-0.125765,0.801601,4.48492,-0.108086,0.89351,4.51371,0.0645139,1.12147,4.51647,-0.0671889,0.899862,4.54629,-0.137475,0.913101,4.57222,-0.128211,1.10753,4.52768,-0.11881,1.29817,4.47564,-0.118061,1.36891,4.42539,-0.267182,1.25177,4.50323,0.0404112,1.21443,4.49554,-0.26186,0.930382,4.48126,0.0985371,1.05052,4.49777,-0.256475,1.0904,4.49194,0.153253,1.20095,4.51335,0.309948,0.34372,0.33631,0.140199,0.22671,0.23571,0.307594,0.139126
-0.233505,0.80125,4.48693,-0.226186,0.896958,4.51694,-0.30513,1.10703,4.51195,-0.201437,0.941419,4.53998,-0.141463,0.808557,4.47644,-0.125383,0.90325,4.505,0.0613987,1.1419,4.51429,-0.105937,0.933124,4.53201,-0.150232,0.939727,4.56182,-0.137104,1.14441,4.49263,-0.120486,1.33805,4.41913,-0.117462,1.40051,4.38378,-0.268119,1.25461,4.50502,0.038577,1.21316,4.49641,-0.257987,0.952568,4.50804,0.0535039,1.08151,4.50224,-0.265319,1.11625,4.48857,0.164126,1.21719,4.50918,0.309603,0.32211,0.317135,0.0961898,0.22727,0.200947,0.306696,0.0954994
-0.095959,0.707443,4.41045,-0.0932109,0.761962,4.49755,0.0144847,1.03571,4.50873,-0.211564,0.940573,4.54338,-0.113555,0.857768,4.39868,-0.110901,0.913089,4.48564,-0.00945928,1.10147,4.45229,-0.114794,0.931725,4.53535,-0.163535,0.939784,4.56526,-0.140697,1.14327,4.49164,-0.121536,1.33738,4.41132,-0.12171,1.40165,4.37632,-0.279544,1.24359,4.50039,0.0375459,1.20939,4.49091,-0.291694,0.991901,4.50953,0.00352592,1.03396,4.48083,-0.325577,1.11668,4.48173,0.134189,1.12299,4.5143,0.31907,0.313514,0.319814,0.0975043,0.214551,0.181287,0.31709,0.0967697
-0.150782,0.47422,4.43002,-0.149469,0.528225,4.51833,-0.112405,0.726453,4.48079,-0.21965,0.925388,4.54008,-0.129402,0.789626,4.38395,-0.127971,0.845376,4.472,-0.0348874,1.10629,4.43967,-0.121126,0.919075,4.53887,-0.170641,0.927486,4.56533,-0.148269,1.13395,4.48961,-0.126752,1.33377,4.40766,-0.126105,1.39964,4.3742,-0.289213,1.23924,4.49519,0.0378591,1.2098,4.48941,-0.272367,0.932061,4.49177,0.171403,0.939044,4.46141,-0.327629,1.10839,4.50611,0.127836,1.11264,4.51464,0.328445,0.324585,0.33503,0.0987331,0.236992,0.375466,0.327073,0.0985236
-0.25425,0.369308,4.51292,-0.245044,0.467066,4.56642,-0.204464,0.684876,4.52486,-0.211252,0.932086,4.52749,-0.211666,0.572846,4.46974,-0.200632,0.674339,4.51065,0.127302,0.963916,4.47947,-0.111365,0.924433,4.52346,-0.16196,0.933851,4.55231,-0.14645,1.12326,4.4947,-0.131507,1.2808,4.44091,-0.13295,1.37487,4.39715,-0.297672,1.23179,4.49029,0.035999,1.20189,4.48159,-0.331103,1.03083,4.49879,0.160535,0.846345,4.4687,-0.430122,1.20087,4.52631,0.0969308,1.02836,4.51812,0.33512,0.314126,0.316942,0.10026,0.206537,0.414245,0.333671,0.0998863
-0.261827,0.234393,4.41158,-0.261254,0.29202,4.50678,-0.225862,0.630348,4.51922,-0.202667,0.917153,4.52358,-0.258895,0.369851,4.42322,-0.258298,0.428261,4.51836,-0.194464,0.670592,4.50293,-0.0944074,0.908216,4.52178,-0.149727,0.918287,4.54923,-0.145918,1.12014,4.48407,-0.147923,1.31982,4.38839,-0.146508,1.39587,4.35568,-0.309419,1.22416,4.48189,0.0276117,1.20088,4.47527,-0.335079,1.02147,4.49746,-0.0698434,1.03397,4.50817,-0.442298,1.1931,4.52869,0.078768,1.02592,4.51316,0.3379,0.327704,0.320472,0.108643,0.213766,0.11744,0.337031,0.10826
-0.259178,0.153356,4.40923,-0.260684,0.211757,4.5079,-0.222978,0.574,4.52,-0.216841,0.842302,4.52046,-0.405238,0.419127,4.453,-0.426495,0.525293,4.49275,-0.358626,0.78507,4.47585,-0.0994406,0.836276,4.52444,-0.159089,0.844319,4.54955,-0.15712,1.08156,4.46432,-0.151862,1.31515,4.37911,-0.158037,1.3856,4.33485,-0.317806,1.21704,4.46991,0.0254203,1.19856,4.47059,-0.297649,0.927206,4.48881,0.145579,1.17362,4.48291,-0.406375,1.10628,4.52342,0.0998712,1.02953,4.51164,0.343724,0.391375,0.386965,0.117622,0.210175,0.316935,0.343226,0.1174
-0.249134,0.106768,4.40559,-0.250434,0.166137,4.50678,-0.215848,0.537214,4.5218,-0.231473,0.811106,4.52024,-0.214839,0.0284068,4.37003,-0.215941,0.0873016,4.47125,-0.226194,0.458845,4.50682,-0.108542,0.810383,4.51849,-0.170862,0.815973,4.54692,-0.163928,1.07116,4.46217,-0.158597,1.31227,4.37223,-0.164517,1.38411,4.33069,-0.325802,1.21044,4.45901,0.0192627,1.19792,4.45732,-0.299107,0.920988,4.49035,0.154274,1.16074,4.49399,-0.410477,1.10417,4.53149,0.0796001,1.02294,4.50354,0.345296,0.414865,0.412624,0.122946,0.204006,0.332098,0.345065,0.122931
-0.209947,0.0930528,4.38692,-0.211506,0.153621,4.48989,-0.154431,0.528687,4.49418,-0.23382,0.797953,4.51486,-0.219052,0.00211026,4.36842,-0.220675,0.0621123,4.4714,-0.230028,0.440421,4.50606,-0.108544,0.796986,4.51637,-0.172141,0.802572,4.54378,-0.168977,1.05974,4.4571,-0.165984,1.30767,4.36373,-0.174408,1.37761,4.32085,-0.338931,1.20355,4.44654,0.0123222,1.19564,4.44569,-0.375478,0.938058,4.49048,0.15241,1.15446,4.49862,-0.458567,1.13527,4.50939,0.074406,1.02133,4.49748,0.351344,0.424532,0.42253,0.125289,0.242001,0.337615,0.351254,0.125276
-0.215644,0.102878,4.38881,-0.218137,0.163724,4.4912,-0.159286,0.543942,4.49683,-0.237229,0.81865,4.50353,-0.27558,-0.164481,4.3784,-0.278454,-0.105318,4.48078,-0.23318,0.457089,4.49873,-0.125088,0.825376,4.49967,-0.18153,0.826724,4.53028,-0.177699,1.06363,4.44787,-0.179173,1.29959,4.35065,-0.189804,1.37106,4.3099,-0.348503,1.20449,4.43911,0.0105881,1.19595,4.44241,-0.380776,0.936623,4.4889,0.160792,1.0592,4.5415,-0.458083,1.13316,4.50984,0.0410754,1.01336,4.46611,0.359208,0.406704,0.398763,0.112409,0.24301,0.351229,0.359091,0.112141
