Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
0.881,88.082,2.89,0.893,89.341,2.93,,32.3,40.9
0.954,95.394,3.13,0.918,91.794,3.01,,30.4,42.2
1.01,100.61,3.3,1.04,104.38,3.42,,26.9,54.2
0.943,94.283,3.09,0.951,95.075,3.12,,32.2,43.9
0.949,94.897,3.11,0.942,94.223,3.09,,33.9,47.3
1.16,115.61,3.79,1.14,114.45,3.76,,34.9,62.8
1.23,122.8,4.03,1.22,121.7,3.99,,36.4,63.3
1.27,126.6,4.15,1.26,125.69,4.12,,37.2,64.7
1.28,127.71,4.19,1.28,127.97,4.2,,36.6,66.1
1.26,125.94,4.13,1.26,125.94,4.13,,36.1,67
1.56,155.8,5.11,1.55,155.48,5.1,,36.2,94
1.56,156.22,5.13,1.55,155.37,5.1,,35.9,92.3
1.52,151.78,4.98,1.5,149.92,4.92,,35.9,87.1
1.51,150.78,4.95,1.49,149.18,4.89,,36.2,86.6
1.51,151.36,4.97,1.5,149.76,4.91,,36.9,87.5
1.49,149.43,4.9,1.48,147.94,4.85,,42.5,85.7
1.49,148.72,4.88,1.47,147.08,4.83,,43.9,84.7
1.49,148.72,4.88,1.47,147.15,4.83,,44.7,84.5
1.49,148.51,4.87,1.47,146.99,4.82,,45.3,84
1.48,148.33,4.87,1.46,145.83,4.78,,46.5,82.9
1.47,147.39,4.84,1.44,144.49,4.74,,45.6,82
1.47,146.9,4.82,1.44,144.04,4.73,,41.9,81.4
1.47,146.91,4.82,1.44,144.23,4.73,,42.3,81.4
1.46,146.43,4.8,1.44,143.87,4.72,,42.7,81.1
1.47,146.56,4.81,1.44,143.95,4.72,,43.1,81
1.46,146.14,4.79,1.44,143.73,4.72,,43.4,80.9
1.46,145.82,4.78,1.44,143.94,4.72,,45.8,79.8
1.45,145.32,4.77,1.43,143.31,4.7,,45.8,78.9
1.44,144.38,4.74,1.43,142.59,4.68,,45.7,78.2
1.45,144.61,4.74,1.43,142.77,4.68,,45.6,78.3
1.44,144.4,4.74,1.43,142.63,4.68,,45.6,77.9
1.44,144.32,4.74,1.43,142.57,4.68,,46.1,78
1.44,143.8,4.72,1.42,142.11,4.66,,46.3,73.5
1.44,144.36,4.74,1.43,142.78,4.68,,53.2,73.6
1.45,144.77,4.75,1.43,143.34,4.7,,46.1,74.4
1.46,145.52,4.77,1.44,144.04,4.73,,49.3,75.8
1.46,146.13,4.79,1.45,144.65,4.75,,52.9,76.5
1.46,146.41,4.8,1.45,145.02,4.76,,46.2,76.7
1.47,146.97,4.82,1.46,145.53,4.77,,50.4,77.1
1.47,147.11,4.83,1.46,145.88,4.79,,46.1,77.1
1.47,147.43,4.84,1.46,146.11,4.79,,46.3,77.1
1.47,147.42,4.84,1.46,146.36,4.8,,47.7,77.4
1.48,147.67,4.84,1.46,146.46,4.81,,54.9,77
1.47,147.13,4.83,1.46,146.02,4.79,,54.3,77
1.47,146.64,4.81,1.45,145.38,4.77,,45.8,76.8
1.47,146.64,4.81,1.46,146,4.79,,45.1,76.4
1.46,146.24,4.8,1.46,145.55,4.78,,46,76.1
1.46,146.04,4.79,1.46,145.54,4.77,,44.7,76.2
1.45,145.23,4.76,1.45,144.9,4.75,,46.3,76.1
1.45,144.57,4.74,1.44,144.22,4.73,,48.8,75.9
1.45,145.11,4.76,1.45,144.81,4.75,,49.3,76.2
1.45,144.67,4.75,1.44,144.42,4.74,,48.8,76.3
1.44,143.69,4.71,1.43,143.5,4.71,,44.6,76
1.43,143.46,4.71,1.43,143.49,4.71,,57,77.1
1.45,144.91,4.75,1.45,144.76,4.75,,52.9,77.3
1.45,145.25,4.77,1.45,145.28,4.77,,50.3,77.8
1.46,145.81,4.78,1.46,145.91,4.79,,47.5,79.1
1.47,146.74,4.81,1.46,146.12,4.79,,49.9,78.6
1.48,147.75,4.85,1.47,147.22,4.83,,47.8,79.6
1.52,152.19,4.99,1.52,151.61,4.97,,50.4,80.6
1.51,150.91,4.95,1.5,150.19,4.93,,50.6,81
1.5,150.06,4.92,1.49,149.24,4.9,,50.7,79.6
1.51,150.91,4.95,1.5,150.44,4.94,,44.9,80.3
1.5,149.88,4.92,1.49,149.31,4.9,,45.7,79.4
1.51,151.22,4.96,1.51,150.74,4.95,,44.2,81.5
1.5,150.5,4.94,1.5,150.12,4.93,,44.4,81.2
1.51,150.54,4.94,1.5,149.84,4.92,,41.9,80.2
1.51,151.02,4.95,1.5,150.17,4.93,,41.9,80.2
1.51,151.31,4.96,1.5,150.33,4.93,,42.4,80.5
1.52,151.53,4.97,1.5,150.45,4.94,,42.7,80.4
1.51,151.38,4.97,1.5,150.21,4.93,,41.8,80.2
1.52,152.19,4.99,1.51,150.81,4.95,,42.3,80.6
1.53,152.8,5.01,1.51,151.4,4.97,,42.5,81.2
1.52,152.42,5,1.51,150.86,4.95,,42.5,80.7
1.52,152.29,5,1.51,150.59,4.94,,44.7,80.5
1.53,152.98,5.02,1.51,151.29,4.96,,50.3,81
1.54,153.63,5.04,1.52,151.89,4.98,,50,81.5
1.53,153.3,5.03,1.52,151.66,4.98,,50,81.1
1.53,152.52,5,1.51,150.72,4.94,,50.1,80
1.53,153.02,5.02,1.51,151.08,4.96,,49.6,80.4
1.52,152.13,4.99,1.5,150.06,4.92,,49.6,79.6
1.54,154.38,5.06,1.52,152.42,5,,47.1,81.5
1.55,154.56,5.07,1.53,152.67,5.01,,47.1,81.6
1.55,154.83,5.08,1.53,152.98,5.02,,46.7,81.7
1.54,154.27,5.06,1.53,152.65,5.01,,46.9,81.5
1.54,153.78,5.05,1.52,152.14,4.99,,48.1,80.8
1.53,153.48,5.04,1.52,151.82,4.98,,47.5,80.4
1.53,153.18,5.03,1.52,151.53,4.97,,47.2,80
1.53,153.12,5.02,1.51,151.21,4.96,,45.9,79.8
1.53,153.09,5.02,1.51,151.3,4.96,,46,79.6
1.53,152.53,5,1.51,150.81,4.95,,45.5,79.2
1.53,152.63,5.01,1.51,151.02,4.95,,45.3,79
1.53,152.51,5,1.51,150.79,4.95,,45.9,78.7
1.53,152.51,5,1.51,150.85,4.95,,46.1,78.7
1.53,152.66,5.01,1.51,150.64,4.94,,45.6,78.1
1.52,152.07,4.99,1.5,150.18,4.93,,45.4,77.8
1.52,152.4,5,1.5,150.47,4.94,,45,77.7
1.52,152.5,5,1.51,150.53,4.94,,44.8,77.6
1.52,152.17,4.99,1.5,150.21,4.93,,44.8,77.3
1.52,152,4.99,1.5,150.07,4.92,,44.3,77
1.52,152.08,4.99,1.5,150.17,4.93,,44.7,77
1.52,152.17,4.99,1.5,150.3,4.93,,45,77.3
1.52,151.96,4.99,1.5,150.18,4.93,,44.8,77.1
1.52,152.19,4.99,1.5,150.35,4.93,,45.2,77.1
1.52,152.27,5,1.5,150.47,4.94,,45.2,77.1
1.53,152.62,5.01,1.51,150.87,4.95,,45,77.3
1.53,152.75,5.01,1.51,150.96,4.95,,45.6,77.3
1.53,152.99,5.02,1.51,151.27,4.96,,45.9,77.6
1.53,153.22,5.03,1.52,151.52,4.97,,45.9,77.8
1.53,153.37,5.03,1.52,151.68,4.98,,45.9,77.9
1.53,153.43,5.03,1.52,151.77,4.98,,45.8,78
1.53,153.48,5.04,1.52,151.84,4.98,,46.1,78.1
1.54,153.53,5.04,1.52,151.91,4.98,,45.9,78.1
1.53,153.22,5.03,1.52,151.76,4.98,,43.8,78.3
1.53,153.22,5.03,1.52,151.8,4.98,,44.8,78.4
1.53,153.06,5.02,1.52,151.82,4.98,,44.9,78.3
1.53,152.98,5.02,1.52,151.87,4.98,,45.3,78.2
1.53,152.82,5.01,1.52,151.75,4.98,,45.5,78.2
1.52,152.48,5,1.51,151.44,4.97,,44.9,78.1
1.52,152.2,4.99,1.51,151.37,4.97,,45.7,78.1
=average(a2:a121),=average(b2:b121),=average(c2:c121),=average(d2:d121),=average(e2:e121),=average(f2:f121)
=median(a2:a121),=median(b2:b121),=median(c2:c121),=median(d2:d121),=median(e2:e121),=median(f2:f121)
=max(a2:a121),=max(b2:b121),=max(c2:c121),=max(d2:d121),=max(e2:e121),=max(f2:f121)
