Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,WristLeft X,Y,Z,WristRight X,Y,Z,ElbowLeft X,Y,Z,ElbowRight X,Y,Z,SholdD,LSHD,RSHD,HIPD,LWristSpineD,RWristSpineD, ShoulDX, HipDX 
0.260195,0.423763,4.35049,0.274025,0.578999,4.41235,-0.175186,0.509895,4.17698,0.0123772,0.799732,4.4369,0.258509,0.0890743,4.17231,0.282326,-0.0601819,4.18973,0.290538,0.460413,4.20952,0.177081,0.806904,4.4368,0.0956055,0.810743,4.47786,0.0859558,1.05383,4.42807,0.0762044,1.28965,4.36558,0.0819246,1.43087,4.32878,-0.0989351,1.1642,4.34795,0.263813,1.17998,4.35563,-0.16668,0.700568,4.21318,0.414314,0.722532,4.4796,-0.173452,0.957928,4.36389,0.366773,0.946368,4.47714,0.363172,0.391337,0.391531,0.16486,0.48456,0.469291,0.362748,0.164704
0.0934894,0.655138,4.36048,0.0752474,0.803359,4.43292,-0.240071,0.546016,4.19419,0.0644794,0.706458,4.45127,0.29083,0.00197658,3.87771,0.285002,0.0770129,4.019,0.319713,0.555082,4.08174,0.228659,0.716008,4.45113,0.147825,0.717321,4.4893,0.115428,0.99856,4.41143,0.0821469,1.27486,4.32749,0.0824308,1.41546,4.29516,-0.0954315,1.15176,4.31665,0.262555,1.17311,4.33538,-0.166465,0.714232,4.158,0.402665,0.652195,4.44262,-0.169877,0.950781,4.33693,0.3682,0.940426,4.45843,0.359111,0.491922,0.472742,0.164457,0.473849,0.451051,0.357987,0.164179
0.141238,0.721856,4.33302,0.134101,0.870471,4.41032,-0.16762,0.70428,4.05455,0.00274426,0.739404,4.42391,0.276158,0.307474,3.83792,0.270428,0.387435,3.9767,0.297438,0.758724,4.04512,0.166064,0.743461,4.43165,0.0850963,0.747492,4.46397,0.0870153,1.00554,4.38525,0.0791378,1.26282,4.29514,0.0860725,1.39469,4.23418,-0.0911971,1.14083,4.26278,0.263685,1.14964,4.28222,-0.181881,0.714756,4.10537,0.4138,0.714701,4.42565,-0.176425,0.945082,4.27357,0.36671,0.931261,4.4105,0.355523,0.442637,0.443663,0.163554,0.484969,0.439328,0.354882,0.16332
0.143673,0.712247,4.27145,0.135018,0.859184,4.35004,-0.143967,0.701018,3.98268,0.0240209,0.755445,4.3638,0.184326,0.314209,4.10156,0.217281,0.187912,4.15574,0.235726,0.544575,4.06851,0.186226,0.759453,4.37153,0.105963,0.763483,4.40246,0.0957381,1.01017,4.32587,0.085396,1.25058,4.23851,0.0895082,1.38787,4.20186,-0.0894582,1.12986,4.22253,0.266159,1.14037,4.25412,-0.176209,0.703854,4.05078,0.407606,0.689077,4.38182,-0.185094,0.9187,4.23321,0.366942,0.918948,4.3863,0.357172,0.415956,0.406541,0.162438,0.493414,0.4511,0.355617,0.162205
0.147411,0.701205,4.25338,0.140534,0.849035,4.3304,-0.14988,0.702191,3.96589,0.0206496,0.757901,4.32551,0.273436,0.150103,3.80046,0.27038,0.227651,3.9392,0.272779,0.595466,4.00319,0.182975,0.763106,4.33317,0.102656,0.766785,4.36511,0.0917595,1.00597,4.29577,0.0807113,1.2397,4.21296,0.0980836,1.37593,4.15684,-0.0881556,1.12027,4.19649,0.270846,1.12905,4.20777,-0.191487,0.735097,4.05545,0.402343,0.677242,4.35758,-0.18043,0.90756,4.19483,0.366012,0.903656,4.34574,0.359286,0.399749,0.396689,0.162589,0.45973,0.456445,0.359002,0.162326
0.145817,0.70021,4.21471,0.143464,0.849988,4.28091,-0.151287,0.686363,3.91248,-0.0225941,0.74543,4.28529,0.242824,0.32487,3.99411,0.236489,0.404554,4.13031,0.452023,0.648795,4.33348,0.139834,0.74406,4.29307,0.0590984,0.750802,4.32407,0.0745474,0.994641,4.24777,0.0895018,1.23212,4.1605,0.0998168,1.37082,4.13165,-0.0852459,1.11329,4.14946,0.274711,1.11232,4.17204,-0.182299,0.730179,3.99905,0.408172,0.657128,4.31416,-0.180309,0.898583,4.15591,0.367277,0.895336,4.30259,0.360665,0.397111,0.410431,0.16262,0.444715,0.479196,0.359957,0.162428
0.057005,0.425145,4.12102,0.0332255,0.571842,4.18131,-0.111632,0.629484,3.87451,0.0206716,0.746532,4.24378,0.199781,0.254267,4.01809,0.186017,0.109479,4.05745,0.201387,0.464459,4.03248,0.183092,0.74875,4.2437,0.102702,0.753651,4.27786,0.0977293,0.992006,4.20616,0.093658,1.22553,4.12794,0.104175,1.36439,4.07764,-0.0845712,1.10662,4.10781,0.274942,1.11095,4.13227,-0.169346,0.684504,3.92829,0.405121,0.662619,4.26478,-0.178069,0.904958,4.12807,0.372224,0.876374,4.26385,0.36037,0.399035,0.389929,0.162436,0.493053,0.454336,0.359513,0.162421
0.0365561,0.338084,4.08052,0.00432613,0.483358,4.13463,-0.173072,0.663577,3.84887,0.0220401,0.732533,4.15048,0.178065,0.200916,3.99469,0.169715,0.0556217,4.03983,0.212389,0.409206,4.00885,0.184582,0.731605,4.15627,0.104149,0.737993,4.18698,0.103191,0.983563,4.13885,0.10156,1.22303,4.08266,0.113534,1.36332,4.04717,-0.0769292,1.10508,4.0689,0.282424,1.10349,4.09091,-0.169583,0.684319,3.9277,0.406639,0.637567,4.20725,-0.169687,0.896066,4.10377,0.369558,0.862629,4.20046,0.36003,0.394003,0.390057,0.162648,0.456656,0.465267,0.359353,0.162542
0.023229,-0.0546277,4.10927,-0.0540257,0.0537056,4.20368,0.0473438,0.375885,4.09577,0.0172503,0.719714,4.09601,0.193588,0.213768,4.04604,0.18233,0.108581,4.17856,0.205049,0.388931,3.96906,0.180087,0.720126,4.10375,0.0994721,0.725767,4.13318,0.102248,0.979217,4.10246,0.103458,1.22421,4.05949,0.122648,1.36353,4.00916,-0.0725913,1.10489,4.03575,0.284547,1.10574,4.04295,-0.167718,0.681936,3.92314,0.396839,0.610596,4.1387,-0.156182,0.904429,4.06832,0.366857,0.866088,4.14935,0.357212,0.400083,0.40411,0.163021,0.439788,0.473263,0.357139,0.162836
0.027032,-0.0933327,4.04386,-0.0647007,0.0148995,4.11191,-0.0350556,0.366942,4.06045,0.0142367,0.71263,4.06214,0.200411,0.161455,3.99574,0.200764,0.0273352,4.08511,0.209778,0.361859,3.9673,0.178796,0.706633,4.05898,0.09723,0.715623,4.09395,0.108347,0.974952,4.05421,0.119475,1.22888,4.00723,0.128116,1.36648,3.9668,-0.0654374,1.10868,3.99127,0.285858,1.105,4.00701,-0.168579,0.676631,3.91707,0.400046,0.605224,4.08391,-0.156443,0.901116,4.05178,0.361464,0.867612,4.0984,0.351667,0.41015,0.415761,0.164699,0.429522,0.471879,0.351295,0.164559
