Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
139,171,82,133,0,0,93,122,TO,FF
141,175,92,125,10,-8,93,122,TO,FF
147,172,96,121,4,-4,93,122,TO,FF
155,175,104,112,8,-9,93,122,TO,FF
158,175,109,109,5,-3,118,107,FF,FF
168,169,116,107,7,-2,118,107,FF,FF
177,171,121,107,5,0,118,107,FF,FF
178,169,126,105,5,-2,118,107,FF,FF
177,164,127,100,1,-5,130,109,HS,FF
177,158,130,107,3,7,130,109,HS,FF
166,154,135,113,5,6,130,109,HS,FF
166,145,131,117,-4,4,130,109,HS,FF
161,140,124,113,-7,-4,124,105,HS,FF
164,134,126,107,2,-6,124,105,HS,FF
169,139,126,100,0,-7,124,105,HS,FF
170,138,122,103,-4,3,124,105,HS,FF
171,140,121,113,-1,10,119,112,FF,FF
172,140,119,115,-2,2,119,112,FF,FF
173,152,118,110,-1,-5,119,112,FF,FF
177,151,121,113,3,3,119,112,FF,FF
176,156,117,121,-4,8,112,132,FF,HS
176,165,112,131,-5,10,112,132,FF,HS
175,170,110,141,-2,10,112,132,FF,HS
175,176,110,136,0,-5,112,132,FF,HS
173,175,105,138,-5,2,107,135,FF,HS
173,170,107,136,2,-2,107,135,FF,HS
165,170,107,135,0,-1,107,135,FF,HS
160,168,112,131,5,-4,107,135,FF,HS
150,165,108,130,-4,-1,100,126,FF,HS
145,160,103,125,-5,-5,100,126,FF,HS
138,163,97,125,-6,0,100,126,FF,HS
134,170,92,124,-5,-1,100,126,FF,HS
134,172,90,124,-2,0,99,120,FF,FF
134,175,97,121,7,-3,99,120,FF,FF
140,177,100,120,3,-1,99,120,FF,FF
140,177,109,117,9,-3,99,120,FF,FF
148,177,114,115,5,-2,120,109,HS,FF
160,176,117,112,3,-3,120,109,HS,FF
166,175,126,107,9,-5,120,109,HS,FF
174,175,125,105,-1,-2,120,109,HS,FF
177,174,129,104,4,-1,126,107,HS,FF
176,173,129,113,0,9,126,107,HS,FF
176,170,122,107,-7,-6,126,107,HS,FF
175,169,124,104,2,-3,126,107,HS,FF
176,164,128,111,4,7,123,104,HS,FF
172,154,125,108,-3,-3,123,104,HS,FF
168,146,122,103,-3,-5,123,104,HS,FF
168,141,120,97,-2,-6,123,104,HS,FF
171,141,120,92,0,-5,118,89,FF,FF
173,139,119,87,-1,-5,118,89,FF,FF
173,141,118,86,-1,-1,118,89,FF,FF
175,143,115,93,-3,7,118,89,FF,FF
174,150,113,96,-2,3,112,104,FF,FF
177,157,113,103,0,7,112,104,FF,FF
175,164,112,107,-1,4,112,104,FF,FF
176,168,110,111,-2,4,112,104,FF,FF
175,171,110,113,0,2,109,119,FF,FF
173,178,106,122,-4,9,109,119,FF,FF
173,175,106,122,0,0,109,119,FF,FF
170,178,114,121,8,-1,109,119,FF,FF
172,177,118,125,4,4,122,121,HS,FF
174,173,122,125,4,0,122,121,HS,FF
160,172,127,121,5,-4,122,121,HS,FF
147,163,122,116,-5,-5,122,121,HS,FF
134,167,115,116,-7,0,104,114,FF,FF
139,167,108,114,-7,-2,104,114,FF,FF
142,173,101,115,-7,1,104,114,FF,FF
139,174,93,114,-8,-1,104,114,FF,FF
139,174,101,112,8,-2,105,108,FF,FF
144,175,111,110,10,-2,105,108,FF,FF
143,175,104,107,-7,-3,105,108,FF,FF
154,175,104,104,0,-3,105,108,FF,FF
158,176,107,102,3,-2,113,98,FF,FF
166,175,112,99,5,-3,113,98,FF,FF
171,175,114,98,2,-1,113,98,FF,FF
176,165,120,93,6,-5,113,98,FF,FF
175,165,119,94,-1,1,115,98,FF,FF
172,164,117,97,-2,3,115,98,FF,FF
169,166,114,99,-3,2,115,98,FF,FF
171,154,113,105,-1,6,115,98,FF,FF
173,158,113,105,0,0,107,109,FF,FF
168,147,110,108,-3,3,107,109,FF,FF
162,141,103,111,-7,3,107,109,FF,FF
164,139,103,114,0,3,107,109,FF,FF
165,142,101,110,-2,-4,99,104,FF,FF
163,141,98,100,-3,-10,99,104,FF,FF
166,141,99,109,1,9,99,104,FF,FF
166,145,100,100,1,-9,99,104,FF,FF
165,148,102,93,2,-7,102,88,FF,FF
162,155,103,83,1,-10,102,88,FF,FF
159,156,102,87,-1,4,102,88,FF,FF
156,158,101,89,-1,2,102,88,FF,FF
152,167,99,91,-2,2,98,96,FF,FF
151,174,97,93,-2,2,98,96,FF,FF
150,174,98,101,1,8,98,96,FF,FF
150,174,100,99,2,-2,98,96,FF,FF
174,174,90,98,-10,-1,89,96,TO,FF
174,174,90,97,0,-1,89,96,TO,FF
174,174,89,96,-1,-1,89,96,TO,FF
174,174,89,95,0,-1,89,96,TO,FF
174,174,88,95,-1,0,88,95,TO,FF
174,174,88,95,0,0,88,95,TO,FF
174,174,88,95,0,0,88,95,TO,FF
174,174,88,95,0,0,88,95,TO,FF
174,174,88,95,0,0,88,84,TO,FF
174,175,88,89,0,-6,88,84,TO,FF
174,176,88,81,0,-8,88,84,TO,FF
174,176,88,72,0,-9,88,84,TO,FF
174,176,87,63,-1,-9,87,50,TO,FF
174,176,87,54,0,-9,87,50,TO,FF
174,178,87,46,0,-8,87,50,TO,FF
174,179,87,39,0,-7,87,50,TO,FF
174,179,87,32,0,-7,86,25,TO,FF
174,177,87,27,0,-5,86,25,TO,FF
174,176,87,23,0,-4,86,25,TO,FF
174,176,86,20,-1,-3,86,25,TO,FF
174,175,86,11,0,-9,85,11,TO,TO
174,177,86,11,0,0,85,11,TO,TO
174,176,85,11,-1,0,85,11,TO,TO
174,176,85,11,0,0,85,11,TO,TO
