Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,WristLeft X,Y,Z,WristRight X,Y,Z,ElbowLeft X,Y,Z,ElbowRight X,Y,Z,SholdD,LSHD,RSHD,HIPD,LWristSpineD,RWristSpineD, ShoulDX, HipDX 
-0.0824057,0.173673,4.41839,-0.0725472,0.0485171,4.48857,-0.0695768,0.37231,4.43318,-0.0503545,0.664355,4.41376,0.121552,0.135847,4.42298,0.112047,0.0685272,4.52603,0.127559,0.378977,4.42535,0.113228,0.64827,4.39816,0.031687,0.661599,4.44145,0.0390922,0.95106,4.38506,0.0462844,1.23376,4.31765,0.0401675,1.36641,4.23593,-0.134874,1.15507,4.34758,0.225797,1.1196,4.32028,-0.302103,0.700211,4.53413,0.248477,0.616649,4.33735,-0.192999,0.911243,4.4952,0.26206,0.857293,4.38194,0.363438,0.502323,0.490801,0.165111,0.448957,0.397428,0.360671,0.163583
-0.134515,0.182095,4.42756,-0.0684554,0.131498,4.47955,-0.066363,0.393737,4.37749,-0.0462775,0.682847,4.37124,0.0941974,0.0675747,4.39355,0.108729,0.125318,4.51051,0.125543,0.383889,4.40859,0.116397,0.667731,4.35537,0.035337,0.680659,4.39802,0.0413942,0.956706,4.34882,0.0476203,1.22884,4.28558,0.0397379,1.36529,4.22078,-0.13328,1.15194,4.33509,0.217379,1.11682,4.28131,-0.287333,0.684273,4.52711,0.227664,0.602094,4.25877,-0.201164,0.904987,4.48391,0.241375,0.843307,4.29999,0.356494,0.478456,0.46622,0.164144,0.462676,0.410554,0.350659,0.162675
-0.0833897,-0.166156,4.44697,-0.0656806,-0.0841917,4.50269,-0.0644698,0.317501,4.35497,-0.0479973,0.680561,4.35268,0.106374,0.00115059,4.48077,0.107907,0.120202,4.51274,0.120617,0.364457,4.39141,0.113568,0.667868,4.33225,0.0330701,0.679485,4.37697,0.0358373,0.954706,4.32266,0.038403,1.22409,4.25809,0.0337992,1.35756,4.17347,-0.132656,1.14624,4.28977,0.210824,1.12141,4.24754,-0.273688,0.718126,4.52315,0.231617,0.633339,4.21705,-0.199832,0.917631,4.46305,0.254908,0.849858,4.28324,0.346957,0.477478,0.471521,0.163346,0.438147,0.390845,0.34348,0.161565
-0.0571289,-0.165649,4.35547,-0.0377504,-0.0755443,4.42064,-0.0570609,0.287262,4.32018,-0.0532526,0.663253,4.312,0.157625,0.0106205,4.46484,0.102887,0.0805629,4.49873,0.119131,0.345956,4.37606,0.104652,0.644279,4.28608,0.0257719,0.658556,4.33237,0.039237,0.937739,4.2774,0.052556,1.2099,4.21042,0.0324075,1.3537,4.14914,-0.132047,1.14135,4.26666,0.207381,1.10076,4.20148,-0.277131,0.705342,4.51984,0.22319,0.631436,4.16266,-0.205491,0.904669,4.4409,0.251158,0.84416,4.25762,0.348004,0.48666,0.475488,0.161139,0.461381,0.375267,0.339428,0.157904
-0.0743408,-0.191772,4.23828,-0.0383234,-0.111218,4.33455,-0.0537272,0.276801,4.2757,-0.0545709,0.666552,4.28594,0.119543,-0.00888747,4.47184,0.103726,0.0799746,4.49801,0.117217,0.330655,4.36132,0.102678,0.651859,4.25723,0.0242599,0.664154,4.30629,0.0322185,0.939495,4.25544,0.0401658,1.2086,4.19212,0.0271625,1.34495,4.11588,-0.140477,1.13231,4.23562,0.198799,1.10079,4.17528,-0.27892,0.695452,4.50404,0.21145,0.614865,4.12652,-0.212294,0.90207,4.42668,0.249523,0.837649,4.20104,0.346039,0.476277,0.466365,0.160523,0.467084,0.392591,0.339277,0.157249
-0.0430298,-0.179321,4.18359,-0.0375596,-0.103051,4.26032,-0.0443343,0.271185,4.24616,-0.0539949,0.662514,4.24497,0.102839,-0.0808805,4.46875,0.113645,0.0051849,4.50251,0.121913,0.306251,4.33899,0.101766,0.645813,4.23072,0.0239952,0.659187,4.27227,0.0299802,0.9376,4.21371,0.0355698,1.21003,4.14513,0.0165595,1.34054,4.08643,-0.144846,1.13369,4.21157,0.193972,1.09467,4.13525,-0.276582,0.693749,4.50066,0.206934,0.620557,4.06897,-0.217203,0.888261,4.39055,0.242724,0.83912,4.17542,0.349492,0.481019,0.468066,0.157301,0.485579,0.39087,0.338818,0.155761
-0.0389467,-0.181047,4.13943,-0.0373885,-0.100746,4.21621,-0.0420745,0.264348,4.22752,-0.0588747,0.663862,4.22174,0.0732347,-0.0567208,4.37439,0.0930904,0.00177561,4.49175,0.115595,0.307057,4.29942,0.0951438,0.651055,4.19317,0.0182551,0.662555,4.2419,0.0227665,0.935158,4.19023,0.0268092,1.20211,4.12566,0.00629333,1.33384,4.05794,-0.155012,1.11988,4.1735,0.183042,1.0917,4.10218,-0.276331,0.662732,4.42814,0.203994,0.620011,4.05366,-0.223076,0.88488,4.36944,0.242214,0.84681,4.13462,0.346643,0.468529,0.458442,0.157169,0.469338,0.388345,0.338054,0.154019
-0.0473428,-0.163347,4.03888,-0.0306888,-0.107557,4.1546,-0.040958,0.256506,4.17693,-0.0587526,0.666665,4.1698,0.0765966,-0.0956579,4.36648,0.0942024,-0.0392943,4.4822,0.121647,0.291258,4.26957,0.0965267,0.651239,4.15664,0.0191133,0.664253,4.19645,0.0185086,0.933266,4.14871,0.0184768,1.19636,4.09094,-0.00721955,1.33,4.01828,-0.160113,1.11268,4.13577,0.178484,1.08085,4.07139,-0.275614,0.64912,4.40797,0.19425,0.597857,4.01294,-0.227715,0.862964,4.31942,0.235254,0.823562,4.09776,0.346131,0.458656,0.445595,0.156597,0.484218,0.402265,0.338597,0.155279
-0.0283628,-0.202624,4.07422,-0.0294532,-0.118849,4.15266,-0.0373617,0.246638,4.16488,-0.0617919,0.647054,4.15008,0.103357,-0.165248,4.47592,0.0901917,-0.0786959,4.50826,0.117922,0.250883,4.26843,0.0934892,0.632365,4.1278,0.0160449,0.64525,4.17333,0.0108579,0.918001,4.12449,0.00514092,1.18359,4.06371,-0.0161898,1.32509,4.00088,-0.166227,1.10348,4.11226,0.170831,1.07634,4.0485,-0.268281,0.62943,4.36396,0.18877,0.596947,3.99781,-0.233772,0.855243,4.29803,0.233256,0.84589,4.08124,0.344107,0.469746,0.457588,0.157558,0.467482,0.388297,0.337057,0.155281
-0.0288102,-0.204812,4.07233,-0.0278677,-0.127698,4.14619,-0.0307935,0.225737,4.12435,-0.0785883,0.620743,4.11114,0.115681,-0.154232,4.46239,0.0989202,-0.0709935,4.48359,0.111688,0.217139,4.22742,0.0800354,0.609433,4.09585,0.000593554,0.619915,4.13709,-0.00899593,0.895782,4.08711,-0.0180152,1.16553,4.02739,-0.0389473,1.30098,3.96155,-0.183342,1.09185,4.08053,0.156451,1.0703,4.01187,-0.27014,0.612026,4.31506,0.184804,0.573583,3.97839,-0.240504,0.837519,4.24369,0.219059,0.806825,4.04446,0.347331,0.483581,0.474649,0.15976,0.447965,0.391397,0.339793,0.158624
