Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.48,148.16,4.86,1.42,141.97,4.66,,50.7,74
1.53,153.39,5.03,1.47,147.15,4.83,,52.4,81.8
1.39,138.93,4.56,1.32,132.38,4.34,,57.6,65.9
1.37,137.35,4.51,1.3,129.85,4.26,,56.5,64.8
1.38,138.49,4.54,1.31,131.02,4.3,,53.2,65.3
1.39,139.43,4.57,1.33,132.59,4.35,,51.9,65.5
1.37,137.02,4.5,1.32,131.84,4.33,,52.3,64
1.35,135.18,4.43,1.3,130.23,4.27,,53.1,64.2
1.37,136.52,4.48,1.31,131.39,4.31,,52.8,65
1.38,137.98,4.53,1.33,132.95,4.36,,54.3,66.7
1.38,138.37,4.54,1.33,133.39,4.38,,59.4,66.8
1.41,141.28,4.64,1.36,136.08,4.46,,55.7,67.1
1.41,140.78,4.62,1.35,134.96,4.43,,54.9,68.5
1.38,138.07,4.53,1.34,134.49,4.41,,57.8,68.2
1.4,140.07,4.6,1.38,138.08,4.53,,51,69
1.32,131.95,4.33,1.29,128.59,4.22,,58,62.2
1.42,141.56,4.64,1.35,135.41,4.44,,53.1,67.8
1.37,137.03,4.5,1.34,134.44,4.41,,52.6,67.2
1.29,129.1,4.24,1.3,130.05,4.27,,50.7,62.6
1.32,131.9,4.33,1.28,128.13,4.2,,53.1,61.1
1.27,126.81,4.16,1.24,124.44,4.08,,53.7,57.8
1.36,135.8,4.46,1.33,133.26,4.37,,54,67
1.36,135.73,4.45,1.31,131,4.3,,53,64.3
1.32,131.8,4.32,1.29,129.05,4.23,,52.9,62.7
1.36,135.91,4.46,1.34,133.76,4.39,,54.5,67.3
1.31,131.24,4.31,1.28,127.52,4.18,,54,60.5
1.35,134.6,4.42,1.34,133.9,4.39,,54.3,67.2
1.32,131.66,4.32,1.29,129.24,4.24,,53.6,62.2
1.38,138.34,4.54,1.36,136.19,4.47,,53.6,68.7
1.39,139.16,4.57,1.37,136.9,4.49,,53.4,69
1.4,140.42,4.61,1.38,137.75,4.52,,52.1,69.7
1.41,141.39,4.64,1.37,137.28,4.5,,52.1,69.4
1.42,142.33,4.67,1.39,138.75,4.55,,53,70
1.41,141.37,4.64,1.4,139.51,4.58,,51.8,71.1
1.34,134.49,4.41,1.33,132.55,4.35,,54.7,63.8
1.53,152.88,5.02,1.52,151.91,4.98,,55.6,83
1.53,153.21,5.03,1.52,152.14,4.99,,54.5,83.5
1.57,157.48,5.17,1.55,155.45,5.1,,56.5,87
1.59,158.85,5.21,1.56,156.49,5.13,,56,87.8
1.56,155.58,5.1,1.53,153.19,5.03,,56,84.1
1.59,159.37,5.23,1.57,156.94,5.15,,54.3,87.9
1.58,157.66,5.17,1.56,155.69,5.11,,51.6,86.3
1.57,156.85,5.15,1.55,154.91,5.08,,49.8,85.6
1.6,159.64,5.24,1.58,157.7,5.17,,53,88.1
1.57,157.07,5.15,1.55,155.1,5.09,,48.5,85.4
1.55,154.98,5.08,1.53,153.12,5.02,,48.8,83.3
1.57,157.46,5.17,1.56,155.82,5.11,,50.4,85.9
1.57,157.03,5.15,1.55,155.33,5.1,,49.2,84.9
1.57,157.31,5.16,1.55,155.48,5.1,,48.1,85
1.57,156.84,5.15,1.55,155.46,5.1,,54.7,84.4
