Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
89,61,73,114,0,0,78,123,FF,FF
7,23,75,123,2,9,78,123,FF,FF
20,14,79,126,4,3,78,123,FF,FF
9,96,87,130,8,4,78,123,FF,FF
81,142,95,133,8,3,93,125,FF,HS
69,86,91,127,-4,-6,93,125,FF,HS
44,114,93,124,2,-3,93,125,FF,HS
43,135,96,119,3,-5,93,125,FF,HS
39,91,100,116,4,-3,106,111,FF,FF
111,98,107,112,7,-4,106,111,FF,FF
115,97,108,107,1,-5,106,111,FF,FF
114,116,112,109,4,2,106,111,FF,FF
120,102,122,105,10,-4,118,99,FF,FF
123,116,113,101,-9,-4,118,99,FF,FF
75,86,117,98,4,-3,118,99,FF,FF
77,86,123,94,6,-4,118,99,FF,FF
63,82,128,90,5,-4,133,83,HS,TO
55,94,134,85,6,-5,133,83,HS,TO
59,95,139,80,5,-5,133,83,HS,TO
176,92,131,77,-8,-3,133,83,HS,TO
159,90,118,74,-13,-3,97,73,FF,TO
165,154,104,70,-14,-4,97,73,FF,TO
149,145,90,73,-14,3,97,73,FF,TO
175,158,77,76,-13,3,97,73,FF,TO
155,139,69,84,-8,8,63,89,TO,FF
160,148,66,89,-3,5,63,89,TO,FF
152,153,62,92,-4,3,63,89,TO,FF
152,147,57,92,-5,0,63,89,TO,FF
170,156,60,99,3,7,70,105,TO,FF
148,162,67,105,7,6,70,105,TO,FF
173,165,74,106,7,1,70,105,TO,FF
166,157,80,113,6,7,70,105,TO,FF
167,166,83,120,3,7,87,124,FF,HS
170,167,85,123,2,3,87,124,FF,HS
176,157,93,128,8,5,87,124,FF,HS
165,163,90,125,-3,-3,87,124,FF,HS
160,164,88,128,-2,3,86,132,FF,HS
168,169,88,138,0,10,86,132,FF,HS
170,170,86,131,-2,-7,86,132,FF,HS
155,169,82,133,-4,2,86,132,FF,HS
150,169,79,131,-3,-2,76,131,FF,HS
147,168,79,139,0,8,76,131,FF,HS
139,166,71,131,-8,-8,76,131,FF,HS
141,169,77,126,6,-5,76,131,FF,HS
140,169,79,122,2,-4,85,126,FF,HS
146,174,82,129,3,7,85,126,FF,HS
140,170,88,125,6,-4,85,126,FF,HS
158,175,91,128,3,3,85,126,FF,HS
157,168,94,128,3,0,99,117,FF,FF
172,175,99,121,5,-7,99,117,FF,FF
170,172,101,114,2,-7,99,117,FF,FF
173,171,105,108,4,-6,99,117,FF,FF
169,156,108,114,3,6,111,103,FF,FF
173,156,115,106,7,-8,111,103,FF,FF
167,141,114,100,-1,-6,111,103,FF,FF
168,145,110,95,-4,-5,111,103,FF,FF
171,146,109,91,-1,-4,106,85,FF,FF
172,139,108,87,-1,-4,106,85,FF,FF
169,144,106,83,-2,-4,106,85,FF,FF
169,144,103,82,-3,-1,106,85,FF,FF
170,149,102,85,-1,3,112,91,FF,FF
168,152,111,89,9,4,112,91,FF,FF
166,156,117,94,6,5,112,91,FF,FF
167,160,121,97,4,3,112,91,FF,FF
167,167,130,101,9,4,131,108,HS,FF
169,171,133,106,3,5,131,108,HS,FF
169,175,132,111,-1,5,131,108,HS,FF
170,174,131,114,-1,3,131,108,HS,FF
168,171,130,117,-1,3,130,128,HS,HS
170,171,129,126,-1,9,130,128,HS,HS
169,173,127,136,-2,10,130,128,HS,HS
170,173,136,135,9,-1,130,128,HS,HS
167,173,135,134,-1,-1,127,134,HS,HS
161,173,130,134,-5,0,127,134,HS,HS
154,173,126,134,-4,0,127,134,HS,HS
150,172,120,134,-6,0,127,134,HS,HS
142,171,113,132,-7,-2,105,133,FF,HS
142,172,107,132,-6,0,105,133,FF,HS
142,172,98,133,-9,1,105,133,FF,HS
141,171,102,135,4,2,105,133,FF,HS
147,172,105,134,3,-1,114,132,FF,HS
155,174,112,133,7,-1,114,132,FF,HS
159,173,117,127,5,-6,114,132,FF,HS
170,172,122,134,5,7,114,132,FF,HS
174,173,126,131,4,-3,132,129,HS,HS
174,173,136,130,10,-1,132,129,HS,HS
175,173,134,128,-2,-2,132,129,HS,HS
173,171,133,129,-1,1,132,129,HS,HS
172,169,134,127,1,-2,133,122,HS,FF
171,161,134,128,0,1,133,122,HS,FF
172,160,134,120,0,-8,133,122,HS,FF
171,153,133,113,-1,-7,133,122,HS,FF
172,154,132,117,-1,4,130,115,HS,FF
171,150,131,108,-1,-9,130,115,HS,FF
172,155,130,116,-1,8,130,115,HS,FF
171,157,130,121,0,5,130,115,HS,FF
172,161,131,122,1,1,131,124,HS,HS
171,164,131,124,0,2,131,124,HS,HS
171,169,133,124,2,0,131,124,HS,HS
172,173,132,127,-1,3,131,124,HS,HS
172,174,132,128,0,1,131,127,HS,HS
173,173,132,129,0,1,131,127,HS,HS
173,171,132,129,0,0,131,127,HS,HS
173,171,129,125,-3,-4,131,127,HS,HS
173,173,128,134,-1,9,127,133,HS,HS
171,172,128,135,0,1,127,133,HS,HS
169,171,127,133,-1,-2,127,133,HS,HS
163,173,127,132,0,-1,127,133,HS,HS
155,173,130,130,3,-2,122,129,FF,HS
146,172,126,131,-4,1,122,129,FF,HS
140,171,120,128,-6,-3,122,129,FF,HS
139,171,113,129,-7,1,122,129,FF,HS
139,171,109,128,-4,-1,108,128,FF,HS
140,171,103,127,-6,-1,108,128,FF,HS
144,172,110,127,7,0,108,128,FF,HS
147,172,113,132,3,5,108,128,FF,HS
154,172,110,132,-3,0,112,129,FF,HS
159,172,108,130,-2,-2,112,129,FF,HS
164,174,118,127,10,-3,112,129,FF,HS
162,175,121,126,3,-1,112,129,FF,HS
