Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,WristLeft X,Y,Z,WristRight X,Y,Z,ElbowLeft X,Y,Z,ElbowRight X,Y,Z,SholdD,LSHD,RSHD,HIPD,LWristSpineD,RWristSpineD, ShoulDX, HipDX 
-0.14636,0.316114,4.49381,-0.124952,0.200047,4.55844,-0.415095,0.319582,4.56375,-0.354671,0.636961,4.52319,-0.146317,0.156499,4.49832,-0.143624,0.0328319,4.53651,-0.0883657,0.340821,4.52828,-0.207611,0.651224,4.54675,-0.283091,0.648564,4.56645,-0.304512,0.90225,4.50254,-0.324948,1.15065,4.42878,-0.314689,1.2842,4.40639,-0.471387,1.04786,4.39666,-0.14675,1.07929,4.47106,-0.493623,0.731195,4.25919,-0.0399472,0.837945,4.51764,-0.513864,0.876817,4.36458,-0.064813,1.01203,4.5323,0.334536,0.445498,0.438945,0.149618,0.35248,0.272686,0.324637,0.147061
-0.0963312,-0.142838,4.46273,-0.198555,-0.0907853,4.55423,-0.402906,0.298407,4.56644,-0.343451,0.624684,4.51152,-0.112108,-0.133491,4.45034,-0.151144,-0.0150632,4.51442,-0.117188,0.307602,4.50842,-0.197785,0.642894,4.53621,-0.272552,0.638344,4.55574,-0.297855,0.899306,4.49393,-0.320483,1.15259,4.42064,-0.310279,1.28105,4.39358,-0.465301,1.04539,4.38474,-0.144671,1.08184,4.46018,-0.482429,0.699842,4.22473,-0.0506988,0.761234,4.49622,-0.517999,0.859507,4.33897,-0.070487,0.954247,4.51903,0.331396,0.455978,0.448639,0.148863,0.382523,0.283117,0.32063,0.145667
-0.104867,-0.153329,4.40638,-0.199092,-0.146944,4.5346,-0.395474,0.26604,4.56926,-0.318176,0.586702,4.49003,-0.112671,-0.167114,4.35547,-0.118015,-0.0868534,4.47735,-0.143377,0.250533,4.49626,-0.172112,0.600109,4.52139,-0.24692,0.597714,4.53842,-0.280787,0.875417,4.46948,-0.311252,1.14338,4.39032,-0.297064,1.26018,4.34745,-0.458869,1.04292,4.34952,-0.137969,1.07367,4.42868,-0.463336,0.68504,4.18845,-0.0170557,0.700383,4.49108,-0.51716,0.850191,4.31552,-0.0557981,0.906231,4.51212,0.331947,0.497664,0.483757,0.149994,0.385414,0.317266,0.3209,0.146064
-0.108356,-0.18349,4.35583,-0.188889,-0.164076,4.4942,-0.37924,0.260969,4.56468,-0.317588,0.583796,4.47871,-0.112021,-0.168446,4.34401,-0.121229,-0.0986266,4.44535,-0.141922,0.246537,4.48586,-0.171981,0.596796,4.50132,-0.246548,0.594625,4.52344,-0.275008,0.871402,4.4523,-0.300772,1.14091,4.3706,-0.289974,1.25638,4.34136,-0.448747,1.03814,4.33033,-0.128363,1.07001,4.41647,-0.449223,0.665118,4.16595,-0.0121254,0.655548,4.46998,-0.513241,0.843403,4.29624,-0.0615283,0.874214,4.49248,0.333288,0.495628,0.482739,0.147924,0.393573,0.340607,0.320384,0.145607
-0.106776,-0.171435,4.345,-0.182749,-0.171622,4.48632,-0.381475,0.255502,4.55936,-0.306143,0.569506,4.45994,-0.114358,-0.18113,4.30796,-0.123007,-0.124982,4.41928,-0.143423,0.224902,4.45281,-0.158868,0.576652,4.48166,-0.234213,0.577405,4.50425,-0.259487,0.85622,4.43123,-0.28373,1.12926,4.34823,-0.280805,1.24955,4.31727,-0.438852,1.03475,4.31153,-0.112482,1.05035,4.38303,-0.435026,0.659218,4.14202,-0.00649155,0.641952,4.46232,-0.507951,0.8421,4.2777,-0.0537046,0.854662,4.48366,0.334475,0.50605,0.486073,0.14904,0.39149,0.332993,0.32637,0.147275
-0.167105,-0.157935,4.33622,-0.137405,-0.147349,4.45687,-0.358568,0.274814,4.53094,-0.301098,0.565827,4.41874,-0.116075,-0.179124,4.31448,-0.121853,-0.116422,4.41602,-0.146577,0.238056,4.42905,-0.154757,0.575878,4.44396,-0.22966,0.575215,4.46496,-0.253853,0.851102,4.39759,-0.277083,1.12132,4.3186,-0.259911,1.24218,4.28862,-0.426056,1.02598,4.28083,-0.104931,1.04801,4.36342,-0.432465,0.657333,4.13807,-0.00748429,0.627012,4.44408,-0.502616,0.831167,4.25614,-0.0445875,0.841678,4.4603,0.332308,0.496364,0.481539,0.148838,0.369864,0.336266,0.321125,0.146341
-0.0900371,-0.156482,4.34194,-0.158319,-0.194471,4.47804,-0.368104,0.238272,4.53996,-0.317463,0.516352,4.39658,-0.116918,-0.174401,4.28219,-0.117094,-0.168022,4.40992,-0.141014,0.188497,4.41494,-0.170896,0.523546,4.42016,-0.246063,0.523966,4.44243,-0.250541,0.826835,4.37574,-0.257509,1.11432,4.29421,-0.242319,1.2286,4.24949,-0.411602,1.02558,4.2556,-0.0895714,1.04212,4.33187,-0.42994,0.652475,4.12985,0.00633333,0.591901,4.40497,-0.491301,0.828369,4.24985,-0.0342014,0.834467,4.44136,0.331351,0.536702,0.532284,0.148626,0.350783,0.349331,0.32203,0.146567
-0.0539309,-0.180387,4.3046,-0.112874,-0.12822,4.39161,-0.332907,0.228744,4.49245,-0.311841,0.516851,4.37936,-0.118227,-0.185001,4.28302,-0.115662,-0.154715,4.4064,-0.139065,0.196734,4.38386,-0.164013,0.52241,4.3979,-0.239807,0.523749,4.4231,-0.240199,0.821026,4.348,-0.240629,1.10971,4.26302,-0.227843,1.22633,4.22543,-0.40498,1.02386,4.23988,-0.0714331,1.03539,4.30997,-0.427188,0.643805,4.12325,0.00794319,0.585254,4.39614,-0.482288,0.824748,4.23794,-0.0193186,0.815853,4.40974,0.341027,0.534034,0.528633,0.14909,0.341888,0.345659,0.333547,0.147828
-0.121444,-0.200401,4.30883,-0.157944,-0.159612,4.42073,-0.365442,0.274814,4.41666,-0.305699,0.561781,4.33264,-0.117914,-0.196356,4.3013,-0.115998,-0.125998,4.39851,-0.138313,0.227254,4.37286,-0.157472,0.56565,4.35231,-0.233411,0.568164,4.37675,-0.233935,0.841289,4.31521,-0.235424,1.11223,4.24521,-0.211575,1.22352,4.2015,-0.395417,1.02297,4.21431,-0.0580033,1.03232,4.28366,-0.427787,0.634042,4.11302,0.0109933,0.582545,4.38539,-0.480273,0.821864,4.21029,-0.010602,0.806544,4.38178,0.344594,0.484504,0.482067,0.149577,0.348441,0.363131,0.337414,0.148227
-0.379263,0.0917619,4.46378,-0.41323,-0.0309315,4.52621,-0.371033,0.273553,4.38334,-0.30592,0.559978,4.32137,-0.117849,-0.192736,4.30555,-0.115874,-0.112834,4.39061,-0.13982,0.225579,4.34246,-0.155977,0.560824,4.33666,-0.23285,0.564958,4.3634,-0.230378,0.838837,4.29316,-0.225595,1.10763,4.20745,-0.195477,1.21541,4.15082,-0.382305,1.02361,4.17954,-0.0478766,1.03245,4.24529,-0.43219,0.622815,4.10623,0.022087,0.569263,4.34528,-0.475068,0.81892,4.1966,-0.00148474,0.803022,4.34475,0.340947,0.490825,0.492412,0.150723,0.34977,0.372995,0.334429,0.149943
-0.376866,0.0854407,4.45833,-0.407589,-0.00456674,4.50963,-0.380221,0.269866,4.33042,-0.308073,0.559828,4.30949,-0.117932,-0.189767,4.31038,-0.116767,-0.104716,4.38651,-0.138194,0.224997,4.33687,-0.157397,0.558192,4.32183,-0.234647,0.563569,4.34999,-0.225417,0.839734,4.27525,-0.213611,1.11061,4.1884,-0.18943,1.21345,4.14296,-0.37581,1.0237,4.16562,-0.0374214,1.03013,4.23072,-0.441658,0.611033,4.10501,0.0303751,0.566354,4.32952,-0.473144,0.819907,4.19154,0.0129561,0.79506,4.32376,0.344654,0.490378,0.495396,0.151188,0.357834,0.378301,0.338388,0.150675
