Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
176,145,136,142,0,0
174,141,131,131,-5,-11
176,158,129,136,-2,5
178,159,133,121,4,-15
173,148,132,136,-1,15
173,159,129,125,-3,-11
176,135,127,124,-2,-1
175,137,125,128,-2,4
179,149,126,107,1,-21
179,145,124,113,-2,6
178,155,119,129,-5,16
176,156,119,125,0,-4
174,169,115,137,-4,12
174,178,112,128,-3,-9
173,175,108,130,-4,2
173,172,106,130,-2,0
169,177,100,130,-6,0
170,174,97,121,-3,-9
167,174,103,124,6,3
159,174,113,121,10,-3
150,171,129,120,16,-1
142,174,68,120,-61,0
136,174,67,118,-1,-2
136,177,70,118,3,0
134,174,130,118,60,0
145,175,120,117,-10,-1
146,176,123,117,3,0
149,177,130,122,7,5
165,174,132,119,2,-3
166,173,128,114,-4,-5
176,175,141,111,13,-3
176,173,140,107,-1,-4
177,175,134,107,-6,0
175,165,129,104,-5,-3
171,171,129,117,0,13
175,143,130,116,1,-1
176,149,129,66,-1,-50
177,140,129,63,0,-3
176,134,128,62,-1,-1
175,130,126,63,-2,1
175,134,124,133,-2,70
176,143,132,112,8,-21
179,142,130,113,-2,1
178,149,124,121,-6,8
177,155,125,135,1,14
175,165,123,121,-2,-14
173,172,118,124,-5,3
172,173,116,129,-2,5
175,168,112,129,-4,0
175,173,111,128,-1,-1
172,178,112,125,1,-3
172,175,122,123,10,-2
164,173,123,122,1,-1
156,172,67,119,-56,-3
148,170,66,118,-1,-1
141,173,64,119,-2,1
135,175,67,119,3,0
135,175,71,118,4,-1
139,177,126,118,55,0
141,178,116,117,-10,-1
146,178,121,114,5,-3
154,177,124,113,3,-1
167,158,124,100,0,-13
178,176,126,106,2,6
175,177,94,106,-32,0
174,177,129,102,35,-4
177,175,126,98,-3,-4
176,176,123,103,-3,5
176,130,123,123,0,20
177,138,121,61,-2,-62
175,150,119,66,-2,5
176,141,119,63,0,-3
177,134,119,63,0,0
176,131,119,64,0,1
177,137,118,69,-1,5
176,136,118,129,0,60
178,142,115,119,-3,-10
176,147,112,108,-3,-11
169,158,124,119,12,11
171,167,119,114,-5,-5
170,178,121,120,2,6
152,172,98,121,-23,1
170,173,119,89,21,-32
171,175,119,119,0,30
172,176,107,121,-12,2
171,171,113,119,6,-2
163,164,107,119,-6,0
151,169,66,122,-41,3
141,168,63,122,-3,0
134,168,62,121,-1,-1
130,169,131,122,69,1
130,170,138,122,7,0
135,170,132,128,-6,6
137,172,131,128,-1,0
142,173,130,124,-1,-4
145,172,90,124,-40,0
156,173,98,121,8,-3
163,174,105,118,7,-3
174,174,112,117,7,-1
175,172,114,114,2,-3
164,173,105,113,-9,-1
160,172,101,112,-4,-1
156,166,95,114,-6,2
149,160,88,122,-7,8
140,153,78,128,-10,6
134,144,69,125,-9,-3
168,133,12,63,-57,-62
173,135,103,67,91,4
173,132,102,65,-1,-2
173,173,100,103,-2,38
173,173,99,104,-1,1
173,173,98,104,-1,0
173,173,97,104,-1,0
173,173,97,105,0,1
173,173,97,103,0,-2
173,173,96,102,-1,-1
173,173,96,101,0,-1
173,173,95,99,-1,-2
173,173,95,98,0,-1
173,173,94,95,-1,-3
