Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.29,128.67,4.22,1.3,129.9,4.26,,42.4,61.4
1.19,119.41,3.92,1.2,119.65,3.93,,45.1,51.4
1.21,120.79,3.96,1.2,120.14,3.94,,43.2,51
1.36,136.31,4.47,1.35,135.29,4.44,,44.2,67.2
1.37,137.36,4.51,1.37,137.04,4.5,,45.1,69.1
1.37,137.06,4.5,1.34,134.5,4.41,,46,65
1.36,135.64,4.45,1.34,133.72,4.39,,47.2,65.4
1.38,138.1,4.53,1.38,137.59,4.51,,46.1,68.2
1.33,132.64,4.35,1.32,131.89,4.33,,45.2,62.4
1.33,133.36,4.38,1.31,131.23,4.31,,45.1,62.3
1.35,135.06,4.43,1.33,133.06,4.37,,48,64.9
1.35,135.04,4.43,1.33,133.11,4.37,,46.6,64.9
1.37,136.71,4.49,1.35,134.92,4.43,,46.2,66.8
1.32,131.74,4.32,1.3,129.59,4.25,,47.1,61.9
1.31,131.41,4.31,1.29,128.88,4.23,,46.5,61.1
1.32,132.26,4.34,1.3,130.1,4.27,,45.9,62.6
1.31,131.19,4.3,1.29,128.7,4.22,,46.1,61.6
1.3,130.12,4.27,1.28,128.3,4.21,,45.9,61
1.31,130.76,4.29,1.29,129.18,4.24,,46.3,60.9
1.29,128.93,4.23,1.28,127.95,4.2,,46,60.1
1.28,128.45,4.21,1.28,128.43,4.21,,45.7,59.9
1.28,127.66,4.19,1.28,128.13,4.2,,46.8,58.9
1.29,128.88,4.23,1.29,129.45,4.25,,47.3,59.4
1.3,130.39,4.28,1.31,130.93,4.3,,48.1,61
1.31,130.59,4.28,1.31,130.76,4.29,,43.5,60.7
1.33,132.83,4.36,1.32,132.48,4.35,,49.3,62.3
1.33,132.94,4.36,1.33,133.41,4.38,,43.3,63.3
1.34,133.84,4.39,1.34,133.74,4.39,,43,63.8
1.34,134.01,4.4,1.34,133.99,4.4,,43.8,64.1
1.34,133.92,4.39,1.34,133.76,4.39,,43,64.1
1.34,133.52,4.38,1.34,134.24,4.4,,43,64.6
1.32,132.17,4.34,1.33,133.37,4.38,,42.9,64
1.34,134.17,4.4,1.35,135,4.43,,44.1,65.5
1.35,135.22,4.44,1.36,136.3,4.47,,43.2,66.9
1.35,135.25,4.44,1.36,136.06,4.46,,43.8,66.6
1.37,137.4,4.51,1.38,138.46,4.54,,44.2,69.9
1.39,138.82,4.55,1.39,139.07,4.56,,45,69.9
1.33,132.84,4.36,1.32,131.92,4.33,,46,62.8
1.32,132.17,4.34,1.31,131.19,4.3,,46,62.3
1.34,133.62,4.38,1.32,132.1,4.33,,46,63
1.35,134.57,4.41,1.33,132.59,4.35,,46.2,63.6
1.36,135.83,4.46,1.33,133.09,4.37,,46.7,64.1
1.37,137.02,4.5,1.34,134.42,4.41,,46.5,65.3
1.33,133.44,4.38,1.31,130.78,4.29,,46.8,61.7
1.32,131.99,4.33,1.29,129.44,4.25,,46.7,60.4
1.31,131.02,4.3,1.28,128.48,4.22,,46.4,59.4
1.34,134.45,4.41,1.32,132.17,4.34,,46.4,62.3
1.35,135.28,4.44,1.33,133.5,4.38,,46.7,63.3
1.34,133.51,4.38,1.32,131.72,4.32,,47.3,61.6
1.31,131.24,4.31,1.3,129.56,4.25,,46.6,59.7
1.3,129.59,4.25,1.28,127.96,4.2,,46.5,58.7
1.29,129.18,4.24,1.28,128.15,4.2,,46.1,58.1
1.27,127.3,4.18,1.26,126.13,4.14,,45.5,57
1.26,126.42,4.15,1.26,125.72,4.12,,46.5,56.2
1.25,125.31,4.11,1.25,124.85,4.1,,46.4,55.1
1.26,125.97,4.13,1.26,125.91,4.13,,47,55.8
1.27,126.56,4.15,1.27,126.8,4.16,,46.6,56
1.26,126.12,4.14,1.26,126.49,4.15,,46.3,55.7
1.29,128.68,4.22,1.29,128.76,4.22,,45.6,57.7
1.29,129.26,4.24,1.29,129.18,4.24,,46.3,57.8
1.29,128.86,4.23,1.29,129.36,4.24,,45.8,57.8
1.28,127.64,4.19,1.28,128.19,4.21,,44.3,56.8
1.28,128.05,4.2,1.29,128.6,4.22,,44.1,57.2
1.28,127.58,4.19,1.28,128.06,4.2,,43.8,56.9
1.28,127.88,4.2,1.29,128.63,4.22,,43.2,57.2
1.28,128.29,4.21,1.29,128.99,4.23,,43.3,57.6
1.29,129.24,4.24,1.3,129.86,4.26,,44.3,58.8
1.32,132.07,4.33,1.32,132.35,4.34,,44.3,61.7
1.33,132.9,4.36,1.32,132.48,4.35,,44.8,62
1.33,132.93,4.36,1.32,131.86,4.33,,44.6,61.1
1.34,134.09,4.4,1.32,132.5,4.35,,45.1,61.8
1.34,134.41,4.41,1.33,133.01,4.36,,45.6,62
1.34,134.27,4.41,1.33,132.96,4.36,,45.6,62.2
1.35,134.65,4.42,1.33,133.35,4.37,,45.9,62.3
1.36,136.36,4.47,1.34,134.39,4.41,,45.7,63.3
1.37,137.48,4.51,1.35,134.87,4.42,,45.7,63.9
1.38,137.66,4.52,1.35,135.16,4.43,,46.1,64.2
1.38,137.89,4.52,1.35,135.21,4.44,,46.1,64.4
1.38,137.58,4.51,1.35,135.24,4.44,,46.3,64.3
1.38,137.71,4.52,1.36,135.52,4.45,,46.3,64.8
1.38,137.67,4.52,1.36,135.54,4.45,,46.4,64.8
1.29,128.63,4.22,1.27,126.52,4.15,,46.3,56
1.38,137.7,4.52,1.36,135.76,4.45,,46.3,65.3
1.38,137.61,4.51,1.36,136.03,4.46,,46.5,65.4
1.37,137.5,4.51,1.36,136.27,4.47,,46.8,65.3
1.37,136.87,4.49,1.36,136.18,4.47,,46.7,64.8
1.36,135.53,4.45,1.36,136.04,4.46,,46.5,64.3
1.35,135.44,4.44,1.36,136.04,4.46,,46.8,64
1.37,136.98,4.49,1.37,136.93,4.49,,46.9,64.2
1.37,137.21,4.5,1.37,137.2,4.5,,46.9,64
1.34,134.17,4.4,1.34,133.88,4.39,,46.9,60.1
1.37,136.91,4.49,1.36,135.71,4.45,,46.8,61.8
1.37,136.53,4.48,1.36,135.68,4.45,,46.8,61.4
1.36,136.24,4.47,1.35,135.19,4.44,,46.6,61
1.36,136.14,4.47,1.34,134.31,4.41,,46.4,59.7
1.36,135.56,4.45,1.34,134.02,4.4,,46.2,59.6
1.36,135.74,4.45,1.34,134.5,4.41,,46.5,59.8
1.35,135.49,4.45,1.35,134.59,4.42,,46.8,60.2
1.35,134.78,4.42,1.34,133.73,4.39,,46.6,59.4
1.35,135.4,4.44,1.35,134.59,4.42,,46.8,60.5
1.35,135.37,4.44,1.35,134.6,4.42,,46.9,60.4
1.36,135.53,4.45,1.35,134.53,4.41,,47.3,60.5
1.36,135.96,4.46,1.35,134.86,4.42,,47.3,60.5
1.36,136.31,4.47,1.35,134.97,4.43,,47.2,60.6
1.36,136.48,4.48,1.35,134.93,4.43,,46.9,60.7
1.38,138.28,4.54,1.36,136.25,4.47,,46.5,60.8
1.39,139,4.56,1.36,136.24,4.47,,46.7,61.7
1.38,137.88,4.52,1.3,129.97,4.26,,45.7,57.6
1.5,149.74,4.91,1.42,141.84,4.65,,45.6,67.6
1.41,140.89,4.62,1.33,132.72,4.35,,45.8,58.5
1.41,140.51,4.61,1.32,132.4,4.34,,45.7,58.6
1.4,140.1,4.6,1.32,131.98,4.33,,45.5,58.6
1.4,139.86,4.59,1.32,131.76,4.32,,45.6,58.7
1.4,139.64,4.58,1.32,131.55,4.32,,45.4,58.8
1.39,139.45,4.58,1.31,131.43,4.31,,45.4,58.8
1.39,139.27,4.57,1.31,131.3,4.31,,45.6,58.9
1.39,139.26,4.57,1.31,131.34,4.31,,45.1,59
1.39,138.78,4.55,1.31,131.29,4.31,,44.9,59
1.39,138.83,4.55,1.31,131.46,4.31,,44.6,59.1
1.39,138.87,4.56,1.32,131.62,4.32,,44.4,59.1
=average(a2:a121),=average(b2:b121),=average(c2:c121),=average(d2:d121),=average(e2:e121),=average(f2:f121)
=median(a2:a121),=median(b2:b121),=median(c2:c121),=median(d2:d121),=median(e2:e121),=median(f2:f121)
=max(a2:a121),=max(b2:b121),=max(c2:c121),=max(d2:d121),=max(e2:e121),=max(f2:f121)
