Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.32,131.7,4.32,1.31,130.9,4.29,,44.8,59.5
1.31,130.82,4.29,1.31,130.66,4.29,,42.7,61.2
1.31,130.94,4.3,1.3,130.42,4.28,,42,62.4
1.33,132.63,4.35,1.32,131.55,4.32,,42.7,64.5
1.32,132.42,4.34,1.31,131.17,4.3,,44.9,64.9
1.35,134.72,4.42,1.32,132.47,4.35,,45.1,66.4
1.34,134.13,4.4,1.32,131.79,4.32,,45,66.2
1.32,132.05,4.33,1.3,129.54,4.25,,47.8,65.2
1.32,132.06,4.33,1.29,129.49,4.25,,46.9,63.8
1.3,129.85,4.26,1.27,126.9,4.16,,46.1,61.4
1.31,130.67,4.29,1.28,127.81,4.19,,45.4,62.5
1.27,126.85,4.16,1.25,124.56,4.09,,46.7,60.2
1.31,130.59,4.28,1.28,127.93,4.2,,47.7,61.5
1.28,127.76,4.19,1.25,124.87,4.1,,47.8,58.5
1.33,133.21,4.37,1.3,129.72,4.26,,47.7,63.9
1.32,131.95,4.33,1.28,128.22,4.21,,49,63
1.31,130.84,4.29,1.27,126.88,4.16,,45.8,60.6
1.28,128.16,4.2,1.24,124.07,4.07,,44,57.9
1.26,126.03,4.13,1.23,122.52,4.02,,42.7,57.3
1.29,129.03,4.23,1.26,126.17,4.14,,43,59.4
1.29,128.8,4.23,1.26,126.05,4.14,,43.1,59.7
1.28,128.08,4.2,1.25,125.47,4.12,,42.4,59.1
1.27,127.13,4.17,1.25,125.31,4.11,,42.2,58.8
1.27,127.4,4.18,1.26,125.89,4.13,,42.1,58.9
1.27,127.02,4.17,1.26,125.71,4.12,,40.6,58.9
1.27,126.71,4.16,1.25,125.49,4.12,,38.3,58.8
1.27,127.4,4.18,1.27,126.58,4.15,,38.4,58.8
1.27,126.58,4.15,1.26,125.92,4.13,,38.6,58.3
1.28,127.75,4.19,1.27,127.23,4.17,,38.7,59
1.28,127.67,4.19,1.27,126.93,4.16,,39,59.2
1.28,128.03,4.2,1.27,127.32,4.18,,39.2,59.4
1.28,127.53,4.18,1.27,126.67,4.16,,39.2,59.2
1.28,128.34,4.21,1.28,127.51,4.18,,38.9,59.1
1.29,129.34,4.24,1.28,128.1,4.2,,38.8,59.8
1.3,129.97,4.26,1.29,128.88,4.23,,38.8,60
1.29,129.04,4.23,1.28,127.91,4.2,,39,59.7
1.29,129.4,4.25,1.28,128.34,4.21,,42.1,60.1
1.3,130.3,4.27,1.29,129.17,4.24,,41.9,61.1
1.32,132.1,4.33,1.31,130.76,4.29,,42.6,63.2
1.33,132.78,4.36,1.31,131.18,4.3,,43.6,64.1
1.34,134.27,4.41,1.32,132.21,4.34,,44,65.6
1.34,133.59,4.38,1.32,131.75,4.32,,44.6,65.3
1.35,134.7,4.42,1.32,132.46,4.35,,45,65.8
1.33,132.99,4.36,1.31,130.75,4.29,,44.9,63.9
1.33,133.31,4.37,1.31,130.76,4.29,,44.7,63.9
1.31,131.21,4.3,1.29,128.75,4.22,,44.5,62.5
1.32,132.05,4.33,1.29,129.32,4.24,,47.8,62.4
1.33,133.06,4.37,1.3,130.47,4.28,,47.6,62.6
1.31,131.3,4.31,1.29,128.65,4.22,,47,61.5
1.32,132.1,4.33,1.29,129.42,4.25,,45.9,61.9
1.31,131.32,4.31,1.28,128.19,4.21,,44.3,60.8
1.31,131.34,4.31,1.29,128.56,4.22,,44.2,60.8
1.32,132.08,4.33,1.29,129.21,4.24,,44.2,61
1.31,131.46,4.31,1.29,129.04,4.23,,44.3,60.2
1.31,130.91,4.29,1.28,127.98,4.2,,44.6,59.3
1.31,130.88,4.29,1.28,128.48,4.22,,44.6,59.9
1.29,128.69,4.22,1.26,126.02,4.13,,44.4,57.9
1.29,129.2,4.24,1.27,126.93,4.16,,43.3,58.5
1.29,128.65,4.22,1.27,126.58,4.15,,43,57.6
1.28,128.49,4.22,1.27,126.66,4.16,,42.5,57.7
1.28,127.99,4.2,1.26,126.45,4.15,,42.7,57.7
1.29,128.85,4.23,1.28,127.55,4.18,,44.6,58.7
1.28,128.43,4.21,1.28,127.55,4.18,,42.6,58.6
1.29,128.58,4.22,1.28,127.94,4.2,,42.5,58.8
1.28,128.44,4.21,1.28,128.06,4.2,,42.2,58.8
1.29,128.78,4.23,1.28,128.33,4.21,,41.5,59.1
1.29,129.08,4.24,1.29,128.73,4.22,,41,59.2
1.29,129.43,4.25,1.29,128.97,4.23,,41.4,59.4
1.29,128.7,4.22,1.28,128.33,4.21,,40.3,58.9
1.29,128.84,4.23,1.28,128.43,4.21,,40.1,58.7
1.28,128.49,4.22,1.28,127.9,4.2,,40.1,58.4
1.29,128.62,4.22,1.28,128.09,4.2,,41.1,58.3
1.29,128.69,4.22,1.28,127.87,4.2,,41.7,58.2
1.28,127.7,4.19,1.27,127.03,4.17,,41.9,57.9
1.28,128.33,4.21,1.28,127.57,4.19,,42.2,58.7
1.29,128.73,4.22,1.28,127.99,4.2,,42.5,59.4
1.29,129.16,4.24,1.28,128.35,4.21,,42.4,59.8
1.31,131.1,4.3,1.3,130.24,4.27,,43.1,62
1.35,135.27,4.44,1.34,133.96,4.4,,43.3,66.1
1.36,136.24,4.47,1.35,134.82,4.42,,43.2,66.9
