Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
128,71,71,126,0,0
61,31,91,48,20,-78
32,25,102,67,11,19
81,32,140,50,38,-17
16,31,90,63,-50,13
60,27,92,114,2,51
22,62,55,78,-37,-36
20,48,57,77,2,-1
56,46,129,103,72,26
4,29,65,63,-64,-40
44,9,70,84,5,21
80,82,63,95,-7,11
64,80,64,95,1,0
72,109,83,93,19,-2
50,9,101,88,18,-5
45,52,107,104,6,16
147,175,119,125,12,21
41,55,107,105,-12,-20
153,174,120,122,13,17
67,39,92,114,-28,-8
166,174,111,118,19,4
53,27,116,93,5,-25
166,174,114,108,-2,15
69,29,96,101,-18,-7
174,171,146,104,50,3
83,35,18,104,-128,0
172,171,117,108,99,4
81,39,23,103,-94,-5
177,171,133,109,110,6
77,35,21,105,-112,-4
175,175,125,105,104,0
72,45,43,127,-82,22
171,175,142,111,99,-16
53,52,143,136,1,25
167,173,138,114,-5,-22
52,31,97,113,-41,-1
169,173,141,114,44,1
54,24,155,90,14,-24
169,175,126,122,-29,32
54,26,31,96,-95,-26
163,177,137,112,106,16
64,35,5,115,-132,3
164,177,134,101,129,-14
71,22,12,87,-122,-14
163,178,114,127,102,40
68,25,17,100,-97,-27
162,168,113,101,96,1
61,79,123,94,10,-7
168,167,112,104,-11,10
51,39,22,101,-90,-3
166,160,110,106,88,5
48,14,86,71,-24,-35
170,160,110,116,24,45
48,14,88,70,-22,-46
171,148,110,96,22,26
45,13,61,70,-49,-26
170,145,110,125,49,55
44,16,86,69,-24,-56
171,146,110,121,24,52
46,17,89,68,-21,-53
171,151,108,104,19,36
54,15,108,68,0,-36
172,153,107,126,-1,58
58,16,96,68,-11,-58
172,161,106,126,10,58
64,19,41,69,-65,-57
172,160,105,97,64,28
64,15,42,70,-63,-27
173,166,104,105,62,35
62,64,132,57,28,-48
173,163,103,125,-29,68
57,41,131,60,28,-65
175,169,99,110,-32,50
96,49,13,60,-86,-50
173,167,126,110,113,50
145,49,172,59,46,-51
178,172,123,135,-49,76
101,16,22,59,-101,-76
178,173,126,138,104,79
105,36,53,32,-73,-106
176,172,124,138,71,106
105,37,38,32,-86,-106
170,174,120,111,82,79
93,39,44,31,-76,-80
164,173,118,138,74,107
132,44,39,12,-79,-126
160,171,116,106,77,94
131,91,43,78,-73,-28
149,171,127,105,84,27
59,9,37,46,-90,-59
145,171,126,136,89,90
62,14,32,37,-94,-99
138,174,71,131,39,94
49,16,85,125,14,-6
138,176,129,132,44,7
37,16,78,125,-51,-7
138,177,124,131,46,6
59,18,93,125,-31,-6
134,179,132,129,39,4
55,22,92,123,-40,-6
144,177,133,130,41,7
50,20,86,125,-47,-5
139,179,131,131,45,6
50,19,85,125,-46,-6
149,177,98,95,13,-30
48,20,142,125,44,30
154,175,128,132,-14,7
46,18,20,127,-108,-5
164,174,113,130,93,3
50,19,35,127,-78,-3
168,175,138,128,103,1
71,3,103,109,-35,-19
174,178,140,125,37,16
40,4,88,140,-52,15
172,174,136,124,48,-16
38,1,85,154,-51,30
172,176,135,121,50,-33
39,12,85,159,-50,38
168,176,133,123,48,-36
38,15,84,161,-49,38
