Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
165,166,142,122,0,0
160,163,138,139,-4,17
167,170,137,116,-1,-23
169,171,132,113,-5,-3
171,173,128,138,-4,25
171,177,126,105,-2,-33
175,172,129,107,3,2
174,170,127,107,-2,0
173,167,124,116,-3,9
172,166,124,111,0,-5
174,160,122,120,-2,9
174,159,124,112,2,-8
173,163,123,115,-1,3
172,166,123,113,0,-2
172,165,122,121,-1,8
171,169,124,118,2,-3
171,174,129,124,5,6
172,176,127,137,-2,13
172,177,127,136,0,-1
172,176,126,125,-1,-11
172,174,123,126,-3,1
173,172,121,135,-2,9
172,175,119,133,-2,-2
172,174,117,129,-2,-4
172,175,116,126,-1,-3
172,176,115,130,-1,4
173,178,113,130,-2,0
172,178,113,130,0,0
168,178,112,128,-1,-2
160,177,118,127,6,-1
149,176,112,127,-6,0
148,177,126,125,14,-2
151,177,120,124,-6,-1
150,177,121,123,1,-1
156,177,126,123,5,0
159,177,134,128,8,5
169,176,131,125,-3,-3
176,176,135,121,4,-4
176,176,135,119,0,-2
177,174,135,120,0,1
176,174,136,119,1,-1
178,173,134,118,-2,-1
177,175,135,115,1,-3
172,176,133,112,-2,-3
172,174,132,112,-1,0
170,167,132,112,0,0
171,163,131,113,-1,1
172,158,132,111,1,-2
173,158,134,119,2,8
173,155,134,115,0,-4
172,155,134,117,0,2
173,157,100,122,-34,5
172,158,134,119,34,-3
173,162,98,121,-36,2
173,168,97,124,-1,3
174,172,135,129,38,5
173,175,134,130,-1,1
173,177,133,132,-1,2
173,178,133,136,0,4
173,176,91,130,-42,-6
173,178,89,133,-2,3
174,177,88,135,-1,2
171,178,85,137,-3,2
167,179,82,137,-3,0
158,179,78,136,-4,-1
152,178,129,134,51,-2
147,177,75,133,-54,-1
144,176,136,133,61,0
147,175,129,134,-7,1
148,175,87,133,-42,-1
155,175,94,132,7,-1
163,175,103,131,9,-1
170,175,112,130,9,-1
177,174,134,130,22,0
173,174,138,129,4,-1
176,174,124,124,-14,-5
178,175,121,124,-3,0
176,174,115,121,-6,-3
170,172,109,126,-6,5
169,166,107,122,-2,-4
171,163,107,130,0,8
172,156,106,116,-1,-14
173,154,105,116,-1,0
174,153,104,118,-1,2
173,151,103,118,-1,0
173,152,101,120,-2,2
173,153,100,123,-1,3
173,157,99,126,-1,3
173,159,98,130,-1,4
173,163,96,96,-2,-34
173,167,95,133,-1,37
172,170,134,104,39,-29
173,173,133,109,-1,5
173,177,133,113,0,4
173,177,133,113,0,0
172,178,90,114,-43,1
172,177,89,112,-1,-2
172,175,87,110,-2,-2
172,175,86,109,-1,-1
169,174,82,106,-4,-3
162,173,78,104,-4,-2
153,174,75,103,-3,-1
146,173,73,102,-2,-1
141,173,74,100,1,-2
140,174,77,100,3,0
144,174,83,99,6,-1
150,175,91,99,8,0
156,175,103,98,12,-1
167,175,116,97,13,-1
177,175,122,96,6,-1
176,176,123,94,1,-2
174,177,119,92,-4,-2
171,177,116,89,-3,-3
165,176,111,85,-5,-4
161,171,107,81,-4,-4
163,167,107,128,0,47
165,162,106,76,-1,-52
166,157,105,75,-1,-1
167,153,104,74,-1,-1
167,152,102,75,-2,1
