Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
173,173,93,134,0,0,95,129,TO,HS
174,173,94,130,1,-4,95,129,TO,HS
172,176,96,127,2,-3,95,129,TO,HS
175,177,99,125,3,-2,95,129,TO,HS
175,178,105,125,6,0,110,124,FF,FF
172,178,108,124,3,-1,110,124,FF,FF
172,177,118,124,10,0,110,124,FF,FF
173,175,110,123,-8,-1,110,124,FF,FF
171,176,105,123,-5,0,107,121,FF,FF
174,176,108,119,3,-4,107,121,FF,FF
174,175,105,120,-3,1,107,121,FF,FF
176,174,110,122,5,2,107,121,FF,FF
174,173,118,121,8,-1,121,118,FF,FF
177,172,123,119,5,-2,121,118,FF,FF
173,172,126,118,3,-1,121,118,FF,FF
175,172,120,117,-6,-1,121,118,FF,FF
172,172,130,117,10,0,130,116,HS,FF
172,173,125,117,-5,0,130,116,HS,FF
172,174,135,116,10,-1,130,116,HS,FF
173,175,132,114,-3,-2,130,116,HS,FF
174,176,137,114,5,0,130,111,HS,FF
174,177,128,113,-9,-1,130,111,HS,FF
174,177,130,110,2,-3,130,111,HS,FF
178,176,128,109,-2,-1,130,111,HS,FF
177,168,127,108,-1,-1,125,114,HS,FF
175,168,125,115,-2,7,125,114,HS,FF
174,161,124,114,-1,-1,125,114,HS,FF
175,161,125,120,1,6,125,114,HS,FF
176,158,125,110,0,-10,126,113,HS,FF
175,162,126,107,1,-3,126,113,HS,FF
175,160,127,117,1,10,126,113,HS,FF
174,164,128,119,1,2,126,113,HS,FF
174,164,128,118,0,-1,126,123,HS,FF
173,169,126,118,-2,0,126,123,HS,FF
173,170,126,127,0,9,126,123,HS,FF
174,174,125,131,-1,4,126,123,HS,FF
174,176,125,131,0,0,122,135,FF,HS
174,177,123,135,-2,4,122,135,FF,HS
174,176,121,136,-2,1,122,135,FF,HS
174,176,120,138,-1,2,122,135,FF,HS
174,178,119,135,-1,-3,118,134,FF,HS
174,178,118,134,-1,-1,118,134,FF,HS
173,178,120,134,2,0,118,134,FF,HS
169,175,118,134,-2,0,118,134,FF,HS
165,172,117,132,-1,-2,119,130,FF,HS
163,171,123,130,6,-2,119,130,FF,HS
161,173,117,130,-6,0,119,130,FF,HS
161,172,120,130,3,0,119,130,FF,HS
167,172,124,130,4,0,124,129,FF,HS
167,171,130,129,6,-1,124,129,FF,HS
171,170,121,129,-9,0,124,129,FF,HS
172,170,124,128,3,-1,124,129,FF,HS
176,170,127,127,3,-1,128,127,HS,HS
177,169,126,128,-1,1,128,127,HS,HS
176,170,130,128,4,0,128,127,HS,HS
174,171,131,127,1,-1,128,127,HS,HS
172,171,132,126,1,-1,131,126,HS,HS
172,171,132,126,0,0,131,126,HS,HS
174,172,129,127,-3,1,131,126,HS,HS
171,173,133,127,4,0,131,126,HS,HS
176,173,137,127,4,0,133,125,HS,HS
173,174,132,126,-5,-1,133,125,HS,HS
175,175,135,126,3,0,133,125,HS,HS
177,173,130,123,-5,-3,133,125,HS,HS
174,170,131,122,1,-1,132,120,HS,FF
170,163,131,124,0,2,132,120,HS,FF
171,160,132,117,1,-7,132,120,HS,FF
174,154,135,119,3,2,132,120,HS,FF
175,155,135,121,0,2,134,123,HS,FF
176,156,134,119,-1,-2,134,123,HS,FF
176,156,135,123,1,4,134,123,HS,FF
175,160,134,129,-1,6,134,123,HS,FF
174,164,133,131,-1,2,132,132,HS,HS
174,164,132,128,-1,-3,132,132,HS,HS
173,170,131,134,-1,6,132,132,HS,HS
173,171,132,135,1,1,132,132,HS,HS
172,175,132,129,0,-6,132,130,HS,HS
173,177,131,132,-1,3,132,130,HS,HS
173,175,132,131,1,-1,132,130,HS,HS
173,175,134,129,2,-2,132,130,HS,HS
174,174,133,131,-1,2,132,132,HS,HS
174,177,132,132,-1,1,132,132,HS,HS
174,178,133,133,1,1,132,132,HS,HS
174,174,130,134,-3,1,132,132,HS,HS
173,172,124,136,-6,2,129,126,HS,HS
171,170,131,129,7,-7,129,126,HS,HS
168,170,129,123,-2,-6,129,126,HS,HS
169,170,132,119,3,-4,129,126,HS,HS
168,171,129,115,-3,-4,129,106,HS,FF
172,171,133,105,4,-10,129,106,HS,FF
174,170,128,103,-5,-2,129,106,HS,FF
175,171,128,102,0,-1,129,106,HS,FF
176,171,130,101,2,-1,130,100,HS,TO
177,170,129,101,-1,0,130,100,HS,TO
177,170,132,100,3,-1,130,100,HS,TO
177,171,130,99,-2,-1,130,100,HS,TO
177,171,134,97,4,-2,135,96,HS,TO
175,171,141,97,7,0,135,96,HS,TO
