Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,WristLeft X,Y,Z,WristRight X,Y,Z,ElbowLeft X,Y,Z,ElbowRight X,Y,Z,SholdD,LSHD,RSHD,HIPD,LWristSpineD,RWristSpineD, ShoulDX, HipDX 
-0.081913,-0.182096,4.37201,-0.0856407,-0.116833,4.50844,-0.0864876,0.290677,4.49292,-0.247976,0.690362,4.47808,-0.0997717,-0.194443,4.42989,-0.0903166,-0.102744,4.50845,-0.0940147,0.336824,4.48507,-0.0995011,0.67911,4.50167,-0.175139,0.690267,4.52614,-0.153081,0.987149,4.50042,-0.130951,1.27711,4.46346,-0.119195,1.4117,4.43378,-0.306066,1.17189,4.43462,0.021245,1.14723,4.43872,-0.407014,0.650609,4.44218,0.0798658,0.600068,4.45875,-0.407464,0.901046,4.49981,0.0581034,0.853373,4.48439,0.328265,0.486967,0.487522,0.150758,0.425597,0.453688,0.327311,0.148475
-0.0829671,-0.174024,4.37563,-0.0856382,-0.108691,4.51159,-0.0806371,0.262859,4.50103,-0.242392,0.690665,4.47428,-0.0838766,-0.165968,4.37483,-0.0865551,-0.100571,4.5108,-0.0933127,0.333218,4.48112,-0.0924187,0.678665,4.49326,-0.168822,0.690232,4.52019,-0.149946,0.985701,4.49258,-0.13095,1.27372,4.45184,-0.117549,1.41023,4.43262,-0.305973,1.17136,4.43316,0.0246525,1.14449,4.43454,-0.407083,0.675295,4.44749,0.080187,0.614547,4.45428,-0.402439,0.921113,4.48905,0.0588325,0.860867,4.4793,0.331719,0.486623,0.483885,0.151645,0.405591,0.438387,0.330626,0.149973
-0.0905969,-0.120355,4.38689,-0.0964663,-0.0593994,4.5162,-0.0903173,0.290693,4.46158,-0.235607,0.685907,4.45525,-0.0890743,-0.18219,4.43432,-0.0872594,-0.097116,4.51122,-0.0939734,0.32724,4.46887,-0.0863522,0.673799,4.47516,-0.162256,0.685339,4.50135,-0.142734,0.982948,4.4779,-0.123713,1.27301,4.44216,-0.112079,1.41133,4.42567,-0.301483,1.16609,4.41415,0.0299265,1.14014,4.42529,-0.406092,0.675497,4.44465,0.0808108,0.619955,4.43624,-0.398746,0.918319,4.48447,0.0639404,0.863315,4.46456,0.33261,0.486419,0.483203,0.151063,0.406188,0.428336,0.331409,0.149255
-0.0936609,-0.190162,4.37929,-0.0988808,-0.128427,4.51101,-0.216892,0.338046,4.5007,-0.243168,0.678738,4.43737,-0.0918997,-0.185049,4.43431,-0.0877163,-0.0976675,4.51146,-0.0925579,0.315511,4.45521,-0.0928166,0.668009,4.46144,-0.16933,0.67889,4.4858,-0.144201,0.979165,4.46555,-0.120769,1.27136,4.43231,-0.10677,1.41069,4.41405,-0.299612,1.16456,4.40695,0.0332826,1.13893,4.41535,-0.405194,0.676597,4.43956,0.0840872,0.614819,4.4101,-0.395795,0.918095,4.47288,0.065286,0.86312,4.45708,0.333986,0.490039,0.489684,0.152644,0.400425,0.433517,0.332895,0.150352
-0.0940354,-0.198889,4.37781,-0.0970265,-0.136129,4.51094,-0.222348,0.339301,4.49945,-0.241329,0.676768,4.43397,-0.120742,-0.161,4.41239,-0.0886094,-0.0934055,4.51179,-0.0939345,0.315828,4.45164,-0.0902036,0.665137,4.45269,-0.1671,0.676462,4.48007,-0.14129,0.976111,4.45634,-0.116431,1.26836,4.42037,-0.104224,1.40612,4.40249,-0.299032,1.16476,4.40235,0.0356823,1.14017,4.40413,-0.406047,0.659633,4.43408,0.0841976,0.611878,4.40809,-0.394827,0.90194,4.46312,0.0676189,0.857137,4.44786,0.335621,0.492406,0.49382,0.152725,0.413219,0.431091,0.334714,0.151126
-0.0932995,-0.199611,4.37501,-0.0972291,-0.136353,4.50903,-0.23001,0.343733,4.48401,-0.237966,0.671758,4.42838,-0.115046,-0.174317,4.43292,-0.0882695,-0.0888487,4.51089,-0.0964834,0.314611,4.43893,-0.0863634,0.658546,4.44209,-0.163437,0.6706,4.47201,-0.139097,0.972785,4.44843,-0.115096,1.26727,4.41288,-0.100884,1.40556,4.39322,-0.293709,1.16225,4.38772,0.0381396,1.13689,4.39221,-0.407344,0.66261,4.42355,0.0835653,0.606761,4.40303,-0.393668,0.90414,4.46046,0.0681194,0.859502,4.438,0.332847,0.495326,0.496792,0.152793,0.410833,0.430829,0.331849,0.151603
-0.113824,-0.190397,4.36847,-0.119107,-0.126518,4.50295,-0.254852,0.357456,4.42421,-0.236122,0.662543,4.41649,-0.105519,-0.179666,4.44847,-0.0933543,-0.0855649,4.51455,-0.0939162,0.30918,4.43225,-0.0852981,0.652237,4.43283,-0.162018,0.662817,4.46137,-0.137277,0.969221,4.43412,-0.112449,1.26879,4.39342,-0.0966611,1.4065,4.376,-0.291582,1.16232,4.38023,0.0411508,1.13809,4.38871,-0.409144,0.653849,4.41799,0.0846022,0.604127,4.39132,-0.393836,0.896722,4.4513,0.0735602,0.84813,4.42334,0.333722,0.504151,0.503969,0.152056,0.41669,0.429366,0.332733,0.150824
-0.116033,-0.118351,4.38075,-0.117212,-0.0556832,4.51274,-0.237931,0.306547,4.43086,-0.235436,0.665485,4.41108,-0.104513,-0.176204,4.45146,-0.0932831,-0.0838241,4.51427,-0.0941387,0.310297,4.42872,-0.0845766,0.65543,4.42432,-0.161315,0.665957,4.45451,-0.136841,0.97,4.42792,-0.112272,1.26752,4.3886,-0.0961421,1.40659,4.37004,-0.2913,1.16198,4.37281,0.0423802,1.13725,4.3688,-0.411553,0.658472,4.41116,0.0856318,0.596904,4.3844,-0.390314,0.901749,4.44581,0.0752087,0.841163,4.41574,0.33462,0.501093,0.501349,0.151773,0.415689,0.436566,0.33368,0.150859
-0.114169,-0.157763,4.35286,-0.11564,-0.095426,4.48545,-0.266066,0.380703,4.3874,-0.230725,0.682433,4.38863,-0.101343,-0.17503,4.43874,-0.0942651,-0.0861615,4.51386,-0.08931,0.286775,4.43289,-0.0798494,0.672598,4.40025,-0.156564,0.6832,4.43102,-0.13542,0.976208,4.412,-0.112902,1.26671,4.37857,-0.0967715,1.40711,4.35725,-0.289931,1.16174,4.36486,0.0433116,1.13781,4.36111,-0.41456,0.649379,4.39891,0.0855545,0.597458,4.37981,-0.38936,0.892909,4.43804,0.076214,0.842697,4.41351,0.334121,0.48353,0.482831,0.151642,0.430009,0.439679,0.333243,0.150875
-0.185854,-0.0553846,4.47725,-0.271945,0.0470215,4.52594,-0.258723,0.380906,4.38479,-0.230469,0.681801,4.3883,-0.0961493,-0.178151,4.44482,-0.0942456,-0.0865726,4.5141,-0.0932647,0.297777,4.42313,-0.0796495,0.669571,4.40004,-0.1563,0.681597,4.43068,-0.13534,0.976285,4.4089,-0.113793,1.26877,4.37014,-0.0961477,1.40863,4.35024,-0.290218,1.16225,4.35983,0.0427782,1.13936,4.35321,-0.416263,0.643199,4.39717,0.0915268,0.599991,4.37066,-0.388531,0.887798,4.43354,0.0776371,0.84594,4.40582,0.333848,0.484984,0.487737,0.15177,0.435893,0.441054,0.332996,0.15082
