Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,WristLeft X,Y,Z,WristRight X,Y,Z,ElbowLeft X,Y,Z,ElbowRight X,Y,Z,SholdD,LSHD,RSHD,HIPD,LWristSpineD,RWristSpineD, ShoulDX, HipDX 
-0.857871,0.560276,4.33434,-0.984616,0.541659,4.3811,-1.06082,0.841945,4.47383,-0.739962,0.822794,4.43356,-0.685875,0.323044,4.15909,-0.698217,0.406846,4.30717,-0.519234,0.537216,4.54486,-0.598876,0.832676,4.426,-0.673463,0.832731,4.45652,-0.680221,1.04898,4.48023,-0.685679,1.26094,4.49561,-0.675729,1.39223,4.4432,-0.828891,1.13769,4.47197,-0.517153,1.15941,4.49185,-0.880449,0.69082,4.3883,-0.664031,0.765648,4.31998,-0.897256,0.93458,4.47499,-0.593628,0.926691,4.39923,0.313125,0.329464,0.343173,0.141634,0.420506,0.325919,0.311738,0.141087
-0.864053,0.550326,4.33249,-0.962591,0.494964,4.35628,-1.03352,0.719322,4.52059,-0.738402,0.818904,4.43346,-0.512556,0.282071,4.518,-0.47327,0.158169,4.61282,-0.511865,0.530472,4.54647,-0.596791,0.827502,4.4303,-0.671726,0.828421,4.45822,-0.676583,1.04588,4.4772,-0.6763,1.25811,4.48201,-0.670413,1.39135,4.44039,-0.827631,1.13445,4.46621,-0.511677,1.15513,4.48234,-0.878524,0.701499,4.38901,-0.574012,0.859353,4.38313,-0.894483,0.926721,4.46759,-0.444969,1.00153,4.52754,0.31704,0.329556,0.342476,0.141907,0.408845,0.232725,0.315954,0.141611
-0.729492,0.529297,4.48438,-0.62883,0.489807,4.54996,-0.994596,0.653193,4.5028,-0.694207,0.771165,4.43984,-0.508635,0.300467,4.48967,-0.447301,0.176154,4.53886,-0.534162,0.461726,4.54779,-0.552093,0.781012,4.45183,-0.627038,0.780929,4.47357,-0.655735,1.02835,4.47834,-0.674369,1.25851,4.48094,-0.657996,1.38674,4.42718,-0.825194,1.1329,4.45411,-0.502693,1.15461,4.47174,-0.875331,0.688672,4.38225,-0.59251,0.845183,4.35834,-0.88879,0.919285,4.45779,-0.447496,0.958851,4.51917,0.323712,0.384985,0.377379,0.142958,0.415734,0.227922,0.322501,0.142114
-0.52835,0.565688,4.52383,-0.40289,0.605835,4.57057,-0.674202,0.497176,4.5573,-0.694965,0.768488,4.4394,-0.5411,0.324815,4.48341,-0.534385,0.19345,4.53077,-0.529123,0.485962,4.52015,-0.552505,0.779581,4.45171,-0.627674,0.778988,4.47372,-0.647599,1.02298,4.47311,-0.653557,1.25794,4.46109,-0.647051,1.39093,4.42313,-0.817077,1.13267,4.4414,-0.493279,1.15854,4.46311,-0.871176,0.67632,4.37592,-0.248798,0.939844,4.52755,-0.883414,0.912772,4.45219,-0.429391,0.948119,4.51962,0.325554,0.384114,0.383727,0.143421,0.423801,0.410996,0.323798,0.14246
-0.523429,0.541567,4.51942,-0.409066,0.596239,4.57455,-0.677895,0.484138,4.56033,-0.690818,0.754226,4.44196,-0.530564,0.295868,4.48229,-0.505938,0.172336,4.53687,-0.528185,0.463345,4.52871,-0.545625,0.755053,4.4573,-0.622279,0.759855,4.47815,-0.638282,1.01425,4.47119,-0.647308,1.25807,4.45599,-0.634861,1.3902,4.41645,-0.803353,1.13464,4.42466,-0.476608,1.14733,4.44973,-0.870607,0.666629,4.37342,-0.348737,0.761405,4.5197,-0.874915,0.909557,4.44543,-0.418763,0.933525,4.51534,0.327952,0.397088,0.398378,0.146003,0.429385,0.38745,0.326745,0.145193
-0.537347,0.517079,4.49218,-0.456087,0.621132,4.52931,-0.689231,0.435234,4.50689,-0.687079,0.741002,4.45086,-0.53323,0.261345,4.47611,-0.529011,0.133494,4.52854,-0.524401,0.432463,4.5108,-0.541655,0.741298,4.46673,-0.618361,0.745963,4.48799,-0.627617,1.00736,4.47015,-0.624916,1.25972,4.43859,-0.613537,1.38888,4.40134,-0.7976,1.13572,4.41557,-0.466947,1.14139,4.43437,-0.867007,0.663984,4.37258,-0.339321,0.679623,4.50728,-0.867065,0.902913,4.43529,-0.39866,0.900548,4.49799,0.331236,0.411414,0.408293,0.146287,0.429807,0.43807,0.330653,0.145424
-0.54019,0.501303,4.49966,-0.455441,0.603137,4.54106,-0.693815,0.412816,4.51797,-0.675951,0.718948,4.44306,-0.538071,0.233572,4.47825,-0.555346,0.104936,4.53046,-0.525993,0.40976,4.51889,-0.531391,0.723549,4.465,-0.607744,0.726231,4.48391,-0.618067,0.996943,4.46384,-0.62255,1.25849,4.43496,-0.607827,1.38721,4.39904,-0.786764,1.13419,4.40318,-0.461858,1.14088,4.42772,-0.862063,0.662475,4.3762,-0.338189,0.675622,4.50645,-0.861167,0.897231,4.43373,-0.394068,0.894638,4.49718,0.3259,0.431624,0.424722,0.146288,0.423182,0.428245,0.324906,0.14456
-0.684877,0.219809,4.45997,-0.688961,0.0903381,4.51479,-0.692212,0.400021,4.4907,-0.66959,0.716666,4.43409,-0.527481,0.221678,4.47159,-0.532786,0.0915247,4.5226,-0.518354,0.401209,4.50219,-0.523829,0.721422,4.45404,-0.600713,0.723958,4.47411,-0.606575,0.9921,4.45075,-0.610014,1.25353,4.41944,-0.589083,1.37976,4.38788,-0.770251,1.13056,4.38245,-0.448803,1.14104,4.41799,-0.858332,0.660192,4.37591,-0.329806,0.669664,4.49044,-0.854027,0.896284,4.42762,-0.386746,0.886431,4.48557,0.323576,0.429081,0.427796,0.147196,0.423255,0.42678,0.321448,0.145761
-0.691775,0.187713,4.452,-0.699923,0.062058,4.50565,-0.685251,0.369729,4.44812,-0.661752,0.699713,4.43362,-0.485775,0.0975606,4.43066,-0.540404,0.0594658,4.53082,-0.519216,0.367043,4.47472,-0.514505,0.697004,4.45325,-0.592142,0.703315,4.47389,-0.599347,0.983528,4.44643,-0.602317,1.25231,4.40961,-0.58012,1.38091,4.37905,-0.764038,1.13141,4.37645,-0.437762,1.13466,4.41006,-0.856383,0.659157,4.379,-0.324608,0.663315,4.47917,-0.8491,0.898472,4.42139,-0.381224,0.874398,4.47729,0.328019,0.447316,0.44643,0.148573,0.419323,0.423189,0.326277,0.147247
-0.696355,0.191816,4.44329,-0.724524,0.0683732,4.50214,-0.687181,0.376783,4.4417,-0.658989,0.709822,4.42607,-0.513324,0.00879752,4.38675,-0.528554,0.070685,4.51052,-0.514172,0.386731,4.48144,-0.519037,0.716684,4.44079,-0.592534,0.717493,4.46448,-0.596965,0.986375,4.44233,-0.598654,1.25168,4.40685,-0.575159,1.38085,4.37654,-0.759846,1.13288,4.37223,-0.433864,1.13432,4.40689,-0.851464,0.656723,4.38801,-0.321064,0.656048,4.47055,-0.846883,0.896903,4.42124,-0.377407,0.869906,4.4733,0.327823,0.438235,0.427582,0.140892,0.419989,0.431317,0.325982,0.139952
-0.697686,0.169088,4.45776,-0.704907,0.0731299,4.48695,-0.689921,0.383921,4.41951,-0.655837,0.711569,4.42412,-0.514977,-0.013066,4.48403,-0.529444,0.0805561,4.52798,-0.512945,0.387662,4.44745,-0.51835,0.716303,4.43948,-0.591054,0.718138,4.46305,-0.589198,0.986455,4.4344,-0.582384,1.24875,4.39211,-0.56601,1.37841,4.36654,-0.746597,1.13604,4.35355,-0.422839,1.12882,4.39627,-0.84485,0.655603,4.39668,-0.315024,0.646667,4.44712,-0.842251,0.894225,4.41822,-0.366554,0.855869,4.44884,0.326644,0.439762,0.425626,0.138423,0.419814,0.436794,0.323758,0.137487
-0.680376,0.175461,4.44781,-0.706816,0.084552,4.49308,-0.678604,0.38545,4.39103,-0.652318,0.710576,4.41358,-0.505608,0.00713727,4.39566,-0.520845,0.0691278,4.5191,-0.50899,0.379623,4.44269,-0.515387,0.712369,4.43088,-0.587889,0.716006,4.45346,-0.583577,0.98496,4.42498,-0.577164,1.24822,4.38619,-0.558057,1.38107,4.35871,-0.742134,1.13591,4.34921,-0.418642,1.12626,4.38431,-0.840389,0.652632,4.4021,-0.307643,0.618669,4.42223,-0.830334,0.870784,4.41283,-0.363511,0.849403,4.44169,0.325533,0.439451,0.427587,0.13803,0.420616,0.458602,0.323492,0.136931
-0.77391,0.124435,4.47336,-0.696741,0.0805474,4.48918,-0.67764,0.375274,4.36634,-0.650693,0.707588,4.40191,-0.521791,-0.0244946,4.47669,-0.514035,0.0675159,4.52736,-0.508721,0.377526,4.44294,-0.514383,0.707905,4.41982,-0.586617,0.712498,4.44206,-0.581792,0.983407,4.41479,-0.575343,1.24834,4.37751,-0.547116,1.37934,4.34595,-0.736908,1.13374,4.33695,-0.414769,1.12437,4.37607,-0.838108,0.651792,4.40322,-0.310485,0.624181,4.41786,-0.828134,0.879489,4.40926,-0.357658,0.841436,4.42199,0.32464,0.439613,0.430446,0.137481,0.419286,0.450178,0.322139,0.13631
-0.677684,0.026062,4.36884,-0.692485,0.0876349,4.48985,-0.678152,0.375203,4.36471,-0.648609,0.704484,4.39805,-0.508457,0.00530833,4.40032,-0.522086,0.0667374,4.52149,-0.508464,0.370111,4.4362,-0.513455,0.706222,4.41772,-0.585188,0.710244,4.43926,-0.578074,0.980442,4.40326,-0.568468,1.2456,4.35162,-0.541166,1.38048,4.3375,-0.73462,1.13298,4.32942,-0.408812,1.12357,4.36106,-0.836344,0.651154,4.40321,-0.313059,0.622427,4.39745,-0.82572,0.878486,4.40572,-0.356921,0.83692,4.40921,0.327476,0.442402,0.433986,0.136589,0.418491,0.445468,0.325808,0.135153
-0.693905,-0.170708,4.47161,-0.703054,-0.0794008,4.50741,-0.670468,0.26249,4.36504,-0.650469,0.695048,4.38464,-0.512295,-0.00232426,4.39538,-0.524066,0.0583521,4.51604,-0.505284,0.359092,4.43222,-0.516244,0.696639,4.40463,-0.587539,0.700748,4.42603,-0.57594,0.97386,4.38935,-0.563379,1.24177,4.34143,-0.533587,1.37311,4.31779,-0.729581,1.13124,4.31409,-0.40341,1.11512,4.34009,-0.834624,0.643176,4.40277,-0.316325,0.609282,4.36762,-0.822016,0.863412,4.39769,-0.355651,0.82649,4.39331,0.327603,0.448888,0.438207,0.135714,0.420058,0.448096,0.326171,0.134224
-0.685318,-0.186297,4.44224,-0.688816,-0.0979569,4.50215,-0.669939,0.257688,4.36486,-0.652637,0.69149,4.38101,-0.458581,1.22003e-05,4.4524,-0.524611,0.060578,4.51577,-0.504664,0.358836,4.43181,-0.518699,0.692677,4.39908,-0.589875,0.697016,4.4216,-0.576816,0.972202,4.38381,-0.562748,1.24182,4.33477,-0.532441,1.37291,4.31428,-0.726946,1.13117,4.30892,-0.400558,1.11317,4.33562,-0.833855,0.640173,4.40328,-0.317562,0.609039,4.36213,-0.821453,0.86235,4.39621,-0.356874,0.8285,4.3859,0.327973,0.451705,0.441355,0.135156,0.420347,0.446733,0.326388,0.133938
-0.668945,-0.191406,4.39453,-0.677373,-0.108137,4.47089,-0.668063,0.251385,4.35713,-0.652113,0.686173,4.37653,-0.53302,-0.0229974,4.47457,-0.503093,0.0618394,4.51824,-0.50519,0.357005,4.43122,-0.51613,0.68431,4.3921,-0.588437,0.690259,4.41604,-0.574331,0.966805,4.37511,-0.558906,1.23783,4.32297,-0.527505,1.36923,4.29652,-0.724408,1.13388,4.29894,-0.395984,1.11211,4.31889,-0.831899,0.640228,4.40178,-0.324283,0.606466,4.33937,-0.821656,0.863961,4.3886,-0.360213,0.828273,4.36655,0.329749,0.460091,0.450345,0.136885,0.41678,0.440052,0.328424,0.135983
-0.655103,-0.165758,4.29672,-0.667316,-0.105298,4.41796,-0.664641,0.243363,4.33795,-0.651942,0.679519,4.36183,-0.51749,-0.0759911,4.46074,-0.509935,0.0464513,4.51866,-0.507841,0.336454,4.42429,-0.514086,0.678367,4.37633,-0.587301,0.683882,4.40082,-0.573064,0.963128,4.35753,-0.557605,1.23679,4.30403,-0.525275,1.36638,4.28406,-0.720695,1.1334,4.27925,-0.395762,1.10902,4.30389,-0.829909,0.639808,4.39464,-0.323026,0.603865,4.33064,-0.820914,0.864925,4.37665,-0.36069,0.827916,4.34739,0.326777,0.466426,0.452445,0.138621,0.414586,0.438534,0.324933,0.137856
-0.654703,-0.195371,4.32365,-0.664837,-0.112514,4.3923,-0.660626,0.2405,4.3359,-0.651924,0.676587,4.35751,-0.516398,-0.0432128,4.46809,-0.509227,0.0461488,4.51901,-0.509551,0.333811,4.4245,-0.51389,0.677486,4.37321,-0.587188,0.682093,4.39728,-0.572544,0.960965,4.35059,-0.556526,1.23414,4.29285,-0.525474,1.36499,4.27641,-0.720077,1.13178,4.27185,-0.396393,1.10886,4.29611,-0.828174,0.637925,4.39278,-0.324006,0.604204,4.31679,-0.824422,0.864768,4.37442,-0.361853,0.829328,4.3423,0.325401,0.468166,0.453684,0.138927,0.414102,0.43611,0.323684,0.138034
