Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
71,87,100,142,0,0
82,165,87,28,-13,-114
48,157,24,23,-63,-5
75,167,17,18,-7,-5
73,167,20,22,3,4
52,173,17,19,-3,-3
50,170,17,19,0,0
172,173,18,17,1,-2
171,172,12,60,-6,43
171,176,15,110,3,50
166,166,4,138,-11,28
157,167,12,102,8,-36
151,168,62,135,50,33
150,167,93,100,31,-35
154,167,134,100,41,0
156,168,124,109,-10,9
159,170,119,133,-5,24
163,169,103,136,-16,3
168,170,130,132,27,-4
167,170,123,128,-7,-4
171,175,134,102,11,-26
173,176,131,42,-3,-60
174,178,134,102,3,60
176,176,132,99,-2,-3
176,161,133,137,1,38
176,157,132,121,-1,-16
176,163,130,136,-2,15
175,159,130,122,0,-14
174,157,128,113,-2,-9
173,156,129,105,1,-8
170,148,126,122,-3,17
172,150,128,96,2,-26
170,148,129,99,1,3
169,151,128,110,-1,11
169,150,128,111,0,1
170,153,127,110,-1,-1
171,157,127,117,0,7
172,156,124,116,-3,-1
172,167,123,123,-1,7
173,171,116,110,-7,-13
174,172,118,128,2,18
177,175,115,127,-3,-1
176,175,116,130,1,3
177,177,116,132,0,2
178,179,117,134,1,2
177,179,115,133,-2,-1
169,178,112,132,-3,-1
170,177,109,132,-3,0
170,179,110,129,1,-3
160,179,107,130,-3,1
161,178,113,128,6,-2
152,177,118,126,5,-2
149,176,112,125,-6,-1
144,174,125,125,13,0
145,175,117,124,-8,-1
144,175,116,125,-1,1
144,174,107,124,-9,-1
149,172,111,126,4,2
149,172,107,125,-4,-1
153,171,128,122,21,-3
160,172,125,123,-3,1
162,173,126,122,1,-1
168,174,126,119,0,-3
169,173,125,119,-1,0
172,174,131,119,6,0
174,164,130,116,-1,-3
178,165,130,116,0,0
178,165,130,115,0,-1
178,169,130,117,0,2
178,169,130,117,0,0
178,164,129,116,-1,-1
177,164,127,115,-2,-1
178,163,126,113,-1,-2
177,159,125,114,-1,1
176,156,125,111,0,-3
176,154,123,106,-2,-5
177,156,121,110,-2,4
175,151,119,104,-2,-6
174,156,118,108,-1,4
174,158,118,120,0,12
174,160,119,112,1,-8
175,163,117,114,-2,2
175,167,118,121,1,7
176,172,117,123,-1,2
176,174,117,135,0,12
175,175,116,128,-1,-7
172,175,115,134,-1,6
172,172,114,135,-1,1
172,171,114,136,0,1
171,171,111,137,-3,1
172,170,109,139,-2,2
172,168,109,139,0,0
170,169,104,138,-5,-1
172,171,105,135,1,-3
169,171,102,139,-3,4
165,176,101,135,-1,-4
165,177,103,133,2,-2
161,178,107,132,4,-1
153,177,116,128,9,-4
149,176,119,128,3,0
144,175,118,126,-1,-2
144,173,126,125,8,-1
138,172,115,124,-11,-1
141,171,110,123,-5,-1
144,173,113,123,3,0
144,174,113,124,0,1
150,174,130,123,17,-1
157,173,124,122,-6,-1
161,173,131,123,7,1
168,174,127,120,-4,-3
170,175,128,119,1,-1
175,173,128,118,0,-1
178,171,130,116,2,-2
178,172,131,115,1,-1
179,166,131,111,0,-4
178,167,132,112,1,1
178,167,134,110,2,-2
178,167,131,110,-3,0
178,166,107,110,-24,0
177,161,107,113,0,3
