Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
70,110,24,63,0,0,34,60,TO,TO
113,152,31,56,7,-7,34,60,TO,TO
108,170,37,59,6,3,34,60,TO,TO
94,174,44,64,7,5,34,60,TO,TO
126,170,39,70,-5,6,30,78,TO,FF
33,164,29,76,-10,6,30,78,TO,FF
26,165,24,81,-5,5,30,78,TO,FF
29,168,30,86,6,5,30,78,TO,FF
32,167,40,91,10,5,34,96,TO,FF
29,168,34,95,-6,4,34,96,TO,FF
29,166,28,97,-6,2,34,96,TO,FF
41,165,35,101,7,4,34,96,TO,FF
42,167,39,104,4,3,32,103,TO,FF
39,167,36,104,-3,0,32,103,TO,FF
168,168,31,104,-5,0,32,103,TO,FF
167,166,22,102,-9,-2,32,103,TO,FF
169,166,26,110,4,8,30,111,TO,FF
168,166,27,116,1,6,30,111,TO,FF
170,166,31,112,4,-4,30,111,TO,FF
166,167,37,108,6,-4,30,111,TO,FF
167,166,44,115,7,7,58,123,FF,FF
167,163,53,118,9,3,58,123,FF,FF
171,167,64,125,11,7,58,123,FF,FF
173,161,74,134,10,9,58,123,FF,FF
173,163,83,127,9,-7,93,126,FF,HS
172,163,90,123,7,-4,93,126,FF,HS
173,162,97,130,7,7,93,126,FF,HS
174,163,102,126,5,-4,93,126,FF,HS
173,162,106,123,4,-3,112,119,FF,FF
174,161,110,115,4,-8,112,119,FF,FF
174,158,114,118,4,3,112,119,FF,FF
174,160,119,121,5,3,112,119,FF,FF
173,161,122,129,3,8,127,122,HS,FF
172,154,125,126,3,-3,127,122,HS,FF
171,156,127,121,2,-5,127,122,HS,FF
171,154,135,114,8,-7,127,122,HS,FF
171,153,138,105,3,-9,137,99,HS,FF
171,148,133,98,-5,-7,137,99,HS,FF
171,146,139,92,6,-6,137,99,HS,FF
172,143,138,101,-1,9,137,99,HS,FF
172,142,134,108,-4,7,132,118,HS,FF
172,147,133,115,-1,7,132,118,HS,FF
172,149,132,124,-1,9,132,118,HS,FF
173,152,130,128,-2,4,132,118,HS,FF
173,161,136,131,6,3,130,124,HS,FF
173,166,132,121,-4,-10,130,124,HS,FF
173,172,127,124,-5,3,130,124,HS,FF
173,175,127,123,0,-1,130,124,HS,FF
173,177,125,126,-2,3,121,128,FF,HS
