Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.11,111.21,3.65,1.11,110.61,3.63,,37.1,60.6
1.1,110.06,3.61,1.1,109.95,3.61,,41.5,53.9
1.15,114.7,3.76,1.14,113.53,3.72,,43.8,58
1.15,114.78,3.77,1.13,113.47,3.72,,44.1,57
1.14,113.81,3.73,1.12,111.95,3.67,,43.6,53.3
1.18,118.4,3.88,1.16,116.25,3.81,,43.8,54.5
1.16,116.22,3.81,1.14,113.61,3.73,,42.8,52.5
1.18,118.27,3.88,1.16,115.61,3.79,,43.1,53.2
1.19,118.88,3.9,1.16,116.1,3.81,,43,52.8
1.19,118.74,3.9,1.16,115.75,3.8,,42.3,53.2
1.21,120.82,3.96,1.16,116.24,3.81,,44.5,53.8
1.23,123.02,4.04,1.18,118.09,3.87,,44.3,54.9
1.21,120.68,3.96,1.18,117.5,3.86,,44.6,54.5
1.22,122.15,4.01,1.17,117.45,3.85,,45.3,54.6
1.23,122.71,4.03,1.18,117.64,3.86,,44.9,54.6
1.23,123.27,4.04,1.19,118.56,3.89,,44.8,54.9
1.25,124.66,4.09,1.2,119.8,3.93,,45,55.1
1.23,123.44,4.05,1.2,120.1,3.94,,44.2,55.5
1.24,123.93,4.07,1.21,120.74,3.96,,43.4,56
1.24,124.14,4.07,1.21,121.15,3.97,,42.7,56.2
1.24,124.32,4.08,1.21,121.21,3.98,,42.1,56.3
1.25,124.69,4.09,1.22,121.62,3.99,,44.5,56.4
1.24,124.22,4.08,1.21,121.44,3.98,,46.9,56.4
1.26,125.88,4.13,1.22,121.8,4,,44.8,56.4
1.27,126.64,4.15,1.23,122.7,4.03,,44.3,56.2
1.26,126.43,4.15,1.22,121.64,3.99,,44.3,55.7
1.26,125.89,4.13,1.21,120.71,3.96,,45.2,54.8
1.25,124.64,4.09,1.2,119.81,3.93,,45.4,54.7
1.23,122.55,4.02,1.19,118.86,3.9,,44.8,53.9
1.18,118.02,3.87,1.16,115.61,3.79,,42.4,54.1
1.18,118.12,3.88,1.16,115.92,3.8,,48.7,54.2
1.18,118,3.87,1.16,115.88,3.8,,47,54.3
1.18,118.39,3.88,1.16,116.32,3.82,,46.8,54.7
1.18,117.88,3.87,1.16,116.23,3.81,,48.6,54.8
1.18,118.32,3.88,1.17,116.73,3.83,,49.3,55.2
