Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.33,132.86,4.36,1.3,129.72,4.26,,46.4,62.1
1.33,132.78,4.36,1.3,129.68,4.25,,48.3,62.3
1.32,132.24,4.34,1.29,129.06,4.23,,46.4,61.9
1.32,132.17,4.34,1.29,128.88,4.23,,48,62.2
1.33,132.77,4.36,1.3,129.54,4.25,,48.5,62.3
1.32,131.93,4.33,1.29,128.97,4.23,,48.7,61.6
1.32,132.37,4.34,1.29,129.33,4.24,,49,62
1.32,131.8,4.32,1.29,128.82,4.23,,48.1,61.8
1.32,131.92,4.33,1.29,129.21,4.24,,46.4,62
1.32,131.97,4.33,1.29,129.34,4.24,,48.4,61.8
1.31,131.35,4.31,1.29,129.12,4.24,,47.4,61.7
1.32,131.75,4.32,1.3,129.59,4.25,,47.3,62.1
1.32,132.08,4.33,1.3,130.11,4.27,,48.2,62.4
1.32,131.57,4.32,1.3,129.87,4.26,,47.6,62.3
1.32,131.6,4.32,1.3,130.36,4.28,,46.5,62.8
1.31,131.44,4.31,1.3,130.3,4.27,,47.1,62.8
1.31,131.19,4.3,1.3,130.04,4.27,,47,62.4
1.31,130.91,4.3,1.3,130.16,4.27,,46.9,62.5
1.32,131.61,4.32,1.31,130.72,4.29,,46.2,62.9
1.31,131.49,4.31,1.31,130.7,4.29,,46.6,63.5
1.32,132.29,4.34,1.31,131.36,4.31,,46.1,64.2
1.32,132.27,4.34,1.31,131.47,4.31,,45.9,64.2
1.33,132.87,4.36,1.32,132.18,4.34,,45.9,65
1.34,133.73,4.39,1.32,132.47,4.35,,46.1,65.2
1.35,134.66,4.42,1.33,133.23,4.37,,48.7,65.8
1.35,135.35,4.44,1.34,133.66,4.39,,47.4,66.3
1.37,136.68,4.48,1.35,134.6,4.42,,47.1,67.3
1.35,134.5,4.41,1.32,132.21,4.34,,46.7,65.1
1.35,134.96,4.43,1.32,132.38,4.34,,46.9,65.2
1.36,135.58,4.45,1.33,132.76,4.36,,47.3,65.7
1.37,137.26,4.5,1.34,134.3,4.41,,47.3,67.2
1.36,136.09,4.46,1.33,133.27,4.37,,47.6,66.3
1.36,136.31,4.47,1.34,133.56,4.38,,47.5,66.4
1.36,135.7,4.45,1.33,132.99,4.36,,47.1,66.3
1.35,134.52,4.41,1.32,131.72,4.32,,47.1,64.7
1.34,134.31,4.41,1.31,131.46,4.31,,47.5,64.2
1.34,133.74,4.39,1.31,130.68,4.29,,47.4,63.6
1.36,135.97,4.46,1.33,132.91,4.36,,49.3,65.9
1.35,134.92,4.43,1.32,131.73,4.32,,48.4,64.8
1.36,136.08,4.46,1.33,132.82,4.36,,49.1,65.9
1.34,134.29,4.41,1.31,130.77,4.29,,47.6,64.2
1.32,132.4,4.34,1.29,129.25,4.24,,47.1,62.4
1.33,132.66,4.35,1.3,129.96,4.26,,46,62.9
1.33,132.79,4.36,1.3,130.48,4.28,,47.9,63
1.33,132.67,4.35,1.31,130.53,4.28,,46.4,63.1
1.32,132.18,4.34,1.3,129.92,4.26,,47.9,63.1
1.33,133.33,4.37,1.31,130.89,4.29,,45.9,63.8
1.33,132.56,4.35,1.3,130,4.27,,46,63.1
1.32,132.38,4.34,1.3,129.59,4.25,,46.1,62.7
1.32,132.45,4.35,1.3,129.8,4.26,,46,63
1.32,132.23,4.34,1.3,129.59,4.25,,46.3,62.5
1.32,131.78,4.32,1.29,129.11,4.24,,46.1,62.1
1.32,131.55,4.32,1.29,129.27,4.24,,45.9,62.1
1.31,131.41,4.31,1.29,129.19,4.24,,46.1,62
1.31,131.13,4.3,1.29,128.99,4.23,,47.7,61.8
