Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
164,148,125,119,0,0
164,149,126,125,1,6
163,150,124,128,-2,3
160,160,123,139,-1,11
153,156,118,114,-5,-25
156,161,123,122,5,8
150,157,120,106,-3,-16
150,155,121,105,1,-1
152,146,122,99,1,-6
153,148,121,129,-1,30
156,132,118,110,-3,-19
157,142,114,126,-4,16
159,142,116,132,2,6
163,150,117,114,1,-18
166,156,117,135,0,21
168,163,121,133,4,-2
169,167,120,139,-1,6
174,169,120,130,0,-9
171,175,117,123,-3,-7
171,173,118,137,1,14
170,167,111,126,-7,-11
169,172,113,126,2,0
167,171,114,129,1,3
161,167,109,125,-5,-4
155,166,117,130,8,5
151,166,130,128,13,-2
141,166,125,127,-5,-1
140,170,132,125,7,-2
134,170,128,125,-4,0
134,169,111,126,-17,1
137,170,114,125,3,-1
142,170,121,122,7,-3
148,172,119,123,-2,1
154,173,119,124,0,1
162,171,132,123,13,-1
164,172,134,123,2,0
168,173,132,123,-2,0
176,174,128,125,-4,2
175,173,139,119,11,-6
176,169,140,114,1,-5
177,165,141,116,1,2
176,169,138,115,-3,-1
173,170,139,114,1,-1
172,165,138,114,-1,0
168,166,134,111,-4,-3
171,157,133,116,-1,5
163,158,130,125,-3,9
165,158,129,125,-1,0
166,151,129,74,0,-51
165,154,128,135,-1,61
165,144,127,69,-1,-66
164,142,127,70,0,1
161,143,126,68,-1,-2
160,142,124,70,-2,2
163,140,126,68,2,-2
161,146,124,71,-2,3
162,139,127,130,3,59
162,143,130,128,3,-2
162,144,129,110,-1,-18
162,145,128,117,-1,7
163,144,128,117,0,0
163,147,119,127,-9,10
165,150,123,123,4,-4
168,152,128,123,5,0
170,156,133,129,5,6
173,165,124,107,-9,-22
174,169,121,132,-3,25
175,168,123,131,2,-1
176,176,119,142,-4,11
177,176,116,139,-3,-3
176,170,117,134,1,-5
176,170,138,131,21,-3
173,172,138,130,0,-1
170,172,131,133,-7,3
166,173,94,133,-37,0
157,171,118,131,24,-2
146,171,70,130,-48,-1
141,170,136,129,66,-1
137,169,70,130,-66,1
134,169,134,130,64,0
138,170,134,127,0,-3
142,170,111,126,-23,-1
148,173,115,122,4,-4
155,171,116,120,1,-2
161,171,124,115,8,-5
170,170,134,118,10,3
172,168,130,117,-4,-1
177,167,127,117,-3,0
179,167,134,116,7,-1
177,169,133,118,-1,2
177,164,133,115,0,-3
175,166,130,119,-3,4
177,164,131,119,1,0
167,162,127,117,-4,-2
166,165,127,123,0,6
165,160,124,122,-3,-1
164,157,128,123,4,1
165,144,126,127,-2,4
161,151,125,71,-1,-56
160,147,124,69,-1,-2
158,139,122,66,-2,-3
157,134,119,64,-3,-2
160,134,120,65,1,1
158,131,118,129,-2,64
160,138,117,70,-1,-59
162,141,118,129,1,59
163,144,117,116,-1,-13
165,148,118,119,1,3
168,155,120,118,2,-1
169,161,122,130,2,12
172,166,122,126,0,-4
173,171,131,134,9,8
174,174,122,126,-9,-8
173,173,116,129,-6,3
173,175,113,128,-3,-1
170,173,111,126,-2,-2
163,172,112,126,1,0
158,171,125,127,13,1
150,171,104,126,-21,-1
145,172,118,126,14,0
