Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,WristLeft X,Y,Z,WristRight X,Y,Z,ElbowLeft X,Y,Z,ElbowRight X,Y,Z,SholdD,LSHD,RSHD,HIPD,LWristSpineD,RWristSpineD, ShoulDX, HipDX 
-0.100065,-0.148917,4.32229,-0.131077,-0.0137693,4.38712,-0.128099,0.271486,4.30827,-0.121206,0.552014,4.34241,-0.0628908,-0.150127,4.22755,-0.0730156,-0.0814492,4.36178,0.0238288,0.29396,4.25749,0.0108829,0.558944,4.34634,-0.0555752,0.559651,4.377,-0.0591297,0.826313,4.34057,-0.0624895,1.08731,4.29389,-0.0770308,1.19577,4.26738,-0.206102,0.975961,4.3047,0.0852755,0.991219,4.32424,-0.304072,0.526426,4.37262,0.192082,0.539204,4.39998,-0.258208,0.740197,4.38314,0.137461,0.757385,4.40661,0.292431,0.434006,0.439186,0.132328,0.388531,0.386094,0.291378,0.132089
-0.102951,-0.131926,4.33481,-0.105355,-0.0238647,4.39024,-0.131851,0.273572,4.30064,-0.138782,0.579815,4.30518,-0.0815027,-0.154297,4.35691,0.0221561,-0.0863503,4.47227,0.0477076,0.243043,4.23576,-0.00774739,0.594815,4.30811,-0.074055,0.592002,4.33751,-0.0690397,0.835367,4.30425,-0.0669869,1.07816,4.25382,-0.0766729,1.19077,4.2195,-0.210031,0.9729,4.27203,0.0819759,1.00243,4.28379,-0.313237,0.500019,4.30376,0.189228,0.538242,4.39366,-0.262341,0.718917,4.32727,0.137079,0.757886,4.39439,0.293733,0.400864,0.418081,0.131923,0.414839,0.403708,0.292007,0.131035
-0.0761009,-0.143732,4.23579,-0.0976701,-0.0772633,4.36264,-0.134491,0.231136,4.30954,-0.127405,0.566238,4.2659,-0.0681583,-0.153378,4.32035,0.0381924,-0.0674903,4.34362,0.0437037,0.292427,4.13835,0.00264094,0.580635,4.27609,-0.0629346,0.57771,4.30235,-0.0663705,0.826457,4.25832,-0.0707809,1.07137,4.20703,-0.0749942,1.17726,4.18163,-0.204565,0.961873,4.2127,0.0828944,0.994252,4.26197,-0.280351,0.504944,4.2381,0.178119,0.543109,4.36266,-0.258169,0.725331,4.27232,0.133274,0.760739,4.3557,0.293444,0.406585,0.421568,0.131237,0.386739,0.388519,0.287459,0.130046
-0.0605451,-0.143709,4.21362,-0.0767079,-0.0805711,4.33576,-0.122423,0.207328,4.28316,-0.115822,0.550747,4.23968,0.0757102,-0.181749,4.12723,0.0605252,-0.118899,4.24936,0.0444159,0.196398,4.12083,0.0158332,0.562847,4.24595,-0.0503067,0.560808,4.27384,-0.0598743,0.815165,4.22989,-0.0685631,1.06303,4.17316,-0.0747175,1.16864,4.13544,-0.200287,0.962444,4.16853,0.0776692,0.99002,4.20487,-0.279669,0.492365,4.16854,0.185396,0.531674,4.34408,-0.255487,0.711625,4.22156,0.135554,0.75375,4.34179,0.281674,0.426253,0.433575,0.132358,0.395313,0.391873,0.277956,0.131655
-0.100981,-0.176404,4.28674,-0.10683,-0.116697,4.39007,-0.114092,0.153652,4.30232,-0.114399,0.5262,4.19275,0.0495316,-0.238599,4.07806,0.065549,-0.156924,4.15185,0.0486775,0.169431,4.06832,0.0148274,0.544306,4.20751,-0.0501963,0.538671,4.23023,-0.0592639,0.799717,4.19115,-0.0680848,1.05489,4.14363,-0.0739724,1.16487,4.11154,-0.208144,0.949802,4.13708,0.0797616,0.986661,4.18517,-0.26676,0.513411,4.11591,0.183525,0.543839,4.31605,-0.255517,0.713678,4.17091,0.145413,0.742414,4.28912,0.294211,0.437408,0.447653,0.131322,0.361508,0.374192,0.287906,0.129227
-0.096127,-0.173595,4.2664,-0.109923,-0.111632,4.38669,-0.130024,0.250076,4.23765,-0.100935,0.521037,4.1626,0.0565786,-0.234319,3.95669,0.0741744,-0.16188,4.04257,0.0516164,0.169649,4.05323,0.0311586,0.531631,4.17091,-0.0356378,0.530661,4.19905,-0.0468893,0.789663,4.14742,-0.0597169,1.04395,4.0888,-0.0609607,1.14955,4.06542,-0.200494,0.934682,4.09973,0.0853437,0.956244,4.13105,-0.258783,0.502074,4.04616,0.191076,0.516105,4.29553,-0.245584,0.697523,4.12414,0.14139,0.73793,4.26283,0.288356,0.430077,0.429908,0.132778,0.371294,0.391663,0.285838,0.132093
-0.0914305,-0.202425,4.27108,-0.0985043,-0.125654,4.35281,-0.132118,0.247454,4.20933,-0.101463,0.516374,4.13626,0.0597386,-0.228062,3.86824,0.0746786,-0.159199,3.95858,0.0593565,0.17736,3.99813,0.0296513,0.527028,4.14383,-0.0363187,0.525631,4.17101,-0.0503494,0.780948,4.11913,-0.0649955,1.02964,4.05531,-0.0637553,1.14157,4.02417,-0.200887,0.921881,4.06708,0.086407,0.944357,4.09242,-0.250485,0.483288,4.00571,0.192625,0.512065,4.28865,-0.250034,0.687256,4.07336,0.151686,0.706669,4.22601,0.289283,0.42321,0.424298,0.131764,0.376193,0.400087,0.287294,0.131114
-0.0755055,-0.205062,4.22726,-0.0888019,-0.146282,4.34346,-0.123117,0.236522,4.19553,-0.113749,0.481378,4.08297,0.0817261,-0.215576,3.75781,0.0639891,-0.159234,3.86494,0.0550776,0.171636,3.97521,0.0167554,0.492578,4.09079,-0.04887,0.490737,4.11843,-0.0529317,0.75424,4.06865,-0.0567989,1.01212,4.00893,-0.0616305,1.11644,3.9866,-0.192356,0.908689,4.01404,0.0948165,0.933452,4.04594,-0.244772,0.491756,3.92695,0.191349,0.504867,4.23911,-0.238765,0.681797,4.03137,0.144609,0.708291,4.18679,0.289998,0.439916,0.449973,0.131217,0.354653,0.388484,0.287172,0.130504
-0.12675,-0.0840748,4.31829,-0.0889575,-0.156275,4.31225,-0.120518,0.165705,4.1663,-0.108898,0.478508,4.04899,0.0784128,-0.264464,3.70371,0.0735983,-0.204549,3.79856,0.0505497,0.150261,3.92999,0.0228734,0.490544,4.04011,-0.0432907,0.488218,4.07602,-0.0501168,0.748526,4.02703,-0.0566653,1.00318,3.96769,-0.055397,1.1186,3.92912,-0.190485,0.899121,3.97917,0.0965548,0.925049,3.99455,-0.241281,0.47719,3.87886,0.189586,0.475452,4.21097,-0.232127,0.662307,3.98369,0.155554,0.694482,4.13265,0.288619,0.434103,0.443056,0.132617,0.363485,0.407257,0.28704,0.131771
-0.0841434,-0.113213,4.14477,-0.0912408,-0.0539821,4.26151,-0.119494,0.225384,4.08762,-0.105895,0.473508,3.99101,0.0660489,-0.262595,3.65116,0.0601108,-0.204655,3.76787,0.0518836,0.201621,3.8919,0.0225917,0.473464,3.99569,-0.0419847,0.47702,4.02441,-0.0400429,0.736678,3.97776,-0.038022,0.990673,3.92115,-0.0483277,1.10984,3.90613,-0.182844,0.889415,3.93327,0.103176,0.899011,3.94775,-0.240887,0.495801,3.82699,0.194182,0.474315,4.16058,-0.222808,0.667943,3.95703,0.157195,0.665408,4.08968,0.286547,0.426889,0.435756,0.128572,0.347978,0.396383,0.28602,0.128487
