Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
157,142,137,100,0,0,130,98,HS,FF
162,131,135,97,-2,-3,130,98,HS,FF
171,124,128,102,-7,5,130,98,HS,FF
169,139,122,95,-6,-7,130,98,HS,FF
177,145,117,101,-5,6,112,110,FF,FF
168,163,111,108,-6,7,112,110,FF,FF
167,163,112,114,1,6,112,110,FF,FF
172,174,108,119,-4,5,112,110,FF,FF
171,177,103,124,-5,5,95,126,FF,HS
166,173,98,133,-5,9,95,126,FF,HS
159,171,93,127,-5,-6,95,126,FF,HS
151,166,86,120,-7,-7,95,126,FF,HS
145,168,81,120,-5,0,73,116,TO,HS
132,165,76,115,-5,-5,73,116,TO,HS
127,169,72,112,-4,-3,73,116,TO,HS
123,170,65,117,-7,5,73,116,TO,HS
127,171,69,122,4,5,77,126,TO,HS
121,173,75,125,6,3,77,126,TO,HS
127,170,80,130,5,5,77,126,TO,HS
135,173,86,130,6,0,77,126,TO,HS
139,173,91,131,5,1,97,125,FF,HS
157,173,95,126,4,-5,97,125,FF,HS
172,170,99,121,4,-5,97,125,FF,HS
179,172,104,124,5,3,97,125,FF,HS
171,173,109,123,5,-1,115,114,FF,FF
176,169,113,118,4,-5,115,114,FF,FF
173,171,117,110,4,-8,115,114,FF,FF
163,166,122,106,5,-4,115,114,FF,FF
159,161,116,96,-6,-10,115,83,FF,FF
166,147,117,87,1,-9,115,83,FF,FF
169,137,116,79,-1,-8,115,83,FF,FF
173,131,113,73,-3,-6,115,83,FF,FF
173,126,110,69,-3,-4,108,68,FF,TO
173,125,109,65,-1,-4,108,68,FF,TO
173,128,107,68,-2,3,108,68,FF,TO
170,134,107,73,0,5,108,68,FF,TO
168,139,107,78,0,5,107,85,FF,FF
165,150,106,83,-1,5,107,85,FF,FF
165,159,105,87,-1,4,107,85,FF,FF
162,174,111,92,6,5,107,85,FF,FF
163,174,116,97,5,5,107,104,FF,FF
169,175,110,102,-6,5,107,104,FF,FF
170,177,104,107,-6,5,107,104,FF,FF
172,174,99,112,-5,5,107,104,FF,FF
166,171,93,122,-6,10,84,117,FF,HS
167,169,88,118,-5,-4,84,117,FF,HS
146,168,81,115,-7,-3,84,117,FF,HS
139,175,75,116,-6,1,84,117,FF,HS
133,178,71,114,-4,-2,73,111,TO,FF
129,178,68,112,-3,-2,73,111,TO,FF
130,173,74,110,6,-2,73,111,TO,FF
133,172,81,109,7,-1,73,111,TO,FF
138,170,91,115,10,6,97,121,FF,HS
143,168,94,119,3,4,97,121,FF,HS
153,166,99,122,5,3,97,121,FF,HS
166,167,105,130,6,8,97,121,FF,HS
177,169,109,121,4,-9,117,117,FF,HS
174,168,115,124,6,3,117,117,FF,HS
173,166,121,115,6,-9,117,117,FF,HS
176,167,125,108,4,-7,117,117,FF,HS
174,168,129,113,4,5,122,107,HS,FF
170,171,123,103,-6,-10,122,107,HS,FF
165,166,117,109,-6,6,122,107,HS,FF
164,156,120,106,3,-3,122,107,HS,FF
163,147,123,101,3,-5,121,91,HS,FF
169,141,119,95,-4,-6,121,91,HS,FF
172,133,123,89,4,-6,121,91,HS,FF
173,130,120,82,-3,-7,121,91,HS,FF
174,133,130,80,10,-2,122,88,HS,FF
174,137,125,86,-5,6,122,88,HS,FF
172,144,121,91,-4,5,122,88,HS,FF
170,151,112,97,-9,6,122,88,HS,FF
168,163,119,105,7,8,112,114,FF,FF
167,172,114,113,-5,8,112,114,FF,FF
166,178,110,117,-4,4,112,114,FF,FF
166,173,107,121,-3,4,112,114,FF,FF
166,178,111,124,4,3,106,126,FF,HS
166,175,107,130,-4,6,106,126,FF,HS
167,174,103,129,-4,-1,106,126,FF,HS
168,166,105,121,2,-8,106,126,FF,HS
170,163,103,117,-2,-4,99,107,FF,FF
169,153,98,107,-5,-10,99,107,FF,FF
161,148,101,100,3,-7,99,107,FF,FF
148,151,97,104,-4,4,99,107,FF,FF
139,149,101,99,4,-5,106,98,FF,FF
136,145,107,91,6,-8,106,98,FF,FF
131,148,110,101,3,10,106,98,FF,FF
130,152,107,103,-3,2,106,98,FF,FF
129,174,103,113,-4,10,109,110,FF,FF
174,174,106,111,3,-2,109,110,FF,FF
174,174,109,110,3,-1,109,110,FF,FF
175,174,119,109,10,-1,109,110,FF,FF
174,174,118,108,-1,-1,115,107,FF,FF
174,174,117,108,-1,0,115,107,FF,FF
174,174,115,106,-2,-2,115,107,FF,FF
174,174,113,106,-2,0,115,107,FF,FF
174,174,111,105,-2,-1,108,104,FF,FF
174,174,109,104,-2,-1,108,104,FF,FF
174,174,108,103,-1,-1,108,104,FF,FF
174,174,107,104,-1,1,108,104,FF,FF
174,174,105,98,-2,-6,104,97,FF,FF
174,175,105,97,0,-1,104,97,FF,FF
175,175,104,97,-1,0,104,97,FF,FF
175,175,103,98,-1,1,104,97,FF,FF
175,175,103,98,0,0,102,100,FF,FF
175,175,102,100,-1,2,102,100,FF,FF
175,175,102,101,0,1,102,100,FF,FF
175,175,101,102,-1,1,102,100,FF,FF
175,175,100,102,-1,0,97,102,FF,FF
175,175,98,102,-2,0,97,102,FF,FF
174,175,97,102,-1,0,97,102,FF,FF
174,175,96,104,-1,2,97,102,FF,FF
174,175,95,104,-1,0,94,103,FF,FF
174,175,95,103,0,-1,94,103,FF,FF
174,175,94,103,-1,0,94,103,FF,FF
174,175,94,103,0,0,94,103,FF,FF
174,175,94,104,0,1,94,104,FF,FF
174,175,94,104,0,0,94,104,FF,FF
174,175,94,104,0,0,94,104,FF,FF
174,175,94,104,0,0,94,104,FF,FF
