Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z, Hip Center X, Y, Z 
-0.90567,-0.732725,3.826,-0.953757,-0.642085,3.8821,-0.861364,-0.229573,3.80188,-0.71794,0.173692,3.81104,-0.59777,-0.731907,3.97139,-0.650824,-0.645894,4.03314,-0.64817,-0.2396,3.99392,-0.63508,0.167064,3.90719,-0.63508,0.167064,3.90719
-0.68357,0.172158,3.89946,-0.82959,-0.719727,3.79688,-0.886782,-0.6387,3.85883,-0.836087,-0.227323,3.78708,-0.716465,0.172494,3.80991,-0.641602,-0.717773,3.93359,-0.65042,-0.642066,4.03373,-0.646468,-0.244164,3.99274,-0.646468,-0.244164,3.99274
-0.631227,0.163561,3.90466,-0.681034,0.169939,3.89775,-0.766602,-0.733398,3.75586,-0.824269,-0.649155,3.82784,-0.797958,-0.233447,3.76874,-0.710447,0.164733,3.8015,-0.626771,-0.715164,3.95883,-0.649853,-0.63821,4.03545,-0.649853,-0.63821,4.03545
-0.638784,-0.250164,3.99267,-0.621623,0.155272,3.89357,-0.673161,0.161704,3.88815,-0.720215,-0.728027,3.7168,-0.771128,-0.648281,3.78706,-0.763617,-0.239641,3.75033,-0.702595,0.155486,3.78229,-0.623192,-0.714774,3.95986,-0.623192,-0.714774,3.95986
-0.650845,-0.640791,4.03285,-0.627481,-0.272566,3.98557,-0.611959,0.14807,3.87244,-0.66431,0.153376,3.86815,-0.688036,-0.731995,3.69211,-0.730142,-0.653233,3.76006,-0.749272,-0.249729,3.73203,-0.698084,0.1553,3.77659,-0.698084,0.1553,3.77659
-0.618941,-0.713605,3.96083,-0.651388,-0.641124,4.02945,-0.620694,-0.275917,3.98374,-0.603503,0.14786,3.86436,-0.657906,0.153187,3.86134,-0.607621,-0.73641,3.62038,-0.683489,-0.665229,3.71699,-0.704898,-0.23381,3.7053,-0.704898,-0.23381,3.7053
-0.691594,0.146947,3.76507,-0.604378,-0.724762,3.95258,-0.644518,-0.65336,4.01474,-0.605754,-0.3177,3.97931,-0.588136,0.134791,3.84692,-0.647206,0.142513,3.84711,-0.576891,-0.74286,3.58741,-0.642601,-0.668759,3.6799,-0.642601,-0.668759,3.6799
-0.682771,-0.230133,3.68383,-0.671118,0.152144,3.74748,-0.596501,-0.72118,3.95119,-0.639278,-0.65139,4.01092,-0.575629,-0.27841,3.95367,-0.567545,0.141128,3.83159,-0.625914,0.148322,3.83037,-0.556189,-0.720661,3.56022,-0.556189,-0.720661,3.56022
-0.628888,-0.652231,3.66588,-0.66248,-0.222493,3.66629,-0.661567,0.163776,3.73321,-0.58211,-0.712609,3.95085,-0.627651,-0.638381,4.00317,-0.541524,-0.221139,3.92234,-0.547718,0.156145,3.79992,-0.611779,0.161666,3.80843,-0.611779,0.161666,3.80843
-0.520306,-0.726557,3.50892,-0.586406,-0.65946,3.62505,-0.646393,-0.217298,3.64638,-0.650356,0.160268,3.72112,-0.564805,-0.711768,3.94989,-0.614165,-0.633319,4.00051,-0.522914,-0.192276,3.89713,-0.53917,0.156204,3.79293,-0.53917,0.156204,3.79293
