Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle 
166,173,14,22
163,173,11,11
164,172,13,17
167,172,17,15
165,171,22,15
168,168,10,15
168,168,16,10
169,165,10,11
168,165,12,10
167,168,10,38
169,163,6,-12
168,168,10,-18
168,166,10,-22
167,166,16,-23
166,159,16,-29
168,158,17,-33
167,159,18,-29
168,155,18,17
167,153,19,7
165,149,19,-3
164,147,18,3
164,155,19,-4
164,151,19,8
165,161,19,13
166,161,19,18
166,173,18,23
166,174,17,17
165,175,16,17
165,173,15,29
166,175,12,23
166,177,12,18
166,173,12,16
168,172,9,17
168,173,8,17
167,172,8,16
163,172,5,16
162,170,2,14
164,172,2,15
166,173,2,18
164,172,9,17
168,173,6,17
166,172,9,15
171,171,12,14
170,171,14,13
172,171,12,13
171,172,10,13
173,172,16,12
174,172,16,10
173,171,17,10
173,171,13,8
173,169,15,8
173,167,13,6
173,162,12,7
172,157,11,5
171,150,10,16
171,143,10,6
171,139,12,19
171,140,12,8
170,143,11,3
169,149,11,4
169,152,14,12
168,157,12,14
168,166,12,12
168,173,11,18
166,177,10,20
166,176,9,19
165,176,8,20
165,176,7,19
166,175,7,19
167,173,7,19
166,173,8,18
164,174,7,18
164,173,4,18
163,173,4,18
166,173,3,18
168,172,6,18
168,172,7,19
171,171,8,19
171,171,8,20
172,170,10,19
